mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	TextLine	TextLine_Sul C	crescendo_hairpin	decrescendo_hairpin	Trill:trill
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0								Allegro	120.0	1.0						
1	1	0	0	0.0	0	0	StaffText	2/4	1	1	0							<b><i>sempre <sym>dynamicPiano</sym></i></b>									
1	1	0	0	0.0	0	0	Spanner	2/4	1	1	0																0
1	1	0	0	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	0												0
1	1	0	0	0.0	0	0	StaffText	2/4	4	1	0							<b><i>sempre <sym>dynamicPiano</sym></i></b>									
1	1	0	0	1.0	0	0	Chord	2/4	4	1	1/4		1/4	1	1							0					
1	1	1	1	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	2							0					
1	1	3/2	3/2	0.25	3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	3							0					
1	1	7/4	7/4	0.25	7/16	7/16	Chord	2/4	4	1	1/16		1/16	1	4												
2	2	2	2	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	5												0
2	2	2	2	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	6		articStaccatoAbove										
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	7		articStaccatoAbove										
2	2	3	3	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	8		articStaccatoAbove										
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	9		articStaccatoAbove										
3	3	4	4	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	10												0
3	3	4	4	1.0	0	0	Chord	2/4	4	1	1/4		1/4	1	11												
3	3	5	5	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	12												
3	3	11/2	11/2	0.25	3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	13		articStaccatoAbove										
3	3	23/4	23/4	0.25	7/16	7/16	Chord	2/4	4	1	1/16		1/16	1	14		articStaccatoAbove										
4	4	6	6	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	15												0
4	4	6	6	0.0	0	0	Spanner	2/4	4	1	0														0		
4	4	6	6	1.0	0	0	Chord	2/4	4	1	1/4		1/4	1	16							1			0		
4	4	7	7	0.0	1/4	1/4	Spanner	2/4	4	1	0											1					
4	4	7	7	0.0	1/4	1/4	Spanner	2/4	4	1	0											1				0	
4	4	7	7	0.75	1/4	1/4	Chord	2/4	4	1	3/16		1/8	3/2	17							1				0	
4	4	31/4	31/4	0.25	7/16	7/16	Chord	2/4	4	1	1/16		1/16	1	18											0	
5	5	8	8	0.0	0	0	Spanner	2/4	1	1	0																
5	5	8	8	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	19		ornamentTrill										
5	5	9	9	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	20		ornamentTrill										
5	5	8	8	0.0	0	0	Dynamic	2/4	4	1	0					p											
5	5	8	8	0.0	0	0	Spanner	2/4	4	1	0																
5	5	8	8	1.0	0	0	Chord	2/4	4	1	1/4		1/4	1	21							2					
5	5	9	9	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	22							2					
5	5	19/2	19/2	0.25	3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	23							2					
5	5	39/4	39/4	0.25	7/16	7/16	Chord	2/4	4	1	1/16		1/16	1	24												
6	6	10	10	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	25		ornamentTrill										
6	6	11	11	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16after	1/16	1	26												
6	6	11	11	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16after	1/16	1	27												
6	6	11	11	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	28		ornamentTrill										
6	6	10	10	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	29		articStaccatoAbove										
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	30		articStaccatoAbove										
6	6	11	11	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	31		articStaccatoBelow										
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	32		articStaccatoBelow										
7	7	12	12	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	33		ornamentTrill										
7	7	51/4	51/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	34												
7	7	103/8	103/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	35												
7	7	13	13	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	36		ornamentTrill										
7	7	55/4	55/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	37												
7	7	111/8	111/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	38												
7	7	12	12	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	39		articStaccatoAbove										
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	40		articStaccatoAbove										
7	7	13	13	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	41		articStaccatoAbove										
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	42		articStaccatoAbove										
8	8	14	14	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	43												
8	8	61/4	61/4	0.0	5/16	5/16	Dynamic	2/4	2	1	0					p											
8	8	61/4	61/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	44		articStaccatoBelow										
8	8	31/2	31/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	45		articStaccatoBelow										
8	8	63/4	63/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	46		articStaccatoBelow										
8	8	57/4	57/4	0.0	1/16	1/16	Dynamic	2/4	3	1	0					p											
8	8	57/4	57/4	0.25	1/16	1/16	Chord	2/4	3	1	1/16		1/16	1	47		articStaccatoAbove										
8	8	29/2	29/2	0.25	1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	48		articStaccatoAbove										
8	8	59/4	59/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	49		articStaccatoAbove										
8	8	15	15	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	50		articStaccatoAbove										
