mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	Dynamic	2/4	1	1	0					f										
1	1	0	0	0.0	0	0	StaffText	2/4	1	1	0							"<font size=""10.9754""/><font face=""Times New Roman""/><b>Maestoso</b>"								
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0								𝅘𝅥=70	70.0	𝅘𝅥	70.0	1.0			
1	1	0	0	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	0											
1	1	0	0	0.0	0	0	Dynamic	2/4	2	1	0					f										
1	1	0	0	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	1											
1	1	0	0	0.0	0	0	Dynamic	2/4	3	1	0					f										
1	1	0	0	2.0	0	0	Chord	2/4	3	1	1/2		1/2	1	2											
1	1	0	0	0.0	0	0	Dynamic	2/4	4	1	0					f										
1	1	0	0	2.0	0	0	Chord	2/4	4	1	1/2		1/2	1	3											
2	2	2	2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	4		articStaccatoBelow									
2	2	5/2	5/2	0.0	1/8	1/8	Dynamic	2/4	1	1	0					sf										
2	2	5/2	5/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	5											
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	6		articStaccatoBelow									
2	2	2	2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	7		articStaccatoBelow									
2	2	5/2	5/2	0.0	1/8	1/8	Dynamic	2/4	2	1	0					sf										
2	2	5/2	5/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4		1/4	1	8											
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	9		articStaccatoBelow									
2	2	2	2	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	10		articStaccatoBelow									
2	2	5/2	5/2	0.0	1/8	1/8	Dynamic	2/4	3	1	0					sf										
2	2	5/2	5/2	1.0	1/8	1/8	Chord	2/4	3	1	1/4		1/4	1	11											
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	12		articStaccatoBelow									
2	2	2	2	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	13		articStaccatoBelow									
2	2	5/2	5/2	0.0	1/8	1/8	Dynamic	2/4	4	1	0					sf										
2	2	5/2	5/2	1.0	1/8	1/8	Chord	2/4	4	1	1/4		1/4	1	14											
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	15		articStaccatoBelow									
3	3	4	4	0.0	0	0	Dynamic	2/4	1	1	0					sf										
3	3	4	4	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	16											
3	3	4	4	0.0	0	0	Dynamic	2/4	2	1	0					sf										
3	3	4	4	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	17											
3	3	4	4	0.0	0	0	Dynamic	2/4	3	1	0					sf										
3	3	4	4	2.0	0	0	Chord	2/4	3	1	1/2		1/2	1	18											
3	3	4	4	0.0	0	0	Dynamic	2/4	4	1	0					sf										
3	3	4	4	2.0	0	0	Chord	2/4	4	1	1/2		1/2	1	19											
4	4	6	6	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	20		articStaccatoBelow									
4	4	13/2	13/2	0.0	1/8	1/8	Dynamic	2/4	1	1	0					sf										
4	4	13/2	13/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	21											
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	22		articStaccatoBelow									
4	4	6	6	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	23		articStaccatoBelow									
4	4	13/2	13/2	0.0	1/8	1/8	Dynamic	2/4	2	1	0					sf										
4	4	13/2	13/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4		1/4	1	24											
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	25		articStaccatoBelow									
4	4	6	6	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	26		articStaccatoBelow									
4	4	13/2	13/2	0.0	1/8	1/8	Dynamic	2/4	3	1	0					sf										
4	4	13/2	13/2	1.0	1/8	1/8	Chord	2/4	3	1	1/4		1/4	1	27											
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	28		articStaccatoBelow									
4	4	6	6	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	29		articStaccatoBelow									
4	4	13/2	13/2	0.0	1/8	1/8	Dynamic	2/4	4	1	0					sf										
4	4	13/2	13/2	1.0	1/8	1/8	Chord	2/4	4	1	1/4		1/4	1	30											
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	31		articStaccatoBelow									
5	5	8	8	0.0	0	0	Dynamic	2/4	1	1	0					sf										
5	5	8	8	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	32											
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	33		articStaccatoBelow									
5	5	8	8	0.0	0	0	Dynamic	2/4	2	1	0					sf										
