mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0		0	0	Tempo	6/8	1	1	0								AndanteconmotoquasiAllegretto.	86.0	1.0			
1	1	1	1	0.0		1/4	1/4	Dynamic	6/8	1	1	0					p								
1	1	1	1	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	0							0		
1	1	3/2	3/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	1							0		
1	1	2	2	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	2							0		
1	1	5/2	5/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	3									
1	1	0	0	0.0		0	0	StaffText	6/8	4	1	0							"<font size=""11""/>pizz."						
1	1	0	0	0.0		0	0	Dynamic	6/8	4	1	0					f								
1	1	0	0	1.0		0	0	Chord	6/8	4	1	1/4		1/4	1	4									
1	1	3/2	3/2	0.0		3/8	3/8	Dynamic	6/8	4	1	0					p								
1	1	3/2	3/2	1.0		3/8	3/8	Chord	6/8	4	1	1/4		1/4	1	5									
2	2	3	3	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	6							1		
2	2	7/2	7/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	7							1		
2	2	4	4	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	8							1		
2	2	9/2	9/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	9							1		
2	2	5	5	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	10							1		
2	2	11/2	11/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	11									
2	2	3	3	1.0		0	0	Chord	6/8	4	1	1/4		1/4	1	12									
2	2	9/2	9/2	1.0		3/8	3/8	Chord	6/8	4	1	1/4		1/4	1	13									
3	3	6	6	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	14							2		
3	3	13/2	13/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	15							2		
3	3	7	7	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	16									
3	3	15/2	15/2	1.5		3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	17									
3	3	13/2	13/2	0.0		1/8	1/8	Dynamic	6/8	2	1	0					p								
3	3	7	7	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	18							3		
3	3	15/2	15/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	19							3		
3	3	8	8	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	20							3		
3	3	17/2	17/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	21									
3	3	13/2	13/2	0.0		1/8	1/8	Dynamic	6/8	3	1	0					p								
3	3	7	7	0.5		1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	22							4		
3	3	15/2	15/2	0.5		3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	23							4		
3	3	8	8	0.5		1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	24							4		
3	3	17/2	17/2	0.5		5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	25									
3	3	6	6	1.0		0	0	Chord	6/8	4	1	1/4		1/4	1	26									
3	3	15/2	15/2	1.0		3/8	3/8	Chord	6/8	4	1	1/4		1/4	1	27									
4	4	9	9	1.5		0	0	Chord	6/8	1	1	3/8		1/4	3/2	28									
4	4	21/2	21/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	29									
4	4	11	11	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	30									
4	4	23/2	23/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	31									
4	4	9	9	0.5		0	0	Chord	6/8	2	1	1/8		1/8	1	32							5		
4	4	19/2	19/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	33							5		
4	4	10	10	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	34							5		
4	4	21/2	21/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	35							5		
4	4	11	11	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	36							5		
4	4	23/2	23/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	37									
4	4	9	9	0.5		0	0	Chord	6/8	3	1	1/8		1/8	1	38							6		
4	4	19/2	19/2	0.5		1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	39							6		
4	4	10	10	0.5		1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	40							6		
4	4	21/2	21/2	1.0		3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	41							6		
4	4	23/2	23/2	0.5		5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	42									
4	4	9	9	1.0		0	0	Chord	6/8	4	1	1/4		1/4	1	43									
4	4	21/2	21/2	1.0		3/8	3/8	Chord	6/8	4	1	1/4		1/4	1	44									
5	5		12	1.0	1	0	0	Chord	6/8	1	1	1/4		1/4	1	45									
5	5		12	1.0	1	0	0	Chord	6/8	2	1	1/4		1/4	1	46									
5	5		12	1.0	1	0	0	Chord	6/8	3	1	1/4		1/4	1	47									
5	5		12	0.0	1	0	0	StaffText	6/8	4	1	0							<i>cresc.</i>						
5	5		12	0.5	1	0	0	Chord	6/8	4	1	1/8		1/8	1	48									
5	5		25/2	0.5	1	1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	49									
5	5		13	0.5	1	1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	50									
5	5		27/2	0.5	1	3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	51									
5	5		14	0.5	1	1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	52									
5	5		29/2	0.5	1	5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	53									
6	6		15	0.5	1	0	0	Chord	6/8	4	1	1/8		1/8	1	54									
6	6		31/2	0.5	1	1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	55									
6	6		16	0.5	1	1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	56									
6	6		33/2	0.5	1	3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	57									
6	6		17	0.5	1	1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	58									
6	6		35/2	0.5	1	5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	59									
7	7		18	1.0	1	0	0	Chord	6/8	1	1	1/4		1/4	1	60									
7	7		18	1.0	1	0	0	Chord	6/8	2	1	1/4		1/4	1	61									
7	7		18	1.0	1	0	0	Chord	6/8	3	1	1/4		1/4	1	62									
7	7		18	0.0	1	0	0	StaffText	6/8	4	1	0							<i>cresc.</i>						
7	7		18	0.5	1	0	0	Chord	6/8	4	1	1/8		1/8	1	63									
7	7		37/2	0.5	1	1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	64									
7	7		19	0.5	1	1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	65									
7	7		39/2	0.5	1	3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	66									
7	7		20	0.5	1	1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	67									
7	7		41/2	0.5	1	5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	68									
8	8	12	21	0.5		0	0	Chord	6/8	4	1	1/8		1/8	1	69									
8	8	25/2	43/2	0.5		1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	70									
8	8	13	22	0.5		1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	71									
8	8	27/2	45/2	0.5		3/8	3/8	Chord	6/8	4	1	1/8		1/8	1	72									
8	8	14	23	0.5		1/2	1/2	Chord	6/8	4	1	1/8		1/8	1	73									
8	8	29/2	47/2	0.5		5/8	5/8	Chord	6/8	4	1	1/8		1/8	1	74									
9	9	16	25	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	75							7		
9	9	33/2	51/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	76							7		
9	9	17	26	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	77							7		
9	9	35/2	53/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	78									
9	9	16	25	0.0		1/4	1/4	Dynamic	6/8	2	1	0					p								
9	9	16	25	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	79							8		
9	9	33/2	51/2	1.5		3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	80									
9	9	33/2	51/2	0.5		3/8	3/8	Chord	6/8	2	2	1/8		1/8	1	81									
9	9	17	26	0.5		1/2	1/2	Chord	6/8	2	2	1/8		1/8	1	82									
9	9	35/2	53/2	0.5		5/8	5/8	Chord	6/8	2	2	1/8		1/8	1	83									
9	9	16	25	0.0		1/4	1/4	Dynamic	6/8	3	1	0					p								
9	9	16	25	0.0		1/4	1/4	Dynamic	6/8	3	1	0					p								
9	9	16	25	0.5		1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	84							9		
9	9	33/2	51/2	0.5		3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	85							9		
9	9	17	26	0.5		1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	86							9		
9	9	35/2	53/2	0.5		5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	87									
9	9	15	24	0.0		0	0	Dynamic	6/8	4	1	0					f								
9	9	15	24	1.0		0	0	Chord	6/8	4	1	1/4		1/4	1	88									
9	9	33/2	51/2	0.0		3/8	3/8	Dynamic	6/8	4	1	0					p								
9	9	33/2	51/2	1.0		3/8	3/8	Chord	6/8	4	1	1/4		1/4	1	89									
10	10	18	27	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	90							10		
10	10	37/2	55/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	91									
10	10	19	28	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	92									
10	10	39/2	57/2	1.5		3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	93									
10	10	39/2	57/2	0.5		3/8	3/8	Chord	6/8	1	3	1/8		1/8	1	94									
10	10	20	29	0.5		1/2	1/2	Chord	6/8	1	3	1/8		1/8	1	95									
10	10	41/2	59/2	0.5		5/8	5/8	Chord	6/8	1	3	1/8		1/8	1	96									
10	10	18	27	1.5		0	0	Chord	6/8	2	1	3/8		1/4	3/2	97									
10	10	39/2	57/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	98							11		
10	10	20	29	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	99							11		
10	10	41/2	59/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	100									
10	10	18	27	0.5		0	0	Chord	6/8	2	2	1/8		1/8	1	101							12		
10	10	37/2	55/2	0.5		1/8	1/8	Chord	6/8	2	2	1/8		1/8	1	102									
10	10	19	28	0.5		1/4	1/4	Chord	6/8	2	2	1/8		1/8	1	103									
10	10	18	27	0.5		0	0	Chord	6/8	3	1	1/8		1/8	1	104							13		
10	10	37/2	55/2	0.5		1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	105									
10	10	19	28	0.5		1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	106									
10	10	39/2	57/2	0.5		3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	107							14		
10	10	20	29	0.5		1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	108							14		
10	10	41/2	59/2	0.5		5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	109									
10	10	18	27	1.0		0	0	Chord	6/8	4	1	1/4		1/4	1	110									
10	10	39/2	57/2	1.0		3/8	3/8	Chord	6/8	4	1	1/4		1/4	1	111									
11	11	21	30	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	112									
11	11	22	31	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	113							15		
11	11	45/2	63/2	0.0		3/8	3/8	Dynamic	6/8	1	1	0					fp						15		
11	11	45/2	63/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	114							15		
11	11	23	32	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	115							15		
11	11	47/2	65/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	116									
11	11	21	30	0.5		0	0	Chord	6/8	1	3	1/8		1/8	1	117							16		
11	11	43/2	61/2	0.5		1/8	1/8	Chord	6/8	1	3	1/8		1/8	1	118									
11	11	21	30	0.5		0	0	Chord	6/8	2	1	1/8		1/8	1	119							17		
11	11	43/2	61/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	120									
11	11	22	31	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	121									
11	11	45/2	63/2	0.0		3/8	3/8	Dynamic	6/8	2	1	0					fp								
11	11	45/2	63/2	1.5		3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	122									
11	11	21	30	0.5		0	0	Chord	6/8	3	1	1/8		1/8	1	123							18		
11	11	43/2	61/2	0.5		1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	124									
