mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	slur	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.5	0	0	Chord	9/8	2	1	1/8			1/8	1	0		articStaccatoBelow			0		
1	1	1/2	1/2	0.5	1/8	1/8	Chord	9/8	2	1	1/8			1/8	1	1		articStaccatoBelow			0		
1	1	1	1	0.5	1/4	1/4	Chord	9/8	2	1	1/8			1/8	1	2		articStaccatoBelow					
1	1	3/2	3/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8			1/8	1	3		articStaccatoBelow			1		
1	1	2	2	0.5	1/2	1/2	Chord	9/8	2	1	1/8			1/8	1	4		articStaccatoBelow			1		
1	1	5/2	5/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8			1/8	1	5		articStaccatoBelow					
1	1	3	3	0.5	3/4	3/4	Chord	9/8	2	1	1/8			1/8	1	6		articStaccatoBelow			2		
1	1	7/2	7/2	0.5	7/8	7/8	Chord	9/8	2	1	1/8			1/8	1	7		articStaccatoBelow			2		
1	1	4	4	0.5	1	1	Chord	9/8	2	1	1/8			1/8	1	8		articStaccatoBelow					
1	1	0	0	0.0	0	0	Dynamic	9/8	3	1	0						pp						
1	1	0	0	0.0	0	0	Dynamic	9/8	3	1	0						pp						
1	1	0	0	0.5	0	0	Chord	9/8	3	1	1/8			1/8	1	9		articStaccatoBelow			3		
1	1	1/2	1/2	0.5	1/8	1/8	Chord	9/8	3	1	1/8			1/8	1	10		articStaccatoBelow			3		
1	1	1	1	0.5	1/4	1/4	Chord	9/8	3	1	1/8			1/8	1	11		articStaccatoBelow					
1	1	3/2	3/2	0.5	3/8	3/8	Chord	9/8	3	1	1/8			1/8	1	12		articStaccatoBelow			4		
1	1	2	2	0.5	1/2	1/2	Chord	9/8	3	1	1/8			1/8	1	13		articStaccatoBelow			4		
1	1	5/2	5/2	0.5	5/8	5/8	Chord	9/8	3	1	1/8			1/8	1	14		articStaccatoBelow					
1	1	3	3	0.5	3/4	3/4	Chord	9/8	3	1	1/8			1/8	1	15		articStaccatoBelow			5		
1	1	7/2	7/2	0.5	7/8	7/8	Chord	9/8	3	1	1/8			1/8	1	16		articStaccatoBelow			5		
1	1	4	4	0.5	1	1	Chord	9/8	3	1	1/8			1/8	1	17		articStaccatoBelow					
1	1	0	0	0.0	0	0	Dynamic	9/8	4	1	0						pp						
1	1	0	0	0.5	0	0	Chord	9/8	4	1	1/8			1/8	1	18		articStaccatoAbove			6		
1	1	1/2	1/2	0.5	1/8	1/8	Chord	9/8	4	1	1/8			1/8	1	19		articStaccatoAbove			6		
