mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	slur
1	1	0	0	0.0	0	0	Dynamic	2/4	4	1	0					p				
1	1	0	0	1.0	0	0	Chord	2/4	4	1	1/4		1/4	1	0		articStaccatoAbove			
1	1	1	1	1.0	1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	1		articStaccatoAbove			
2	2	2	2	1.5	0	0	Chord	2/4	4	1	3/8		1/4	3/2	2					0
2	2	7/2	7/2	0.25	3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	3					0
2	2	15/4	15/4	0.25	7/16	7/16	Chord	2/4	4	1	1/16		1/16	1	4					
3	3	4	4	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	5		articStaccatoAbove			
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	6		articStaccatoAbove			
3	3	5	5	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	7		articStaccatoAbove			
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	8		articStaccatoAbove			
4	4	6	6	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	9					
5	5	8	8	0.0	0	0	Dynamic	2/4	1	1	0					p				
5	5	8	8	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	10		articStaccatoBelow			
5	5	9	9	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	11		articStaccatoBelow			
5	5	8	8	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	12		articStaccatoBelow			
5	5	9	9	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	13		articStaccatoBelow			
5	5	8	8	0.0	0	0	Dynamic	2/4	3	1	0					p				
5	5	8	8	0.0	0	0	Dynamic	2/4	3	1	0					p				
5	5	8	8	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	14		articStaccatoBelow			
5	5	9	9	1.0	1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	15		articStaccatoBelow			
5	5	8	8	0.0	0	0	Dynamic	2/4	4	1	0					p				
5	5	8	8	1.0	0	0	Chord	2/4	4	1	1/4		1/4	1	16		articStaccatoAbove			
5	5	9	9	1.0	1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	17		articStaccatoAbove			
6	6	10	10	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	18					1
6	6	23/2	23/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	19					1
6	6	47/4	47/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	20					
6	6	10	10	1.5	0	0	Chord	2/4	2	1	3/8		1/4	3/2	21					2
6	6	23/2	23/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	22					2
6	6	47/4	47/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	23					
6	6	10	10	1.5	0	0	Chord	2/4	3	1	3/8		1/4	3/2	24					3
6	6	23/2	23/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	25					3
6	6	47/4	47/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	26					
6	6	10	10	1.5	0	0	Chord	2/4	4	1	3/8		1/4	3/2	27					4
6	6	23/2	23/2	0.25	3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	28					4
6	6	47/4	47/4	0.25	7/16	7/16	Chord	2/4	4	1	1/16		1/16	1	29					
7	7	12	12	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	30		articStaccatoBelow			
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	31		articStaccatoBelow			
7	7	13	13	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	32		articStaccatoBelow			
