mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin
1	1	0	0	0.0	0	0	StaffText	2/2	1	1	0							"<font size=""9.2082""/><font face=""Times New Roman""/><i>sotto voce</i>"							
1	1	0	0	0.0	0	0	StaffText	2/2	1	1	0							"<b><font size=""10.0453""/><font face=""Times New Roman""/>Poco Adagio</b>"							
1	1	0	0	0.0	0	0	Tempo	2/2	1	1	0								𝅘𝅥=60	60.0	𝅘𝅥	60.0	1.0		
1	1	0	0	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	0									0	
1	1	2	2	1.5	1/2	1/2	Chord	2/2	1	1	3/8		1/4	3/2	1									0	
1	1	7/2	7/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	2										
1	1	0	0	0.0	0	0	StaffText	2/2	2	1	0							"<font size=""9.2082""/><font face=""Times New Roman""/><i>sotto voce</i>"							
1	1	0	0	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	3										
1	1	2	2	1.5	1/2	1/2	Chord	2/2	2	1	3/8		1/4	3/2	4										
1	1	7/2	7/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	5										
1	1	0	0	0.0	0	0	StaffText	2/2	3	1	0							"<font size=""9.2082""/><font face=""Times New Roman""/><i>sotto voce</i>"							
1	1	0	0	2.0	0	0	Chord	2/2	3	1	1/2		1/2	1	6										
1	1	2	2	1.5	1/2	1/2	Chord	2/2	3	1	3/8		1/4	3/2	7									1	
1	1	7/2	7/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	8										
1	1	0	0	0.0	0	0	StaffText	2/2	4	1	0							"<font size=""9.2082""/><font face=""Times New Roman""/><i>sotto voce</i>"							
1	1	0	0	2.0	0	0	Chord	2/2	4	1	1/2		1/2	1	9									2	
1	1	2	2	1.5	1/2	1/2	Chord	2/2	4	1	3/8		1/4	3/2	10									2	
1	1	7/2	7/2	0.5	7/8	7/8	Chord	2/2	4	1	1/8		1/8	1	11										
2	2	4	4	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	12										
2	2	4	4	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	13										
2	2	4	4	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	14										
2	2	4	4	1.0	0	0	Chord	2/2	4	1	1/4		1/4	1	15										
3	3	8	8	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	16									3	
3	3	10	10	1.5	1/2	1/2	Chord	2/2	1	1	3/8		1/4	3/2	17									3	
3	3	23/2	23/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	18										
3	3	8	8	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	19										
3	3	10	10	1.5	1/2	1/2	Chord	2/2	2	1	3/8		1/4	3/2	20										
3	3	23/2	23/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	21										
3	3	8	8	2.0	0	0	Chord	2/2	3	1	1/2		1/2	1	22										
3	3	10	10	1.5	1/2	1/2	Chord	2/2	3	1	3/8		1/4	3/2	23									4	
3	3	23/2	23/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	24										
3	3	8	8	2.0	0	0	Chord	2/2	4	1	1/2		1/2	1	25									5	
3	3	10	10	1.5	1/2	1/2	Chord	2/2	4	1	3/8		1/4	3/2	26									5	
3	3	23/2	23/2	0.5	7/8	7/8	Chord	2/2	4	1	1/8		1/8	1	27										
4	4	12	12	4.0	0	0	Chord	2/2	1	1	1		1	1	28										
4	4	12	12	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	29										
4	4	14	14	2.0	1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	30										
4	4	12	12	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	31										
4	4	15	15	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	32										
4	4	12	12	1.0	0	0	Chord	2/2	4	1	1/4		1/4	1	33										
5	5	16	16	3.0	0	0	Chord	2/2	1	1	3/4		1/2	3/2	34										
5	5	19	19	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	35										
5	5	16	16	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	36										
5	5	18	18	2.0	1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	37										
5	5	16	16	2.0	0	0	Chord	2/2	3	1	1/2		1/2	1	38										
5	5	18	18	2.0	1/2	1/2	Chord	2/2	3	1	1/2		1/2	1	39										
5	5	16	16	3.0	0	0	Chord	2/2	4	1	3/4		1/2	3/2	40									6	
5	5	19	19	1.0	3/4	3/4	Chord	2/2	4	1	1/4		1/4	1	41										
6	6	20	20	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	42										
6	6	22	22	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	43									7	
6	6	23	23	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	44									7	
6	6	47/2	47/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	45									7	
6	6	20	20	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	46										
6	6	22	22	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	47									8	
6	6	23	23	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	48									8	
6	6	47/2	47/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	49										
6	6	20	20	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	50									9	
6	6	21	21	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	51									9	
6	6	22	22	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	52									9	
6	6	23	23	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	53										
6	6	20	20	3.0	0	0	Chord	2/2	4	1	3/4		1/2	3/2	54									10	
6	6	23	23	1.0	3/4	3/4	Chord	2/2	4	1	1/4		1/4	1	55										
7	7	24	24	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	56									7	
7	7	25	25	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	57									7	
7	7	26	26	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	58									7	
7	7	27	27	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	59										
7	7	24	24	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	60									11	
7	7	26	26	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	61									11	
7	7	27	27	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	62										
7	7	24	24	2.0	0	0	Chord	2/2	3	1	1/2		1/2	1	63									12	
7	7	26	26	1.5	1/2	1/2	Chord	2/2	3	1	3/8		1/4	3/2	64									12	
7	7	55/2	55/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	65										
7	7	24	24	4.0	0	0	Chord	2/2	4	1	1		1	1	66										
8	8	28	28	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	67									13	
8	8	29	29	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	68										
8	8	30	30	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	69									14	
8	8	31	31	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	70										
8	8	28	28	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	71									15	
8	8	29	29	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	72										
8	8	30	30	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	73										
8	8	31	31	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	74										
8	8	28	28	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	75									16	
8	8	29	29	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	76									16	
8	8	30	30	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	77									16	
8	8	31	31	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	78										
8	8	28	28	2.0	0	0	Chord	2/2	4	1	1/2		1/2	1	79									17	
8	8	30	30	1.5	1/2	1/2	Chord	2/2	4	1	3/8		1/4	3/2	80									17	
8	8	63/2	63/2	0.5	7/8	7/8	Chord	2/2	4	1	1/8		1/8	1	81										
9	9	32	32	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	82									18	
9	9	33	33	0.25	1/4	1/4	Chord	2/2	1	1	1/16		1/16	1	83									18	
9	9	133/4	133/4	0.25	5/16	5/16	Chord	2/2	1	1	1/16		1/16	1	84									18	
9	9	67/2	67/2	0.25	3/8	3/8	Chord	2/2	1	1	1/16		1/16	1	85									18	
9	9	135/4	135/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16		1/16	1	86									18	
9	9	34	34	0.25	1/2	1/2	Chord	2/2	1	1	1/16		1/16	1	87									18	
9	9	137/4	137/4	0.25	9/16	9/16	Chord	2/2	1	1	1/16		1/16	1	88									18	
9	9	69/2	69/2	0.25	5/8	5/8	Chord	2/2	1	1	1/16		1/16	1	89									18	
9	9	139/4	139/4	0.25	11/16	11/16	Chord	2/2	1	1	1/16		1/16	1	90										
9	9	35	35	0.0	3/4	3/4	StaffText	2/2	1	1	0							"<font size=""9.2082""/><font face=""Times New Roman""/><i>cresc.</i>"							
9	9	35	35	0.25	3/4	3/4	Chord	2/2	1	1	1/16		1/16	1	91									19	
9	9	141/4	141/4	0.25	13/16	13/16	Chord	2/2	1	1	1/16		1/16	1	92									19	
9	9	71/2	71/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16		1/16	1	93									19	
9	9	143/4	143/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16		1/16	1	94										
9	9	32	32	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	95										
9	9	32	32	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	96										
9	9	35	35	0.0	3/4	3/4	StaffText	2/2	3	1	0							"<font size=""9.2082""/><font face=""Times New Roman""/><i>cresc.</i>"							
9	9	35	35	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	97										
