mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	StaffText	2/2	1	1	0							"<font size=""10.9754""/><font face=""Times New Roman""/><b>Finale</b>"								
1	1	0	0	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	0		articStaccatoBelow									
1	1	1	1	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	1		articStaccatoAbove									
1	1	2	2	0.0	1/2	1/2	Dynamic	2/2	1	1	0					sf										
1	1	2	2	2.0	1/2	1/2	Chord	2/2	1	1	1/2		1/2	1	2											
1	1	0	0	0.0	0	0	Dynamic	2/2	2	1	0					f										
1	1	0	0	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	3		articStaccatoBelow									
1	1	1	1	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	4		articStaccatoBelow									
1	1	2	2	0.0	1/2	1/2	Dynamic	2/2	2	1	0					sf										
1	1	2	2	2.0	1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	5											
1	1	0	0	0.0	0	0	Dynamic	2/2	3	1	0					f										
1	1	0	0	0.0	0	0	Dynamic	2/2	3	1	0					f										
1	1	0	0	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	6		articStaccatoBelow									
1	1	1	1	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	7		articStaccatoBelow									
1	1	2	2	0.0	1/2	1/2	Dynamic	2/2	3	1	0					sf										
1	1	2	2	2.0	1/2	1/2	Chord	2/2	3	1	1/2		1/2	1	8											
1	1	0	0	0.0	0	0	Dynamic	2/2	4	1	0					f										
1	1	0	0	1.0	0	0	Chord	2/2	4	1	1/4		1/4	1	9		articStaccatoBelow									
1	1	1	1	1.0	1/4	1/4	Chord	2/2	4	1	1/4		1/4	1	10		articStaccatoAbove									
1	1	2	2	0.0	1/2	1/2	Dynamic	2/2	4	1	0					sf										
1	1	2	2	2.0	1/2	1/2	Chord	2/2	4	1	1/2		1/2	1	11											
2	2	4	4	0.0	0	0	Dynamic	2/2	1	1	0					p										
2	2	4	4	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	12									0		
2	2	5	5	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	13									0		
2	2	6	6	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	14									0		
2	2	7	7	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	15									0		
2	2	4	4	0.0	0	0	Dynamic	2/2	2	1	0					p										
2	2	4	4	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	16									1		
