mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
9	9	24	24	0.5		0	0	Chord	3/4	3	1	1/8	1/8	1	70									
9	9	99/4	99/4	0.25		3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	71									
9	9	25	25	1.0		1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	72							6		
9	9	26	26	0.5		1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	73									
9	9	24	24	0.0		0	0	Dynamic	3/4	4	1	0				f								
9	9	24	24	0.0		0	0	Dynamic	3/4	4	1	0				f								
9	9	24	24	0.5		0	0	Chord	3/4	4	1	1/8	1/8	1	74									
9	9	99/4	99/4	0.25		3/16	3/16	Chord	3/4	4	1	1/16	1/16	1	75									
9	9	25	25	1.0		1/4	1/4	Chord	3/4	4	1	1/4	1/4	1	76							7		
9	9	26	26	0.5		1/2	1/2	Chord	3/4	4	1	1/8	1/8	1	77									
10	10	27	27	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	78									
10	10	111/4	111/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	79									
10	10	28	28	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	80							8		
10	10	29	29	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	81									
10	10	27	27	0.0		0	0	Dynamic	3/4	2	1	0				f								
10	10	27	27	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	82									
10	10	111/4	111/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	83									
10	10	28	28	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	84							9		
10	10	29	29	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	85									
10	10	27	27	0.0		0	0	Dynamic	3/4	3	1	0				f								
11	11	30	30	0.5		0	0	Chord	3/4	3	1	1/8	1/8	1	86									
11	11	123/4	123/4	0.25		3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	87									
11	11	31	31	1.0		1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	88							10		
11	11	32	32	0.5		1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	89									
11	11	30	30	0.5		0	0	Chord	3/4	4	1	1/8	1/8	1	90									
11	11	123/4	123/4	0.25		3/16	3/16	Chord	3/4	4	1	1/16	1/16	1	91									
11	11	31	31	1.0		1/4	1/4	Chord	3/4	4	1	1/4	1/4	1	92							11		
11	11	32	32	1.0		1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	93									
12	12	33	33	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	94									
12	12	135/4	135/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	95									
12	12	34	34	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	96							12		
12	12	35	35	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	97									
12	12	33	33	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	98									
12	12	135/4	135/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	99									
12	12	34	34	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	100							13		
12	12	35	35	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	101									
13	13	37	37	0.0		1/4	1/4	Dynamic	3/4	1	1	0				p								
13	13	37	37	1.5		1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	102									
13	13	37	37	0.0		1/4	1/4	Dynamic	3/4	2	1	0				p								
13	13	37	37	1.5		1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	103									
13	13	36	36	0.0		0	0	Dynamic	3/4	3	1	0				p								
13	13	36	36	0.5		0	0	Chord	3/4	3	1	1/8	1/8	1	104									
13	13	147/4	147/4	0.25		3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	105									
13	13	37	37	1.5		1/4	1/4	Chord	3/4	3	1	3/8	1/4	3/2	106									
13	13	77/2	77/2	0.5		5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	107		articStaccatoAbove							
13	13	37	37	0.0		1/4	1/4	Dynamic	3/4	4	1	0				p								
13	13	37	37	1.5		1/4	1/4	Chord	3/4	4	1	3/8	1/4	3/2	108									
14	14	40	40	1.5		1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	109									
14	14	40	40	1.5		1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	110									
14	14	39	39	0.5		0	0	Chord	3/4	3	1	1/8	1/8	1	111									
14	14	159/4	159/4	0.25		3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	112									
14	14	40	40	1.5		1/4	1/4	Chord	3/4	3	1	3/8	1/4	3/2	113									
14	14	83/2	83/2	0.5		5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	114		articStaccatoAbove							
14	14	40	40	1.5		1/4	1/4	Chord	3/4	4	1	3/8	1/4	3/2	115									
15	15	42	42	0.0		0	0	StaffText	3/4	1	1	0						<i>cresc.</i>						
15	15	85/2	85/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	116									
15	15	87/2	87/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	117									
15	15	89/2	89/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	118									
15	15	42	42	0.0		0	0	StaffText	3/4	2	1	0						<i>cresc.</i>						
15	15	85/2	85/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	119									
15	15	87/2	87/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	120									
15	15	89/2	89/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	121									
15	15	42	42	0.0		0	0	StaffText	3/4	3	1	0						<i>cresc.</i>						
15	15	42	42	0.5		0	0	Chord	3/4	3	1	1/8	1/8	1	122									
15	15	171/4	171/4	0.25		3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	123									
15	15	43	43	0.5		1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	124									
15	15	175/4	175/4	0.25		7/16	7/16	Chord	3/4	3	1	1/16	1/16	1	125									
15	15	44	44	0.5		1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	126									
15	15	179/4	179/4	0.25		11/16	11/16	Chord	3/4	3	1	1/16	1/16	1	127									
15	15	42	42	0.0		0	0	StaffText	3/4	4	1	0						<i>cresc.</i>						
15	15	42	42	1.0		0	0	Chord	3/4	4	1	1/4	1/4	1	128									
15	15	43	43	1.5		1/4	1/4	Chord	3/4	4	1	3/8	1/4	3/2	129									
15	15	89/2	89/2	0.5		5/8	5/8	Chord	3/4	4	1	1/8	1/8	1	130									
16	16	45	45	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	131									
16	16	183/4	183/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	132									
16	16	46	46	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	133									
16	16	187/4	187/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	134									
16	16	47	47	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	135									
16	16	191/4	191/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	136									
16	16	45	45	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	137									
16	16	183/4	183/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	138									
16	16	46	46	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	139									
16	16	187/4	187/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	140									
16	16	47	47	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	141									
16	16	191/4	191/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	142									
16	16	45	45	1.0		0	0	Chord	3/4	3	1	1/4	1/4	1	143									
16	16	187/4	187/4	0.25		7/16	7/16	Chord	3/4	3	1	1/16	1/16	1	144									
16	16	47	47	0.5		1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	145									
16	16	191/4	191/4	0.25		11/16	11/16	Chord	3/4	3	1	1/16	1/16	1	146									
16	16	45	45	0.5		0	0	Chord	3/4	4	1	1/8	1/8	1	147									
16	16	183/4	183/4	0.25		3/16	3/16	Chord	3/4	4	1	1/16	1/16	1	148									
16	16	46	46	0.5		1/4	1/4	Chord	3/4	4	1	1/8	1/8	1	149									
16	16	187/4	187/4	0.25		7/16	7/16	Chord	3/4	4	1	1/16	1/16	1	150									
16	16	47	47	0.5		1/2	1/2	Chord	3/4	4	1	1/8	1/8	1	151									
16	16	191/4	191/4	0.25		11/16	11/16	Chord	3/4	4	1	1/16	1/16	1	152									
17	17	48	48	0.0		0	0	Dynamic	3/4	1	1	0				f								
17	17	48	48	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	153									
17	17	195/4	195/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	154									
17	17	49	49	0.0		1/4	1/4	Dynamic	3/4	1	1	0				sf								
17	17	49	49	1.5		1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	155							14		
17	17	101/2	101/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	156									
17	17	48	48	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	157									
17	17	195/4	195/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	158									
17	17	49	49	0.0		1/4	1/4	Dynamic	3/4	2	1	0				sf								
17	17	49	49	1.5		1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	159							15		
17	17	101/2	101/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	160									
17	17	48	48	0.0		0	0	Dynamic	3/4	3	1	0				f								
17	17	48	48	1.0		0	0	Chord	3/4	3	1	1/4	1/4	1	161									
17	17	49	49	2.0		1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	162									
17	17	48	48	0.0		0	0	Dynamic	3/4	4	1	0				f								
17	17	48	48	0.0		0	0	Dynamic	3/4	4	1	0				f								
17	17	48	48	1.0		0	0	Chord	3/4	4	1	1/4	1/4	1	163									
17	17	49	49	0.0		1/4	1/4	Dynamic	3/4	4	1	0				sf								
17	17	49	49	0.0		1/4	1/4	Dynamic	3/4	4	1	0				sf								
17	17	49	49	2.0		1/4	1/4	Chord	3/4	4	1	1/2	1/2	1	164									
18	18	51	51	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	165									
18	18	207/4	207/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	166									
18	18	52	52	0.0		1/4	1/4	Dynamic	3/4	1	1	0				sf								
18	18	52	52	1.5		1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	167							16		
18	18	107/2	107/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	168									
18	18	51	51	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	169									
18	18	207/4	207/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	170									
18	18	52	52	0.0		1/4	1/4	Dynamic	3/4	2	1	0				sf								
18	18	52	52	1.5		1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	171							17		
18	18	107/2	107/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	172									
18	18	51	51	1.0		0	0	Chord	3/4	3	1	1/4	1/4	1	173							18		
18	18	52	52	1.0		1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	174							18		
18	18	53	53	1.0		1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	175									
18	18	51	51	1.0		0	0	Chord	3/4	4	1	1/4	1/4	1	176									
18	18	52	52	0.0		1/4	1/4	Dynamic	3/4	4	1	0				sf								
18	18	52	52	0.0		1/4	1/4	Dynamic	3/4	4	1	0				sf								
18	18	52	52	2.0		1/4	1/4	Chord	3/4	4	1	1/2	1/2	1	177									
19	19	54	54	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	178		articStaccatoAbove							
19	19	219/4	219/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	179		articStaccatoAbove							
19	19	55	55	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	180		articStaccatoAbove							
19	19	223/4	223/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	181		articStaccatoAbove							
19	19	56	56	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	182		articStaccatoAbove							
19	19	227/4	227/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	183		articStaccatoAbove							
19	19	54	54	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	184		articStaccatoAbove							
19	19	219/4	219/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	185		articStaccatoAbove							
19	19	55	55	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	186		articStaccatoAbove							
19	19	223/4	223/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	187		articStaccatoAbove							
19	19	56	56	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	188		articStaccatoAbove							
19	19	227/4	227/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	189		articStaccatoAbove							
19	19	54	54	0.5		0	0	Chord	3/4	3	1	1/8	1/8	1	190									
19	19	219/4	219/4	0.25		3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	191									
19	19	55	55	1.5		1/4	1/4	Chord	3/4	3	1	3/8	1/4	3/2	192							19		
19	19	113/2	113/2	0.5		5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	193									
19	19	54	54	0.5		0	0	Chord	3/4	4	1	1/8	1/8	1	194									
19	19	219/4	219/4	0.25		3/16	3/16	Chord	3/4	4	1	1/16	1/16	1	195									
19	19	55	55	1.5		1/4	1/4	Chord	3/4	4	1	3/8	1/4	3/2	196							20		
19	19	113/2	113/2	0.5		5/8	5/8	Chord	3/4	4	1	1/8	1/8	1	197									
20	20	57	57	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	198									
20	20	231/4	231/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	199									
20	20	58	58	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	200									
20	20	235/4	235/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	201									
20	20	59	59	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	202									
20	20	239/4	239/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	203									
20	20	57	57	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	204									
20	20	231/4	231/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	205									
20	20	58	58	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	206									
20	20	235/4	235/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	207									
20	20	59	59	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	208									
20	20	239/4	239/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	209									
20	20	57	57	0.5		0	0	Chord	3/4	3	1	1/8	1/8	1	210									
20	20	231/4	231/4	0.25		3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	211									
20	20	58	58	1.5		1/4	1/4	Chord	3/4	3	1	3/8	1/4	3/2	212							21		
20	20	119/2	119/2	0.5		5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	213									
20	20	57	57	0.5		0	0	Chord	3/4	4	1	1/8	1/8	1	214									
20	20	231/4	231/4	0.25		3/16	3/16	Chord	3/4	4	1	1/16	1/16	1	215									
20	20	58	58	1.5		1/4	1/4	Chord	3/4	4	1	3/8	1/4	3/2	216							22		
20	20	119/2	119/2	0.5		5/8	5/8	Chord	3/4	4	1	1/8	1/8	1	217									
21	21	60	60	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	218									
21	21	243/4	243/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	219									
21	21	61	61	1.5		1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	220							23		
21	21	125/2	125/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	221									
21	21	60	60	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	222									
21	21	243/4	243/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	223									
21	21	61	61	1.5		1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	224							24		
21	21	125/2	125/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	225									
21	21	60	60	0.5		0	0	Chord	3/4	3	1	1/8	1/8	1	226									
21	21	243/4	243/4	0.25		3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	227									
21	21	61	61	0.5		1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	228									
21	21	247/4	247/4	0.25		7/16	7/16	Chord	3/4	3	1	1/16	1/16	1	229									
21	21	62	62	0.5		1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	230									
21	21	251/4	251/4	0.25		11/16	11/16	Chord	3/4	3	1	1/16	1/16	1	231									
21	21	60	60	0.5		0	0	Chord	3/4	4	1	1/8	1/8	1	232									
21	21	243/4	243/4	0.25		3/16	3/16	Chord	3/4	4	1	1/16	1/16	1	233									
21	21	61	61	0.5		1/4	1/4	Chord	3/4	4	1	1/8	1/8	1	234									
21	21	247/4	247/4	0.25		7/16	7/16	Chord	3/4	4	1	1/16	1/16	1	235									
21	21	62	62	0.5		1/2	1/2	Chord	3/4	4	1	1/8	1/8	1	236									
21	21	251/4	251/4	0.25		11/16	11/16	Chord	3/4	4	1	1/16	1/16	1	237									
22	22	63	63	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	238									
22	22	255/4	255/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	239									
22	22	64	64	1.5		1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	240							25		
22	22	131/2	131/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	241									
22	22	63	63	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	242									
22	22	255/4	255/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	243									
22	22	64	64	1.5		1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	244							26		
22	22	131/2	131/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	245									
22	22	63	63	0.5		0	0	Chord	3/4	3	1	1/8	1/8	1	246									
22	22	255/4	255/4	0.25		3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	247									
22	22	64	64	0.5		1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	248									
22	22	259/4	259/4	0.25		7/16	7/16	Chord	3/4	3	1	1/16	1/16	1	249									
22	22	65	65	0.5		1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	250									
22	22	263/4	263/4	0.25		11/16	11/16	Chord	3/4	3	1	1/16	1/16	1	251									
22	22	63	63	0.5		0	0	Chord	3/4	4	1	1/8	1/8	1	252									
22	22	255/4	255/4	0.25		3/16	3/16	Chord	3/4	4	1	1/16	1/16	1	253									
22	22	64	64	0.5		1/4	1/4	Chord	3/4	4	1	1/8	1/8	1	254									
22	22	259/4	259/4	0.25		7/16	7/16	Chord	3/4	4	1	1/16	1/16	1	255									
22	22	65	65	0.5		1/2	1/2	Chord	3/4	4	1	1/8	1/8	1	256									
22	22	263/4	263/4	0.25		11/16	11/16	Chord	3/4	4	1	1/16	1/16	1	257									
23	23	66	66	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	258									
23	23	267/4	267/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	259									
23	23	67	67	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	260									
23	23	271/4	271/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	261									
