mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	decrescendo_hairpin
1	0	0	0	0.0		0	5/8	StaffText	2/2	1	1	0						<b>Allegro</b>			
1	0	0	0	0.0		0	5/8	StaffText	2/2	1	1	0						<b>q =165</b>			
1	0	0	0	0.0		0	5/8	Dynamic	2/2	3	1	0				p					
1	0	0	0	0.5		0	5/8	Chord	2/2	3	1	1/8	1/8	1	0		articStaccatoAbove				
1	0	1/2	1/2	0.5		1/8	3/4	Chord	2/2	3	1	1/8	1/8	1	1		articStaccatoAbove				
1	0	1	1	0.5		1/4	7/8	Chord	2/2	3	1	1/8	1/8	1	2		articStaccatoAbove				
2	1	4	4	0.0		5/8	5/8	Dynamic	2/2	1	1	0				p					
2	1	4	4	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	3		articStaccatoAbove				
2	1	9/2	9/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	4		articStaccatoAbove				
2	1	5	5	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	5		articStaccatoAbove				
2	1	3/2	3/2	4.0		0	0	Chord	2/2	3	1	1	1	1	6						
2	1	2	2	0.0		1/8	1/8	Dynamic	2/2	4	1	0				p					
2	1	2	2	0.5		1/8	1/8	Chord	2/2	4	1	1/8	1/8	1	7		articStaccatoAbove				
2	1	5/2	5/2	0.5		1/4	1/4	Chord	2/2	4	1	1/8	1/8	1	8		articStaccatoAbove				
2	1	3	3	0.5		3/8	3/8	Chord	2/2	4	1	1/8	1/8	1	9		articStaccatoAbove				
2	1	7/2	7/2	2.0		1/2	1/2	Chord	2/2	4	1	1/2	1/2	1	10				0		
3	2	11/2	11/2	2.0		0	0	Chord	2/2	1	1	1/2	1/2	1	11						
3	2	15/2	15/2	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	12						
3	2	8	8	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	13						
3	2	17/2	17/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	14						
3	2	9	9	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	15						
3	2	6	6	0.0		1/8	1/8	Dynamic	2/2	2	1	0				p					
