mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	Chord	2/4	3	1	0	grace32	1/32	1	0					
1	1	0	0	0.0	0	0	Chord	2/4	3	1	0	grace32	1/32	1	1					
1	1	0	0	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	2					
1	1	1	1	0.0	1/4	1/4	Spanner	2/4	3	1	0									0
1	1	1	1	0.875	1/4	1/4	Chord	2/4	3	1	7/32		1/8	7/4	3			0		0
1	1	15/8	15/8	0.0	15/32	15/32	Spanner	2/4	3	1	0								0	0
1	1	15/8	15/8	0.125	15/32	15/32	Chord	2/4	3	1	1/32		1/32	1	4				0	0
1	1	0	0	0.0	0	0	StaffText	2/4	4	1	0						"<font size=""12""/><b><i>p</i></b>"			
1	1	1	1	1.0	1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	5			1		
2	2	2	2	0.0	0	0	StaffText	2/4	1	1	0						"<font size=""12""/><b><i>pp</i></b>"			
2	2	5/2	5/2	0.0	1/8	1/8	Chord	2/4	1	1	0	grace32	1/32	1	6					
2	2	5/2	5/2	0.0	1/8	1/8	Chord	2/4	1	1	0	grace32	1/32	1	7					
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	8	articStaccatoBelow				
2	2	2	2	0.0	0	0	Spanner	2/4	3	1	0									
2	2	2	2	0.0	0	0	Spanner	2/4	3	1	0									
2	2	2	2	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	9					
2	2	2	2	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	10					
3	3	5	5	0.0	1/4	1/4	Spanner	2/4	2	1	0									1
3	3	5	5	0.0	1/4	1/4	Spanner	2/4	2	1	0								1	1
3	3	5	5	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	11				1	1
