mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
1	0	0	0	0.0		0	1/4	Tempo	2/4	1	1	0								𝅘𝅥=100	100.0	𝅘𝅥	100.0	1.0			
1	0	0	0	0.0		0	1/4	Dynamic	2/4	1	1	0					p										
1	0	0	0	0.0		0	1/4	StaffText	2/4	1	1	0							"<b><font size=""10.0453""/><font face=""Times New Roman""/>Allegretto con Variazioni</b>"								
1	0	0	0	0.75		0	1/4	Chord	2/4	1	1	3/16		1/8	3/2	0									0		
1	0	3/4	3/4	0.25		3/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1									0		
1	0	0	0	1.0		0	1/4	Chord	2/4	2	1	1/4		1/4	1	2											
1	0	0	0	0.0		0	1/4	Dynamic	2/4	3	1	0					p										
1	0	0	0	0.0		0	1/4	Dynamic	2/4	3	1	0					p										
1	0	0	0	1.0		0	1/4	Chord	2/4	3	1	1/4		1/4	1	3											
1	0	0	0	0.0		0	1/4	Dynamic	2/4	4	1	0					p										
1	0	0	0	1.0		0	1/4	Chord	2/4	4	1	1/4		1/4	1	4											
2	1	1	1	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	5		articStaccatoBelow									
2	1	2	2	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	6									1		
2	1	11/4	11/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	7									1		
2	1	1	1	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	8											
2	1	2	2	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	9											
2	1	1	1	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	10											
2	1	2	2	1.0		1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	11											
2	1	1	1	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	12											
2	1	2	2	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	13											
3	2	3	3	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	14		articStaccatoAbove									
3	2	4	4	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	15									2		
3	2	19/4	19/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	16									2		
3	2	3	3	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	17											
3	2	4	4	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	18											
3	2	3	3	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	19											
3	2	4	4	1.0		1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	20											
3	2	3	3	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	21											
3	2	4	4	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	22											
4	3	5	5	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	23		articStaccatoBelow									
4	3	6	6	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	24									3		
4	3	27/4	27/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	25									3		
4	3	5	5	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	26											
4	3	6	6	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	27											
4	3	5	5	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	28											
4	3	6	6	1.0		1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	29											
4	3	5	5	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	30											
4	3	6	6	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	31											
5	4	7	7	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	32		articStaccatoBelow									
5	4	8	8	0.0		1/4	1/4	StaffText	2/4	1	1	0							"<font size=""9.2082""/><font face=""Times New Roman""/><i>cresc.</i>"								
5	4	8	8	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	33											
5	4	35/4	35/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	34											
5	4	7	7	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	35											
5	4	8	8	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	36											
5	4	7	7	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	37											
5	4	8	8	0.0		1/4	1/4	StaffText	2/4	3	1	0							"<font size=""9.2082""/><font face=""Times New Roman""/><i>cresc.</i>"								
5	4	8	8	0.0		1/4	1/4	StaffText	2/4	3	1	0							"<font size=""9.2082""/><font face=""Times New Roman""/><i>cresc.</i>"								
5	4	8	8	1.0		1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	38											
5	4	7	7	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	39											
5	4	8	8	0.0		1/4	1/4	StaffText	2/4	4	1	0							"<font size=""9.2082""/><font face=""Times New Roman""/><i>cresc.</i>"								
5	4	8	8	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	40											
6	5	9	9	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	41		articStaccatoBelow									
6	5	10	10	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	42											
6	5	43/4	43/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	43											
6	5	9	9	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	44											
6	5	10	10	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	45											
6	5	9	9	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	46											
6	5	10	10	1.0		1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	47											
