mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	Trill:trill
1	1	0	0	0.0		0	0	Tempo	3/4	1	1	0								Andanteconmoto	80.0	1.0				
1	1	0	0	0.0		0	0	Dynamic	3/4	1	1	0					f									
1	1	0	0	0.0		0	0	StaffText	3/4	1	1	0							"<b><font size=""11""/>Introduzione</b>"							
1	1	0	0	0.0		0	0	Spanner	3/4	1	1	0													0	
1	1	0	0	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	0									0	
1	1	0	0	0.0		0	0	Spanner	3/4	2	1	0													1	
1	1	0	0	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	1									1	
1	1	0	0	0.0		0	0	Dynamic	3/4	3	1	0					f									
1	1	0	0	0.0		0	0	Spanner	3/4	3	1	0													2	
1	1	0	0	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	2									2	
1	1	0	0	0.0		0	0	Dynamic	3/4	4	1	0					f									
1	1	0	0	0.0		0	0	Dynamic	3/4	4	1	0					f									
1	1	0	0	0.0		0	0	Spanner	3/4	4	1	0													3	
1	1	0	0	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	3									3	
2	2	3	3	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	4									0	
2	2	4	4	0.0		1/4	1/4	Spanner	3/4	1	1	0														
2	2	3	3	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	5									1	
2	2	4	4	0.0		1/4	1/4	Spanner	3/4	2	1	0														
2	2	3	3	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	6									2	
2	2	4	4	0.0		1/4	1/4	Spanner	3/4	3	1	0														
2	2	3	3	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	7									3	
2	2	4	4	0.0		1/4	1/4	Spanner	3/4	4	1	0														
3	3	6	6	0.0		0	0	Dynamic	3/4	1	1	0					pp									
3	3	6	6	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	8										
3	3	6	6	0.0		0	0	Dynamic	3/4	2	1	0					pp									
3	3	6	6	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	9										
3	3	6	6	0.0		0	0	Dynamic	3/4	3	1	0					pp									
3	3	6	6	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	10										
3	3	6	6	0.0		0	0	Dynamic	3/4	4	1	0					pp									
3	3	6	6	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	11										
4	4	9	9	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	12										
4	4	9	9	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	13										
4	4	9	9	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	14										
4	4	9	9	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	15										
5	5	12	12	0.0		0	0	StaffText	3/4	1	1	0							<i>sempre</i>							
5	5	12	12	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	16										
5	5	12	12	0.0		0	0	StaffText	3/4	2	1	0							<i>sempre</i>							
5	5	12	12	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	17										
5	5	12	12	0.0		0	0	StaffText	3/4	3	1	0							<i>sempre</i>							
5	5	12	12	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	18										
5	5	12	12	0.0		0	0	StaffText	3/4	4	1	0							<i>sempre</i>							
5	5	12	12	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	19							0			
6	6	15	15	0.0		0	0	Dynamic	3/4	1	1	0					pp									
6	6	15	15	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	20										
6	6	15	15	0.0		0	0	Dynamic	3/4	2	1	0					pp									
