mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur
4	3	23/2	23/2	0.0		5/8	5/8	Chord	4/4	1	1	0	grace16		1/16	1	40				
4	3	23/2	23/2	0.0		5/8	5/8	Chord	4/4	1	1	0	grace16		1/16	1	41				
4	3	23/2	23/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	42				6
4	3	12	12	0.5		3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	43				6
4	3	25/2	25/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	44				
4	3	9	9	3.0		0	0	Chord	4/4	2	1	3/4			1/2	3/2	45				7
4	3	12	12	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	46				
4	3	9	9	3.0		0	0	Chord	4/4	3	1	3/4			1/2	3/2	47				8
4	3	12	12	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	48				
4	3	9	9	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	49				
4	3	19/2	19/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	50				
4	3	10	10	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	51				
4	3	21/2	21/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	52				
4	3	11	11	0.5		1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	53				
4	3	23/2	23/2	0.5		5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	54				
4	3	12	12	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	55				
4	3	25/2	25/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	56				
5	4	13	13	0.0		0	0	Dynamic	4/4	1	1	0						sf			
5	4	13	13	2.0		0	0	Chord	4/4	1	1	1/2			1/2	1	57				9
5	4	15	15	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	58		articStaccatoBelow		
5	4	16	16	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	59				
5	4	13	13	0.0		0	0	Dynamic	4/4	2	1	0						sf			
5	4	13	13	2.0		0	0	Chord	4/4	2	1	1/2			1/2	1	60				10
5	4	15	15	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	61		articStaccatoBelow		
5	4	13	13	0.0		0	0	Dynamic	4/4	3	1	0						sf			
5	4	13	13	1.5		0	0	Chord	4/4	3	1	3/8			1/4	3/2	62				11
5	4	29/2	29/2	0.5		3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	63				
5	4	15	15	1.0		1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	64		articStaccatoBelow		
5	4	13	13	0.0		0	0	Dynamic	4/4	4	1	0						sf			
5	4	13	13	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	65				
5	4	27/2	27/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	66				
5	4	14	14	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	67				
5	4	29/2	29/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	68				
5	4	15	15	0.5		1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	69				
5	4	31/2	31/2	0.5		5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	70				
5	4	16	16	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	71				
5	4	33/2	33/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	72				
6	5	17	17	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	73				12
6	5	35/2	35/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	74				
6	5	18	18	2.0		1/4	1/4	Chord	4/4	1	1	1/2			1/2	1	75				13
6	5	20	20	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	76				
6	5	18	18	2.0		1/4	1/4	Chord	4/4	2	1	1/2			1/2	1	77				14
6	5	20	20	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	78				
6	5	18	18	2.0		1/4	1/4	Chord	4/4	3	1	1/2			1/2	1	79				15
6	5	20	20	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	80				
6	5	17	17	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	81				
6	5	35/2	35/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	82				
6	5	18	18	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	83				
6	5	37/2	37/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	84				
6	5	19	19	0.5		1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	85				
6	5	39/2	39/2	0.5		5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	86				
6	5	20	20	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	87				
6	5	41/2	41/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	88				
7	6	21	21	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	89				16
7	6	43/2	43/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	90				
7	6	22	22	2.0		1/4	1/4	Chord	4/4	1	1	1/2			1/2	1	91				17
7	6	24	24	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	92				
7	6	21	21	0.5		0	0	Chord	4/4	2	1	1/8			1/8	1	93				18
7	6	43/2	43/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	94				
7	6	22	22	2.0		1/4	1/4	Chord	4/4	2	1	1/2			1/2	1	95				19
7	6	24	24	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	96				
7	6	21	21	0.5		0	0	Chord	4/4	3	1	1/8			1/8	1	97				20
7	6	43/2	43/2	0.5		1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	98				
7	6	22	22	2.0		1/4	1/4	Chord	4/4	3	1	1/2			1/2	1	99				21
7	6	24	24	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	100				
7	6	21	21	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	101				
7	6	43/2	43/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	102				
7	6	22	22	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	103				
7	6	45/2	45/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	104				
7	6	23	23	0.5		1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	105				
7	6	47/2	47/2	0.5		5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	106				
7	6	24	24	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	107				
7	6	49/2	49/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	108				
8	7	25	25	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	109				22
8	7	51/2	51/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	110				
8	7	26	26	2.0		1/4	1/4	Chord	4/4	1	1	1/2			1/2	1	111				23
8	7	28	28	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	112				
8	7	25	25	0.5		0	0	Chord	4/4	2	1	1/8			1/8	1	113				
8	7	51/2	51/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	114				
8	7	26	26	0.5		1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	115				
8	7	53/2	53/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	116				
8	7	27	27	0.5		1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	117				
8	7	55/2	55/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	118				
8	7	28	28	0.5		3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	119				
8	7	57/2	57/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	120				
8	7	25	25	0.5		0	0	Chord	4/4	3	1	1/8			1/8	1	121				
8	7	51/2	51/2	0.5		1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	122				
8	7	26	26	0.5		1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	123				
8	7	53/2	53/2	0.5		3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	124				
8	7	27	27	0.5		1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	125				
8	7	55/2	55/2	0.5		5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	126				
8	7	28	28	0.5		3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	127				
8	7	57/2	57/2	0.5		7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	128				
8	7	25	25	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	129				
8	7	51/2	51/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	130				
8	7	26	26	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	131				
8	7	53/2	53/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	132				
8	7	27	27	0.5		1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	133				
8	7	55/2	55/2	0.5		5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	134				
8	7	28	28	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	135				
8	7	57/2	57/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	136				
9	8	29	29	1.5		0	0	Chord	4/4	1	1	3/8			1/4	3/2	137		ornamentTurn		24
9	8	61/2	61/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	138				24
9	8	31	31	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	139				
9	8	65/2	65/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	140				
9	8	29	29	0.5		0	0	Chord	4/4	2	1	1/8			1/8	1	141				
9	8	59/2	59/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	142				
9	8	30	30	0.5		1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	143				
9	8	61/2	61/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	144				
9	8	31	31	0.5		1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	145				
9	8	63/2	63/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	146				
9	8	32	32	0.5		3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	147				
9	8	65/2	65/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	148				
9	8	29	29	0.5		0	0	Chord	4/4	3	1	1/8			1/8	1	149				
9	8	59/2	59/2	0.5		1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	150				
9	8	30	30	0.5		1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	151				
9	8	61/2	61/2	0.5		3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	152				
9	8	31	31	0.5		1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	153				
9	8	63/2	63/2	0.5		5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	154				
9	8	32	32	0.5		3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	155				
9	8	65/2	65/2	0.5		7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	156				
9	8	29	29	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	157				
9	8	59/2	59/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	158				
9	8	30	30	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	159				
9	8	61/2	61/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	160				
9	8	31	31	0.5		1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	161				
9	8	63/2	63/2	0.5		5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	162				
9	8	32	32	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	163				
9	8	65/2	65/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	164				
10	9	33	33	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	165				25
10	9	67/2	67/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	166				
10	9	34	34	2.0		1/4	1/4	Chord	4/4	1	1	1/2			1/2	1	167				26
10	9	36	36	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	168				
10	9	33	33	0.5		0	0	Chord	4/4	2	1	1/8			1/8	1	169				
10	9	67/2	67/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	170				
10	9	34	34	0.5		1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	171				
10	9	69/2	69/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	172				
10	9	35	35	0.5		1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	173				
10	9	71/2	71/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	174				
10	9	36	36	0.5		3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	175				
10	9	73/2	73/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	176				
10	9	33	33	0.5		0	0	Chord	4/4	3	1	1/8			1/8	1	177				
10	9	67/2	67/2	0.5		1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	178				
10	9	34	34	0.5		1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	179				
10	9	69/2	69/2	0.5		3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	180				
10	9	35	35	0.5		1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	181				
10	9	71/2	71/2	0.5		5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	182				
10	9	36	36	0.5		3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	183				
10	9	73/2	73/2	0.5		7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	184				
10	9	33	33	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	185				
10	9	67/2	67/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	186				
10	9	34	34	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	187				
10	9	69/2	69/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	188				
10	9	35	35	0.5		1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	189				
10	9	71/2	71/2	0.5		5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	190				
10	9	36	36	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	191				
10	9	73/2	73/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	192				
11	10	37	37	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	193				27
11	10	75/2	75/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	194				
11	10	38	38	2.0		1/4	1/4	Chord	4/4	1	1	1/2			1/2	1	195				28
11	10	40	40	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	196				
11	10	75/2	75/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	197				
11	10	38	38	0.5		1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	198				
11	10	77/2	77/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	199				
11	10	39	39	0.5		1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	200				
11	10	79/2	79/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	201				
11	10	40	40	0.5		3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	202				
11	10	81/2	81/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	203				
11	10	75/2	75/2	0.5		1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	204				
11	10	38	38	0.5		1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	205				
11	10	77/2	77/2	0.5		3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	206				
11	10	39	39	0.5		1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	207				
11	10	79/2	79/2	0.5		5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	208				
11	10	40	40	0.5		3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	209				
11	10	81/2	81/2	0.5		7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	210				
11	10	75/2	75/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	211				
11	10	38	38	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	212				
11	10	77/2	77/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	213				
11	10	39	39	0.5		1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	214				
11	10	79/2	79/2	0.5		5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	215				
11	10	40	40	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	216				
11	10	81/2	81/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	217				
12	11	41	41	0.0		0	0	StaffText	4/4	1	1	0								cresc.	
12	11	41	41	1.0		0	0	Chord	4/4	1	1	1/4			1/4	1	218				29
12	11	42	42	1.0		1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	219				29
12	11	43	43	0.5		1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	220				
12	11	87/2	87/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	221		ornamentTurn		30
12	11	44	44	0.5		3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	222				30
12	11	89/2	89/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	223				
12	11	41	41	0.0		0	0	StaffText	4/4	2	1	0								cresc.	
12	11	41	41	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	224				31
12	11	42	42	1.0		1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	225				31
12	11	43	43	0.5		1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	226				
12	11	87/2	87/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	227		ornamentTurn		32
12	11	44	44	0.5		3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	228				32
12	11	89/2	89/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	229				
12	11	41	41	0.0		0	0	StaffText	4/4	3	1	0								cresc.	
12	11	41	41	0.5		0	0	Chord	4/4	3	1	1/8			1/8	1	230				
12	11	83/2	83/2	0.5		1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	231				
12	11	42	42	0.5		1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	232				
12	11	85/2	85/2	0.5		3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	233				
12	11	43	43	0.5		1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	234				
12	11	87/2	87/2	0.5		5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	235				
12	11	44	44	0.5		3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	236				
12	11	89/2	89/2	0.5		7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	237				
12	11	41	41	0.0		0	0	StaffText	4/4	4	1	0								cresc.	
12	11	41	41	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	238				
12	11	83/2	83/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	239				
12	11	42	42	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	240				
12	11	85/2	85/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	241				
12	11	43	43	0.5		1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	242				
12	11	87/2	87/2	0.5		5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	243				
12	11	44	44	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	244				
12	11	89/2	89/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	245				
13	12	45	45	1.0		0	0	Chord	4/4	1	1	1/4			1/4	1	246				33
13	12	46	46	2.0		1/4	1/4	Chord	4/4	1	1	1/2			1/2	1	247				33
13	12	48	48	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	248				
13	12	45	45	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	249				34
13	12	46	46	2.0		1/4	1/4	Chord	4/4	2	1	1/2			1/2	1	250				34
13	12	48	48	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	251				
13	12	45	45	0.5		0	0	Chord	4/4	3	1	1/8			1/8	1	252				
13	12	91/2	91/2	0.5		1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	253				
13	12	46	46	0.5		1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	254				
13	12	93/2	93/2	0.5		3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	255				
13	12	47	47	0.5		1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	256				
13	12	95/2	95/2	0.5		5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	257				
13	12	48	48	0.5		3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	258				
13	12	97/2	97/2	0.5		7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	259				
13	12	45	45	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	260				
13	12	91/2	91/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	261				
13	12	46	46	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	262				
13	12	93/2	93/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	263				
13	12	47	47	0.5		1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	264				
13	12	95/2	95/2	0.5		5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	265				
13	12	48	48	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	266				
13	12	97/2	97/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	267				
14	13	49	49	0.0		0	0	Dynamic	4/4	1	1	0						ff			
14	13	49	49	1.0		0	0	Chord	4/4	1	1	1/4			1/4	1	268		articStaccatoAbove		
14	13	49	49	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	269		articStaccatoBelow		
14	13	51	51	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	270		articStaccatoBelow		
14	13	49	49	0.0		0	0	Dynamic	4/4	3	1	0						ff			
14	13	49	49	0.0		0	0	Dynamic	4/4	3	1	0						ff			
14	13	49	49	1.0		0	0	Chord	4/4	3	1	1/4			1/4	1	271		articStaccatoBelow		
14	13	51	51	1.0		1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	272		articStaccatoAbove		
14	13	49	49	0.0		0	0	Dynamic	4/4	4	1	0						ff			
14	13	49	49	1.0		0	0	Chord	4/4	4	1	1/4			1/4	1	273		articStaccatoBelow		
14	13	51	51	1.0		1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	274		articStaccatoBelow		
