mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	tempo_visible	slur	decrescendo_hairpin
1	0	0	0	0.0		0	1/2	Tempo	3/4	1	1	0							Vivace	240.0	1.0		
1	0	0	0	1.0		0	1/2	Chord	3/4	2	1	1/4		1/4	1	0							
2	1	1	1	0.0		0	0	StaffText	3/4	1	1	0						"<font size=""12""/><b><i>p</i></b>"					
2	1	2	2	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	1							
2	1	1	1	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	2							
2	1	3	3	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	3							
2	1	1	1	0.0		0	0	StaffText	3/4	3	1	0						"<font size=""12""/><b><i>p</i></b>"					
2	1	1	1	0.0		0	0	StaffText	3/4	3	1	0						"<font size=""12""/><b><i>p</i></b>"					
2	1	1	1	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	4							
2	1	1	1	0.0		0	0	StaffText	3/4	4	1	0						"<font size=""12""/><b><i>p</i></b>"					
2	1	1	1	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	5	articStaccatoBelow						
2	1	3	3	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	6	articStaccatoBelow						
3	2	4	4	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	7							
3	2	5	5	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	8							
3	2	4	4	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	9							
3	2	6	6	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	10							
3	2	4	4	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	11							
3	2	4	4	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	12	articStaccatoBelow						
3	2	6	6	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	13	articStaccatoBelow						
4	3	7	7	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	14							
4	3	8	8	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	15							
4	3	7	7	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	16							
4	3	9	9	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	17							
4	3	7	7	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	18							
4	3	7	7	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	19							
4	3	9	9	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	20							
5	4	10	10	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	21							
5	4	11	11	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	22							
5	4	10	10	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	23							
5	4	12	12	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	24							
5	4	10	10	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	25							
5	4	10	10	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	26							
5	4	12	12	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	27							
6	5	13	13	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	28							
6	5	14	14	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	29							
6	5	13	13	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	30							
6	5	15	15	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	31							
6	5	13	13	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	32							
6	5	13	13	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	33							
6	5	15	15	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	34							
7	6	16	16	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	35							
7	6	17	17	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	36							
7	6	16	16	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	37							
7	6	18	18	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	38							
7	6	16	16	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	39							
7	6	16	16	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	40							
7	6	18	18	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	41							
8	7	19	19	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	42	articStaccatoBelow						
8	7	20	20	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	43	articStaccatoBelow						
8	7	21	21	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	44	articStaccatoBelow						
8	7	19	19	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	45	articStaccatoBelow						
8	7	20	20	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	46	articStaccatoBelow						
8	7	21	21	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	47	articStaccatoBelow						
8	7	19	19	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	48	articStaccatoBelow						
8	7	20	20	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	49	articStaccatoBelow						
8	7	21	21	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	50	articStaccatoBelow						
8	7	19	19	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	51	articStaccatoAbove						
8	7	20	20	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	52	articStaccatoBelow						
8	7	21	21	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	53	articStaccatoBelow						
9	8	22	22	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	54	articStaccatoBelow						
9	8	24	24	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	55							
9	8	22	22	0.0		0	0	StaffText	3/4	2	1	0						"<font size=""12""/><b><i>pp</i></b>"					
9	8	22	22	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	56	articStaccatoBelow						
9	8	23	23	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	57	articStaccatoAbove						
9	8	24	24	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	58	articStaccatoAbove						
9	8	22	22	0.0		0	0	StaffText	3/4	3	1	0						"<font size=""12""/><b><i>pp</i></b>"					
9	8	22	22	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	59	articStaccatoBelow						
9	8	23	23	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	60	articStaccatoAbove						
9	8	24	24	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	61	articStaccatoAbove						
9	8	22	22	0.0		0	0	StaffText	3/4	4	1	0						"<font size=""12""/><b><i>pp</i></b>"					
9	8	22	22	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	62	articStaccatoBelow						
9	8	23	23	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	63	articStaccatoAbove						
9	8	24	24	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	64	articStaccatoAbove						
10	9	25	25	0.0		0	0	StaffText	3/4	1	1	0						"<font size=""12""/><b><i>pp</i></b>"					
10	9	25	25	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	65							
10	9	27	27	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	66							
10	9	25	25	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	67	articStaccatoAbove						
10	9	26	26	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	68							
10	9	25	25	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	69	articStaccatoAbove						
10	9	26	26	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	70	articStaccatoBelow						
10	9	27	27	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	71							
10	9	25	25	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	72	articStaccatoAbove						
10	9	27	27	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	73							
11	10	28	28	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	74							
11	10	30	30	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	75							
11	10	28	28	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	76							
11	10	29	29	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	77							
11	10	28	28	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	78							
11	10	29	29	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	79							
11	10	30	30	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	80						0	
11	10	28	28	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	81							
11	10	30	30	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	82							
12	11	31	31	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	83							
12	11	33	33	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	84							
12	11	31	31	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	85							
12	11	32	32	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	86							
12	11	31	31	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	87							
12	11	32	32	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	88							
12	11	33	33	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	89							
12	11	31	31	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	90							
12	11	33	33	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	91							
13	12	34	34	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	92							
13	12	36	36	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	93							
13	12	34	34	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	94							
13	12	35	35	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	95							
13	12	34	34	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	96							
13	12	35	35	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	97							
13	12	36	36	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	98							
13	12	34	34	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	99							
13	12	36	36	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	100							
14	13	37	37	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	101							
14	13	39	39	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	102							
14	13	37	37	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	103							
14	13	38	38	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	104							
14	13	37	37	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	105							
14	13	38	38	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	106							
14	13	39	39	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	107							
14	13	37	37	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	108							
14	13	39	39	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	109							
15	14	40	40	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	110							
15	14	42	42	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	111							
15	14	40	40	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	112							
15	14	41	41	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	113							
15	14	40	40	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	114							
15	14	41	41	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	115							
15	14	42	42	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	116							
15	14	40	40	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	117							
15	14	42	42	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	118							
16	15	43	43	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	119	articStaccatoAbove						
16	15	44	44	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	120	articStaccatoAbove						
16	15	45	45	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	121	articStaccatoAbove						
16	15	43	43	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	122							
16	15	44	44	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	123	articStaccatoAbove						
16	15	45	45	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	124	articStaccatoAbove						
16	15	43	43	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	125							
16	15	44	44	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	126							
16	15	45	45	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	127							
16	15	43	43	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	128							
16	15	44	44	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	129							
16	15	45	45	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	130							
17	16	46	46	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	131	articStaccatoAbove						
17	16	47	47	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	132	articAccentBelow						
17	16	46	46	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	133	articStaccatoAbove						
17	16	47	47	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	134	articAccentBelow						
17	16	46	46	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	135							
17	16	47	47	2.0		1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	136	articAccentBelow						
17	16	46	46	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	137							
17	16	47	47	2.0		1/4	1/4	Chord	3/4	4	1	1/2		1/2	1	138	articAccentBelow						
18	17	50	50	2.0		1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	139							
18	17	49	49	0.0		0	0	StaffText	3/4	4	1	0						"<font size=""10""/><i>dim.</i>"					
18	17	50	50	2.0		1/4	1/4	Chord	3/4	4	1	1/2		1/2	1	140							
19	18	52	52	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	141							
19	18	54	54	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	142							
19	18	52	52	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	143							
19	18	54	54	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	144							
20	19	55	55	0.0		0	0	StaffText	3/4	1	1	0						"<font size=""10""/><i>dim.</i>"					
20	19	56	56	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	145							
20	19	56	56	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	146							
20	19	55	55	0.0		0	0	StaffText	3/4	3	1	0						"<font size=""10""/><i>dim.</i>"					
20	19	56	56	2.0		1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	147							
20	19	56	56	2.0		1/4	1/4	Chord	3/4	4	1	1/2		1/2	1	148							
21	20	58	58	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	149							
21	20	60	60	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	150							
21	20	58	58	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	151							
21	20	60	60	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	152							
21	20	58	58	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	153							
21	20	60	60	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	154							
21	20	58	58	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	155							
21	20	60	60	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	156							
22	21	62	62	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	157							
22	21	61	61	0.0		0	0	StaffText	3/4	2	1	0						"<font size=""12""/><b><i>p</i></b>"					
22	21	62	62	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	158							
22	21	61	61	0.0		0	0	StaffText	3/4	3	1	0						"<font size=""12""/><b><i>p</i></b>"					
22	21	62	62	2.0		1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	159							
22	21	61	61	0.0		0	0	StaffText	3/4	4	1	0						"<font size=""12""/><b><i>p</i></b>"					
22	21	61	61	0.0		0	0	StaffText	3/4	4	1	0						"<font size=""12""/><b><i>p</i></b>"					
22	21	62	62	2.0		1/4	1/4	Chord	3/4	4	1	1/2		1/2	1	160							
23	22	65	65	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	161							
23	22	65	65	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	162							
23	22	65	65	2.0		1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	163							
23	22	65	65	2.0		1/4	1/4	Chord	3/4	4	1	1/2		1/2	1	164							
24	23	68	68	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	165							
24	23	67	67	0.0		0	0	StaffText	3/4	2	1	0						"<font size=""12""/><b><i>pp</i></b>"					
24	23	68	68	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	166							
24	23	67	67	0.0		0	0	StaffText	3/4	3	1	0						"<font size=""12""/><b><i>pp</i></b>"					
24	23	68	68	2.0		1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	167							
24	23	67	67	0.0		0	0	StaffText	3/4	4	1	0						"<font size=""12""/><b><i>pp</i></b>"					
24	23	67	67	0.0		0	0	StaffText	3/4	4	1	0						"<font size=""12""/><b><i>pp</i></b>"					
24	23	68	68	2.0		1/4	1/4	Chord	3/4	4	1	1/2		1/2	1	168							
25	24	71	71	0.0		1/4	1/4	StaffText	3/4	1	1	0						"<font size=""7.8""/><i>cresc.</i>"					
25	24	71	71	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	169							
25	24	71	71	0.0		1/4	1/4	StaffText	3/4	2	1	0						"<font size=""7.8""/><i>cresc.</i>"					
25	24	71	71	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	170							
25	24	71	71	0.0		1/4	1/4	StaffText	3/4	3	1	0						"<font size=""7.8""/><i>cresc.</i>"					
25	24	71	71	2.0		1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	171							
25	24	71	71	0.0		1/4	1/4	StaffText	3/4	4	1	0						"<i><font size=""7.8""/>cresc.</i>"					
25	24	71	71	2.0		1/4	1/4	Chord	3/4	4	1	1/2		1/2	1	172							
26	25	74	74	0.0		1/4	1/4	StaffText	3/4	1	1	0						"<font size=""7.8""/><i>cresc.</i>"					
26	25	74	74	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	173							
26	25	75	75	0.0		1/2	1/2	StaffText	3/4	2	1	0						"<font size=""8.5""/><i>cresc.</i>"					
26	25	75	75	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	174							
26	25	73	73	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	175							
26	25	74	74	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	176						1	
26	25	75	75	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	177						1	
26	25	74	74	2.0		1/4	1/4	Chord	3/4	3	2	1/2		1/2	1	178						2	
26	25	73	73	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	179							
26	25	75	75	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	180							
27	26	76	76	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	181							
27	26	77	77	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	182							
27	26	76	76	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	183						3	
27	26	78	78	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	184						3	
27	26	76	76	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	185							
27	26	77	77	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	186						4	
27	26	78	78	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	187						4	
27	26	76	76	1.0		0	0	Chord	3/4	3	2	1/4		1/4	1	188							
27	26	77	77	2.0		1/4	1/4	Chord	3/4	3	2	1/2		1/2	1	189						5	
27	26	76	76	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	190							
27	26	78	78	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	191							
28	27	79	79	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	192							
28	27	80	80	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	193							
28	27	79	79	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	194						3	
28	27	81	81	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	195						3	
28	27	79	79	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	196							
28	27	80	80	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	197						6	
28	27	81	81	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	198						6	
28	27	79	79	1.0		0	0	Chord	3/4	3	2	1/4		1/4	1	199							
28	27	80	80	2.0		1/4	1/4	Chord	3/4	3	2	1/2		1/2	1	200						7	
28	27	79	79	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	201							
28	27	81	81	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	202							
29	28	82	82	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	203							
29	28	83	83	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	204							
29	28	82	82	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	205						3	
29	28	84	84	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	206							
29	28	82	82	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	207							
29	28	83	83	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	208						8	
29	28	84	84	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	209						8	
29	28	82	82	1.0		0	0	Chord	3/4	3	2	1/4		1/4	1	210							
29	28	82	82	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	211							
29	28	84	84	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	212							
30	29	85	85	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	213							
30	29	86	86	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	214							
30	29	85	85	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	215							
30	29	86	86	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	216						9	
30	29	87	87	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	217							
30	29	85	85	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	218							
30	29	86	86	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	219						10	
30	29	87	87	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	220						10	
30	29	86	86	2.0		1/4	1/4	Chord	3/4	3	2	1/2		1/2	1	221						11	
30	29	85	85	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	222							
30	29	87	87	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	223							
31	30	88	88	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	224							
31	30	89	89	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	225							
31	30	88	88	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	226							
31	30	89	89	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	227							
31	30	90	90	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	228							
31	30	88	88	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	229							
31	30	89	89	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	230						12	
31	30	90	90	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	231						12	
31	30	88	88	1.0		0	0	Chord	3/4	3	2	1/4		1/4	1	232							
31	30	89	89	2.0		1/4	1/4	Chord	3/4	3	2	1/2		1/2	1	233						13	
31	30	88	88	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	234							
31	30	90	90	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	235							
32	31	91	91	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	236							
32	31	92	92	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	237	articStaccatoBelow						
32	31	93	93	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	238	articStaccatoBelow						
32	31	91	91	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	239							
32	31	92	92	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	240							
32	31	93	93	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	241							
32	31	91	91	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	242							
32	31	92	92	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	243						14	
32	31	93	93	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	244						14	
32	31	91	91	1.0		0	0	Chord	3/4	3	2	1/4		1/4	1	245							
