mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
1	0	0	0	0.0	0	1	StaffText	12/8	1	1	0							"<font size=""10.9754""/><font face=""Times New Roman""/><b>Adagio ma non troppo e molto cantabile</b>"								
1	0	0	0	0.0	0	1	Tempo	12/8	1	1	0								𝅘𝅥=60	60.0	𝅘𝅥	60.0	1.0			
1	0	0	0	0.0	0	1	Dynamic	12/8	4	1	0					pp										
1	0	0	0	0.5	0	1	Chord	12/8	4	1	1/8		1/8	1	0											
1	0	1/2	1/2	1.0	1/8	9/8	Chord	12/8	4	1	1/4		1/4	1	1											
1	0	3/2	3/2	0.5	3/8	11/8	Chord	12/8	4	1	1/8		1/8	1	2											
2	1	6	6	0.5	1	1	Chord	12/8	2	1	1/8		1/8	1	3											
2	1	13/2	13/2	1.0	9/8	9/8	Chord	12/8	2	1	1/4		1/4	1	4											
2	1	15/2	15/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8		1/8	1	5											
2	1	3	3	0.5	1/4	1/4	Chord	12/8	3	1	1/8		1/8	1	6											
2	1	7/2	7/2	1.0	3/8	3/8	Chord	12/8	3	1	1/4		1/4	1	7											
2	1	9/2	9/2	0.5	5/8	5/8	Chord	12/8	3	1	1/8		1/8	1	8											
2	1	5	5	0.0	3/4	3/4	Dynamic	12/8	3	1	0					pp										
2	1	5	5	3.0	3/4	3/4	Chord	12/8	3	1	3/4		1/2	3/2	9											
2	1	2	2	0.0	0	0	Dynamic	12/8	4	1	0					pp										
2	1	2	2	6.0	0	0	Chord	12/8	4	1	3/2		1	3/2	10											
3	2	9	9	0.0	1/4	1/4	Dynamic	12/8	1	1	0					pp										
3	2	9	9	0.5	1/4	1/4	Chord	12/8	1	1	1/8		1/8	1	11											
3	2	19/2	19/2	1.0	3/8	3/8	Chord	12/8	1	1	1/4		1/4	1	12											
3	2	21/2	21/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8		1/8	1	13											
3	2	11	11	1.0	3/4	3/4	Chord	12/8	1	1	1/4		1/4	1	14											
3	2	12	12	0.0	1	1	StaffText	12/8	1	1	0							"<font size=""10.0608""/><font face=""Times New Roman""/><i>cresc.</i>"								
3	2	12	12	0.5	1	1	Chord	12/8	1	1	1/8		1/8	1	15									0		
3	2	25/2	25/2	1.0	9/8	9/8	Chord	12/8	1	1	1/4		1/4	1	16									0		
3	2	27/2	27/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8		1/8	1	17											
3	2	8	8	3.0	0	0	Chord	12/8	2	1	3/4		1/2	3/2	18											
3	2	11	11	1.0	3/4	3/4	Chord	12/8	2	1	1/4		1/4	1	19											
3	2	12	12	0.5	1	1	Chord	12/8	2	1	1/8		1/8	1	20											
3	2	25/2	25/2	1.0	9/8	9/8	Chord	12/8	2	1	1/4		1/4	1	21											
