mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	Trill:trill
1	1	0	0	0.0	0	0	Tempo	3/8	1	1	0								Allegrettovivaceesemprescherzando.	100.0	1.0				
1	1	0	0	0.0	0	0	Dynamic	3/8	4	1	0					pp									
1	1	0	0	0.25	0	0	Chord	3/8	4	1	1/16		1/16	1	0		articStaccatoBelow								
1	1	1/4	1/4	0.25	1/16	1/16	Chord	3/8	4	1	1/16		1/16	1	1		articStaccatoBelow								
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/8	4	1	1/8		1/8	1	2		articStaccatoBelow								
1	1	1	1	0.5	1/4	1/4	Chord	3/8	4	1	1/8		1/8	1	3		articStaccatoBelow								
2	2	3/2	3/2	0.25	0	0	Chord	3/8	4	1	1/16		1/16	1	4		articStaccatoBelow								
2	2	7/4	7/4	0.25	1/16	1/16	Chord	3/8	4	1	1/16		1/16	1	5		articStaccatoBelow								
2	2	2	2	0.5	1/8	1/8	Chord	3/8	4	1	1/8		1/8	1	6		articStaccatoBelow								
2	2	5/2	5/2	0.5	1/4	1/4	Chord	3/8	4	1	1/8		1/8	1	7		articStaccatoBelow								
3	3	3	3	0.25	0	0	Chord	3/8	4	1	1/16		1/16	1	8										
3	3	13/4	13/4	0.25	1/16	1/16	Chord	3/8	4	1	1/16		1/16	1	9										
3	3	7/2	7/2	0.25	1/8	1/8	Chord	3/8	4	1	1/16		1/16	1	10										
3	3	15/4	15/4	0.25	3/16	3/16	Chord	3/8	4	1	1/16		1/16	1	11										
3	3	4	4	0.25	1/4	1/4	Chord	3/8	4	1	1/16		1/16	1	12										
3	3	17/4	17/4	0.25	5/16	5/16	Chord	3/8	4	1	1/16		1/16	1	13										
4	4	9/2	9/2	0.0	0	0	Dynamic	3/8	2	1	0					pp									
4	4	21/4	21/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	14		articStaccatoBelow								
4	4	11/2	11/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	15		articStaccatoBelow								
4	4	23/4	23/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	16		articStaccatoBelow								
4	4	9/2	9/2	1.5	0	0	Chord	3/8	4	1	3/8		1/4	3/2	17										
5	5	6	6	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	18		articStaccatoBelow								
5	5	25/4	25/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	19		articStaccatoBelow								
5	5	13/2	13/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	20		articStaccatoBelow								
5	5	27/4	27/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	21		articStaccatoBelow								
5	5	7	7	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	22		articStaccatoBelow								
5	5	29/4	29/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	23		articStaccatoBelow								
6	6	15/2	15/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	24		articStaccatoAbove								
6	6	31/4	31/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	25		articStaccatoAbove								
6	6	8	8	0.75	1/8	1/8	Chord	3/8	2	1	3/16		1/8	3/2	26		articAccentAbove								
6	6	35/4	35/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	27		articStaccatoAbove								
7	7	9	9	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	28		articStaccatoBelow								
7	7	37/4	37/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	29		articStaccatoBelow								
7	7	19/2	19/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	30		articStaccatoBelow								
7	7	39/4	39/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	31		articStaccatoBelow								
7	7	10	10	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	32		articStaccatoBelow								
7	7	41/4	41/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	33		articStaccatoBelow								
8	8	21/2	21/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	34										
9	9	12	12	0.0	0	0	Dynamic	3/8	3	1	0					pp									
9	9	12	12	0.25	0	0	Chord	3/8	3	1	1/16		1/16	1	35		articStaccatoBelow								
9	9	49/4	49/4	0.25	1/16	1/16	Chord	3/8	3	1	1/16		1/16	1	36		articStaccatoBelow								
9	9	25/2	25/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	37		articStaccatoBelow								
9	9	13	13	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	38		articStaccatoBelow								
10	10	27/2	27/2	0.25	0	0	Chord	3/8	3	1	1/16		1/16	1	39		articStaccatoBelow								
10	10	55/4	55/4	0.25	1/16	1/16	Chord	3/8	3	1	1/16		1/16	1	40		articStaccatoBelow								
10	10	14	14	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	41		articStaccatoBelow								
10	10	29/2	29/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	42		articStaccatoBelow								
11	11	15	15	0.25	0	0	Chord	3/8	3	1	1/16		1/16	1	43										
11	11	61/4	61/4	0.25	1/16	1/16	Chord	3/8	3	1	1/16		1/16	1	44										
11	11	31/2	31/2	0.25	1/8	1/8	Chord	3/8	3	1	1/16		1/16	1	45										
