quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	alt_label	regex_match	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	3.0	1	1	0	0	2/4	4	1		1	Bb.I		dcml	Bb	I		I		I								M	0	0	0, 4, 1		0	0
3	0.875	2	2	1/4	1/4	2/4	4	1		1	I6		dcml	Bb	I		I6		I		6						M	0	0	4, 1, 0		0	4
31/8	0.125	2	2	15/32	15/32	2/4	4	1		1	V		dcml	Bb	I		V		V								M	0	0	1, 5, 2		1	1
4	7.0	3	3	0	0	2/4	4	1		1	I		dcml	Bb	I		I		I								M	0	0	0, 4, 1		0	0
11	0.875	6	6	1/4	1/4	2/4	4	1		1	I6		dcml	Bb	I		I6		I		6						M	0	0	4, 1, 0		0	4
95/8	0.125	6	6	15/32	15/32	2/4	4	1		1	V		dcml	Bb	I		V		V								M	0	0	1, 5, 2		1	1
12	2.0	7	7	0	0	2/4	4	1		1	I		dcml	Bb	I		I		I								M	0	0	0, 4, 1		0	0
14	1.0	8	8	0	0	2/4	4	1		1	iii64	V6(6)	dcml	Bb	I		iii64		iii		64						m	0	0	5, 4, 1		4	5
15	1.0	8	8	1/4	1/4	2/4	4	1		1	V6		dcml	Bb	I		V6		V		6						M	0	0	5, 2, 1		1	5
16	2.0	9	9	0	0	2/4	4	1		1	#viio2/ii		dcml	Bb	I		#viio2/ii		#vii	o	2		ii				o7	0	0	-2, 7, 4, 1		7	-2
18	1.0	10	10	0	0	2/4	4	1		1	V7/ii		dcml	Bb	I		V7/ii		V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
19	0.875	10	10	1/4	1/4	2/4	4	1		1	V7(9)/ii		dcml	Bb	I		V7(9)/ii		V		7	9	ii				Mm7	0	0	3, 7, 4, 1	-2	3	3
159/8	0.125	10	10	15/32	15/32	2/4	4	1		1	V(64)/ii		dcml	Bb	I		V(64)/ii		V			64	ii				M	0	0	3, 2, -1		3	3
20	0.875	11	11	0	0	2/4	4	1		1	V7/ii		dcml	Bb	I		V7/ii		V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
167/8	0.125	11	11	7/32	7/32	2/4	4	1		1	V(64)/ii		dcml	Bb	I		V(64)/ii		V			64	ii				M	0	0	3, 2, -1		3	3
21	1.0	11	11	1/4	1/4	2/4	4	1		1	V7/ii		dcml	Bb	I		V7/ii		V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
22	2.0	12	12	0	0	2/4	4	1		1	#i.i64		dcml	Bb	#i		i64		i		64						m	0	1	1, 0, -3		0	1
24	2.0	13	13	0	0	2/4	4	1		1	#viio43		dcml	Bb	#i		#viio43		#vii	o	43						o7	0	1	-1, -4, 5, 2		5	-1
