quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	regex_match	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
135	2.0	34	34	3/4	3/4	4/4	4	1		1	V65	dcml	a	VI		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
137	2.0	35	35	1/4	1/4	4/4	4	1		1	I	dcml	a	VI		I		I							M	1	0	0, 4, 1		0	0
139	2.0	35	35	3/4	3/4	4/4	4	1		1	I6	dcml	a	VI		I6		I		6					M	1	0	4, 1, 0		0	4
141	2.0	36	36	1/4	1/4	4/4	4	1		1	V	dcml	a	VI		V		V							M	1	0	1, 5, 2		1	1
143	2.0	36	36	3/4	3/4	4/4	4	1		1	V7	dcml	a	VI		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
145	2.0	37	37	1/4	1/4	4/4	4	1		1	I	dcml	a	VI		I		I							M	1	0	0, 4, 1		0	0
147	1.0	37	37	3/4	3/4	4/4	4	1		1	I6	dcml	a	VI		I6		I		6					M	1	0	4, 1, 0		0	4
148	1.0	38	38	0	0	4/4	4	1		1	IV	dcml	a	VI		IV		IV							M	1	0	-1, 3, 0		-1	-1
149	2.0	38	38	1/4	1/4	4/4	4	1		1	ii	dcml	a	VI		ii		ii							m	1	0	2, -1, 3		2	2
151	1.0	38	38	3/4	3/4	4/4	4	1		1	viio	dcml	a	VI		viio		vii	o						o	1	0	5, 2, -1		5	5
152	3.5	39	39	0	0	4/4	4	1		1	V7	dcml	a	VI		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
311/2	1.5	39	39	7/8	7/8	4/4	4	1		1	iv.iv6	dcml	a	iv		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
157	4.75	40	40	1/4	1/4	4/4	4	1		1	V\\	dcml	a	iv		V		V						\\	M	1	1	1, 5, 2		1	1
647/4	0.25	41	41	7/16	7/16	4/4	4	1		1	i64	dcml	a	iv		i64		i		64					m	1	1	1, 0, -3		0	1
162	3.0	41	41	1/2	1/2	4/4	4	1		1	VI6(+5)	dcml	a	iv		VI6(+5)		VI		6	+5				M	1	1	0, -3, -4	-3	-4	0
