quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	1.5	1	1	0	0	9/8	4	1		d.i		d	i		i		i							m	1	1	0, -3, 1		0	0
3/2	1.5	1	1	3/8	3/8	9/8	4	1		i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
3	1.5	1	1	3/4	3/4	9/8	4	1		#viio6		d	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
9/2	1.5	2	2	0	0	9/8	4	1		i		d	i		i		i							m	1	1	0, -3, 1		0	0
6	1.5	2	2	3/8	3/8	9/8	4	1		i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
15/2	1.5	2	2	3/4	3/4	9/8	4	1		V43		d	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
9	1.5	3	3	0	0	9/8	4	1		i		d	i		i		i							m	1	1	0, -3, 1		0	0
21/2	1.5	3	3	3/8	3/8	9/8	4	1		i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
12	1.5	3	3	3/4	3/4	9/8	4	1		V		d	i		V		V							M	1	1	1, 5, 2		1	1
27/2	3.0	4	4	0	0	9/8	4	1		i		d	i		i		i							m	1	1	0, -3, 1		0	0
33/2	1.5	4	4	3/4	3/4	9/8	4	1		VI6		d	i		VI6		VI		6					M	1	1	0, -3, -4		-4	0
18	1.5	5	5	0	0	9/8	4	1		#viio65(2)		d	i		#viio65(2)		#vii	o	65	2				o7	1	1	2, -1, -4, 0		5	2
39/2	7.5	5	5	3/8	3/8	9/8	4	1		#viio65		d	i		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
27	1.5	7	7	0	0	9/8	4	1		i6(2)		d	i		i6(2)		i		6	2				m	1	1	-3, 1, 2		0	-3
57/2	2.0	7	7	3/8	3/8	9/8	4	1		i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
61/2	0.5	7	7	7/8	7/8	9/8	4	1		#viio6		d	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
31	0.5	7	7	1	1	9/8	4	1		i		d	i		i		i							m	1	1	0, -3, 1		0	0
63/2	1.5	8	8	0	0	9/8	4	1		ii%65(2)		d	i		ii%65(2)		ii	%	65	2				%7	1	1	-1, -4, 0, -3		2	-1
33	1.5	8	8	3/8	3/8	9/8	4	1		ii%65		d	i		ii%65		ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
69/2	1.5	8	8	3/4	3/4	9/8	4	1		V65/V		d	i		V65/V		V		65		V			Mm7	1	1	6, 3, 0, 2		2	6
36	2.0	9	9	0	0	9/8	4	1		V\\		d	i		V		V						\\	M	1	1	1, 5, 2		1	1
38	1.0	9	9	1/2	1/2	9/8	4	1		V65		d	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
39	0.5	9	9	3/4	3/4	9/8	4	1		i		d	i		i		i							m	1	1	0, -3, 1		0	0
79/2	0.5	9	9	7/8	7/8	9/8	4	1		iio6		d	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
40	0.5	9	9	1	1	9/8	4	1		viio/V		d	i		viio/V		vii	o			V			o	1	1	6, 3, 0		6	6
81/2	1.5	10	10	0	0	9/8	4	1		V\\		d	i		V		V						\\	M	1	1	1, 5, 2		1	1
42	1.5	10	10	3/8	3/8	9/8	4	1		V		d	i		V		V							M	1	1	1, 5, 2		1	1
87/2	0.5	10	10	3/4	3/4	9/8	4	1		i		d	i		i		i							m	1	1	0, -3, 1		0	0
44	0.5	10	10	7/8	7/8	9/8	4	1		iio6		d	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
89/2	0.5	10	10	1	1	9/8	4	1		viio/V		d	i		viio/V		vii	o			V			o	1	1	6, 3, 0		6	6
45	3.0	11	11	0	0	9/8	4	1		V[V		d	i	V	V		V							M	1	1	1, 5, 2		1	1
48	1.5	11	11	3/4	3/4	9/8	4	1		VI6		d	i	V	VI6		VI		6					M	1	1	0, -3, -4		-4	0
99/2	3.0	12	12	0	0	9/8	4	1		V6]		d	i	V	V6		V		6					M	1	1	5, 2, 1		1	5
105/2	1.5	12	12	3/4	3/4	9/8	4	1		VI		d	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
54	4.5	13	13	0	0	9/8	4	1		V		d	i		V		V							M	1	1	1, 5, 2		1	1
117/2	1.5	14	14	0	0	9/8	4	1		i		d	i		i		i							m	1	1	0, -3, 1		0	0
60	1.5	14	14	3/8	3/8	9/8	4	1		i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
123/2	1.5	14	14	3/4	3/4	9/8	4	1		V43		d	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
63	1.5	15	15	0	0	9/8	4	1		i		d	i		i		i							m	1	1	0, -3, 1		0	0
129/2	1.5	15	15	3/8	3/8	9/8	4	1		i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
66	1.5	15	15	3/4	3/4	9/8	4	1		V7		d	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
135/2	1.0	16	16	0	0	9/8	4	1		i		d	i		i		i							m	1	1	0, -3, 1		0	0
137/2	2.0	16	16	1/4	1/4	9/8	4	1		VI6		d	i		VI6		VI		6					M	1	1	0, -3, -4		-4	0
141/2	1.5	16	16	3/4	3/4	9/8	4	1		III.Ger6		d	III		Ger6	Ger	vii	o	65	b3	V			Ger	1	0	-4, 0, -3, 6		6	-4
72	1.5	17	17	0	0	9/8	4	1		V7(4)		d	III		V7(4)		V		7	4				Mm7	1	0	1, 0, 2, -1		1	1
147/2	3.0	17	17	3/8	3/8	9/8	4	1		V7		d	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
153/2	1.5	18	18	0	0	9/8	4	1		v%43		d	III		v%43		v	%	43					%7	1	0	-5, -1, 1, -2		1	-5
78	3.0	18	18	3/8	3/8	9/8	4	1		V7/IV		d	III		V7/IV		V		7		IV			Mm7	1	0	0, 4, 1, -2		0	0
81	1.5	19	19	0	0	9/8	4	1		V7(4)/bVII		d	III		V7(4)/bVII		V		7	4	bVII			Mm7	1	0	-1, -2, 0, -3		-1	-1
165/2	1.5	19	19	3/8	3/8	9/8	4	1		V7/bVII		d	III		V7/bVII		V		7		bVII			Mm7	1	0	-1, 3, 0, -3		-1	-1
84	1.5	19	19	3/4	3/4	9/8	4	1		viio7/V		d	III		viio7/V		vii	o	7		V			o7	1	0	6, 3, 0, -3		6	6
171/2	4.5	20	20	0	0	9/8	4	1		V\\		d	III		V		V						\\	M	1	0	1, 5, 2		1	1
