quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	alt_label	regex_match	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
19	3.5	8	7	0	0	3/4	4	1		1	I		dcml	C	I		I		I							M	0	0	0, 4, 1		0	0
45/2	0.5	9	8	1/8	1/8	3/4	4	1		1	I6		dcml	C	I		I6		I		6					M	0	0	4, 1, 0		0	4
23	1.0	9	8	1/4	1/4	3/4	4	1		1	V		dcml	C	I		V		V							M	0	0	1, 5, 2		1	1
24	4.5	9	8	1/2	1/2	3/4	4	1		1	I		dcml	C	I		I		I							M	0	0	0, 4, 1		0	0
57/2	0.5	11	10	1/8	1/8	3/4	4	1		1	I6		dcml	C	I		I6		I		6					M	0	0	4, 1, 0		0	4
29	2.0	11	10	1/4	1/4	3/4	4	1		1	V		dcml	C	I		V		V							M	0	0	1, 5, 2		1	1
31	1.0	12	11	0	0	3/4	4	1		1	V2/V		dcml	C	I		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
32	2.0	12	11	1/4	1/4	3/4	4	1		1	V6		dcml	C	I		V6		V		6					M	0	0	5, 2, 1		1	5
34	1.0	13	12	0	0	3/4	4	1		1	V.V2		dcml	C	V		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
35	2.0	13	12	1/4	1/4	3/4	4	1		1	I6		dcml	C	V		I6		I		6					M	0	0	4, 1, 0		0	4
37	0.5	14	13	0	0	3/4	4	1		1	IV		dcml	C	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
75/2	0.25	14	13	1/8	1/8	3/4	4	1		1	ii6		dcml	C	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
151/4	0.25	14	13	3/16	3/16	3/4	4	1		1	viio7/V		dcml	C	V		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
38	1.0	14	13	1/4	1/4	3/4	4	1		1	V(64+2)		dcml	C	V		V(64+2)		V			64+2				M	0	0	1, 0, 4	3	1	1
39	0.875	14	13	1/2	1/2	3/4	4	1		1	V7(4)		dcml	C	V		V7(4)		V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
319/8	0.125	14	13	23/32	23/32	3/4	4	1		1	V7		dcml	C	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
40	1.0	15	14	0	0	3/4	4	1		1	I(4+2)		dcml	C	V		I(4+2)		I			4+2				M	0	0	0, -1, 1	2	0	0
41	1.0	15	14	1/4	1/4	3/4	4	1		1	I\\		dcml	C	V		I		I						\\	M	0	0	0, 4, 1		0	0
42	1.0	15	14	1/2	1/2	3/4	4	1		1	I6		dcml	C	V		I6		I		6					M	0	0	4, 1, 0		0	4
43	1.5	16	15	0	0	3/4	4	1		1	I.V2		dcml	C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
89/2	0.5	16	15	3/8	3/8	3/4	4	1		1	I6		dcml	C	I		I6		I		6					M	0	0	4, 1, 0		0	4
45	0.5	16	15	1/2	1/2	3/4	4	1		1	V65		dcml	C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
91/2	0.5	16	15	5/8	5/8	3/4	4	1		1	I		dcml	C	I		I		I							M	0	0	0, 4, 1		0	0
46	1.0	17	16	0	0	3/4	4	1		1	V(64)		dcml	C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
47	0.5	17	16	1/4	1/4	3/4	4	1		1	V\\		dcml	C	I		V		V						\\	M	0	0	1, 5, 2		1	1
95/2	1.5	17	16	3/8	3/8	3/4	4	1		1	V		dcml	C	I		V		V							M	0	0	1, 5, 2		1	1
49	1.5	18	17	0	0	3/4	4	1		1	V2		dcml	C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
101/2	0.5	18	17	3/8	3/8	3/4	4	1		1	I6		dcml	C	I		I6		I		6					M	0	0	4, 1, 0		0	4
51	0.5	18	17	1/2	1/2	3/4	4	1		1	V65		dcml	C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
103/2	0.5	18	17	5/8	5/8	3/4	4	1		1	I		dcml	C	I		I		I							M	0	0	0, 4, 1		0	0
52	3.0	19	18	0	0	3/4	4	1		1	V7		dcml	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
55	6.0	20	19	0	0	3/4	4	1		1	I		dcml	C	I		I		I							M	0	0	0, 4, 1		0	0
61	1.0	22	21	0	0	3/4	4	1		1	IV6		dcml	C	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
62	1.0	22	21	1/4	1/4	3/4	4	1		1	ii43		dcml	C	I		ii43		ii		43					mm7	0	0	3, 0, 2, -1		2	3
63	1.0	22	21	1/2	1/2	3/4	4	1		1	Ger6		dcml	C	I		Ger6	Ger	vii	o	65	b3	V			Ger	0	0	-4, 0, -3, 6		6	-4
64	2.0	23	22	0	0	3/4	4	1		1	V(64)		dcml	C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
66	1.0	23	22	1/2	1/2	3/4	4	1		1	V7		dcml	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
67	2.0	24	23	0	0	3/4	4	1		1	I\\		dcml	C	I		I		I						\\	M	0	0	0, 4, 1		0	0
69	1.0	24	23	1/2	1/2	3/4	4	1		1	V2		dcml	C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
70	2.0	25	24	0	0	3/4	4	1		1	I6		dcml	C	I		I6		I		6					M	0	0	4, 1, 0		0	4
72	1.0	25	24	1/2	1/2	3/4	4	1		1	V65		dcml	C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
73	3.0	26	25	0	0	3/4	4	1		1	I		dcml	C	I		I		I							M	0	0	0, 4, 1		0	0
76	2.0	27	26	0	0	3/4	4	1		1	I\\		dcml	C	I		I		I						\\	M	0	0	0, 4, 1		0	0
78	1.0	28	26	0	1/4	2/4	4	1		1	IV.I		dcml	C	IV		I		I							M	0	0	0, 4, 1		0	0
79	2.0	29	27	0	0	2/4	4	1		1	ii		dcml	C	IV		ii		ii							m	0	0	2, -1, 3		2	2
81	1.0	30	28	0	0	2/4	4	1		1	V		dcml	C	IV		V		V							M	0	0	1, 5, 2		1	1
82	1.0	31	28	0	1/4	2/4	4	1		1	V	I	dcml	C	IV		V		V							M	0	0	1, 5, 2		1	1
83	2.0	32	29	0	0	2/4	4	1		1	I		dcml	C	IV		I		I							M	0	0	0, 4, 1		0	0
85	2.0	33	30	0	0	2/4	4	1		1	V		dcml	C	IV		V		V							M	0	0	1, 5, 2		1	1
87	2.0	34	31	0	0	2/4	4	1		1	V7		dcml	C	IV		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
89	1.0	35	32	0	0	2/4	4	1		1	I		dcml	C	IV		I		I							M	0	0	0, 4, 1		0	0
90	1.0	35	32	1/4	1/4	2/4	4	1		1	I.IV		dcml	C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
91	1.0	36	33	0	0	2/4	4	1		1	I		dcml	C	I		I		I							M	0	0	0, 4, 1		0	0
92	1.0	36	33	1/4	1/4	2/4	4	1		1	V7		dcml	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
93	1.0	37	34	0	0	2/4	4	1		1	I		dcml	C	I		I		I							M	0	0	0, 4, 1		0	0
94	1.0	37	34	1/4	1/4	2/4	4	1		1	ii6		dcml	C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
95	1.0	38	35	0	0	2/4	4	1		1	V(64)		dcml	C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
96	0.5	38	35	1/4	1/4	2/4	4	1		1	V65		dcml	C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
193/2	0.5	38	35	3/8	3/8	2/4	4	1		1	V7		dcml	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
97	1.0	39	36	0	0	2/4	4	1		1	I\\		dcml	C	I		I		I						\\	M	0	0	0, 4, 1		0	0
98	3.0	40	36	0	1/4	2/4	4	1		1	IV.#viio7/ii		dcml	C	IV		#viio7/ii		#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7
101	3.0	42	38	0	0	2/4	4	1		1	ii6		dcml	C	IV		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
104	1.0	43	39	1/4	1/4	2/4	4	1		1	viio43		dcml	C	IV		viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
105	0.5	44	40	0	0	2/4	4	1		1	I6		dcml	C	IV		I6		I		6					M	0	0	4, 1, 0		0	4
211/2	0.25	44	40	1/8	1/8	2/4	4	1		1	viio6		dcml	C	IV		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
423/4	0.25	44	40	3/16	3/16	2/4	4	1		1	I		dcml	C	IV		I		I							M	0	0	0, 4, 1		0	0
106	1.0	44	40	1/4	1/4	2/4	4	1		1	V[I		dcml	C	IV	V	I		I							M	0	0	0, 4, 1		0	0
107	1.0	45	41	0	0	2/4	4	1		1	viio		dcml	C	IV	V	viio		vii	o						o	0	0	5, 2, -1		5	5
108	1.0	45	41	1/4	1/4	2/4	4	1		1	I		dcml	C	IV	V	I		I							M	0	0	0, 4, 1		0	0
109	1.0	46	42	0	0	2/4	4	1		1	viio64]		dcml	C	IV	V	viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1
110	1.0	46	42	1/4	1/4	2/4	4	1		1	I		dcml	C	IV		I		I							M	0	0	0, 4, 1		0	0
111	1.0	47	43	0	0	2/4	4	1		1	V65		dcml	C	IV		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
112	1.0	47	43	1/4	1/4	2/4	4	1		1	I		dcml	C	IV		I		I							M	0	0	0, 4, 1		0	0
113	2.0	48	44	0	0	2/4	4	1		1	V\\		dcml	C	IV		V		V						\\	M	0	0	1, 5, 2		1	1
115	0.5	49	45	0	0	2/4	4	1		1	V(64)		dcml	C	IV		V(64)		V			64				M	0	0	1, 0, 4		1	1
231/2	0.5	49	45	1/8	1/8	2/4	4	1		1	V2		dcml	C	IV		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
116	1.0	49	45	1/4	1/4	2/4	4	1		1	I6		dcml	C	IV		I6		I		6					M	0	0	4, 1, 0		0	4
117	1.75	50	46	0	0	2/4	4	1		1	V6		dcml	C	IV		V6		V		6					M	0	0	5, 2, 1		1	5
475/4	0.25	50	46	7/16	7/16	2/4	4	1		1	V65		dcml	C	IV		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
119	1.0	51	47	0	0	2/4	4	1		1	V7		dcml	C	IV		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
120	0.5	51	47	1/4	1/4	2/4	4	1		1	V2		dcml	C	IV		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
241/2	0.5	51	47	3/8	3/8	2/4	4	1		1	I6		dcml	C	IV		I6		I		6					M	0	0	4, 1, 0		0	4
121	0.75	52	48	0	0	2/4	4	1		1	I		dcml	C	IV		I		I							M	0	0	0, 4, 1		0	0
487/4	0.25	52	48	3/16	3/16	2/4	4	1		1	V7/IV		dcml	C	IV		V7/IV		V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
122	1.0	52	48	1/4	1/4	2/4	4	1		1	IV		dcml	C	IV		IV		IV							M	0	0	-1, 3, 0		-1	-1
123	1.0	53	49	0	0	2/4	4	1		1	I		dcml	C	IV		I		I							M	0	0	0, 4, 1		0	0
124	1.0	53	49	1/4	1/4	2/4	4	1		1	V7		dcml	C	IV		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
125	1.0	54	50	0	0	2/4	4	1		1	I		dcml	C	IV		I		I							M	0	0	0, 4, 1		0	0
126	0.75	54	50	1/4	1/4	2/4	4	1		1	ii6		dcml	C	IV		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
507/4	0.25	54	50	7/16	7/16	2/4	4	1		1	ii		dcml	C	IV		ii		ii							m	0	0	2, -1, 3		2	2
127	1.0	55	51	0	0	2/4	4	1		1	V(64)		dcml	C	IV		V(64)		V			64				M	0	0	1, 0, 4		1	1
128	0.75	55	51	1/4	1/4	2/4	4	1		1	V65		dcml	C	IV		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
515/4	0.25	55	51	7/16	7/16	2/4	4	1		1	V7		dcml	C	IV		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
129	1.0	56	52	0	0	2/4	4	1		1	I\\		dcml	C	IV		I		I						\\	M	0	0	0, 4, 1		0	0
130	2.75	57	52	0	1/4	2/4	4	1		1	I		dcml	C	IV		I		I							M	0	0	0, 4, 1		0	0
531/4	1.0	58	53	7/16	7/16	2/4	4	1		1	I.viio6		dcml	C	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
535/4	1.25	59	54	3/16	3/16	2/4	4	1		1	V		dcml	C	I		V		V							M	0	0	1, 5, 2		1	1
135	1.0	60	55	0	0	2/4	4	1		1	V2		dcml	C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
136	1.0	60	55	1/4	1/4	2/4	4	1		1	V64		dcml	C	I		V64		V		64					M	0	0	2, 1, 5		1	2
137	1.0	61	56	0	0	2/4	4	1		1	V65		dcml	C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
138	1.0	61	56	1/4	1/4	2/4	4	1		1	V6		dcml	C	I		V6		V		6					M	0	0	5, 2, 1		1	5
139	4.0	62	57	0	0	2/4	4	1		1	V65		dcml	C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
143	3.0	65	59	0	0	3/4	4	1		1	I		dcml	C	I		I		I							M	0	0	0, 4, 1		0	0
146	1.0	66	60	0	0	3/4	4	1		1	V65(4)		dcml	C	I		V65(4)		V		65	4				Mm7	0	0	0, 2, -1, 1		1	0
147	1.0	66	60	1/4	1/4	3/4	4	1		1	V65		dcml	C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
148	1.0	66	60	1/2	1/2	3/4	4	1		1	I		dcml	C	I		I		I							M	0	0	0, 4, 1		0	0
149	1.0	67	61	0	0	3/4	4	1		1	#viio65/ii		dcml	C	I		#viio65/ii		#vii	o	65		ii			o7	0	0	4, 1, -2, 7		7	4
150	2.0	67	61	1/4	1/4	3/4	4	1		1	V43		dcml	C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
152	1.5	68	62	0	0	3/4	4	1		1	viio43		dcml	C	I		viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
307/2	0.5	68	62	3/8	3/8	3/4	4	1		1	V43		dcml	C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
154	0.75	68	62	1/2	1/2	3/4	4	1		1	V65		dcml	C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
619/4	0.25	68	62	11/16	11/16	3/4	4	1		1	I		dcml	C	I		I		I							M	0	0	0, 4, 1		0	0
155	0.5	69	63	0	0	3/4	4	1		1	ii6(2)		dcml	C	I		ii6(2)		ii		6	2				m	0	0	-1, 3, 4		2	-1
311/2	0.5	69	63	1/8	1/8	3/4	4	1		1	ii6		dcml	C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
156	1.0	69	63	1/4	1/4	3/4	4	1		1	ii		dcml	C	I		ii		ii							m	0	0	2, -1, 3		2	2
157	1.0	69	63	1/2	1/2	3/4	4	1		1	V7(+9)		dcml	C	I		V7(+9)		V		7	+9				Mm7	0	0	1, 5, 2, -1	3	1	1
158	1.0	70	64	0	0	3/4	4	1		1	I(4)		dcml	C	I		I(4)		I			4				M	0	0	0, -1, 1		0	0
159	6.0	70	64	1/4	1/4	3/4	4	1		1	I		dcml	C	I		I		I							M	0	0	0, 4, 1		0	0
165	1.0	72	66	1/4	1/4	3/4	4	1		1	V\\		dcml	C	I		V		V						\\	M	0	0	1, 5, 2		1	1
166	5.0	72	66	1/2	1/2	3/4	4	1		1	I		dcml	C	I		I		I							M	0	0	0, 4, 1		0	0
171	2.0	74	68	1/4	1/4	3/4	4	1		1	V\\		dcml	C	I		V		V						\\	M	0	0	1, 5, 2		1	1
173	1.0	75	69	0	0	3/4	4	1		1	V2/V		dcml	C	I		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
174	2.0	75	69	1/4	1/4	3/4	4	1		1	V6		dcml	C	I		V6		V		6					M	0	0	5, 2, 1		1	5
176	1.0	76	70	0	0	3/4	4	1		1	V.V2		dcml	C	V		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
177	1.5	76	70	1/4	1/4	3/4	4	1		1	I6		dcml	C	V		I6		I		6					M	0	0	4, 1, 0		0	4
357/2	0.5	76	70	5/8	5/8	3/4	4	1		1	V+6		dcml	C	V		V+6		V	+	6					+	0	0	5, 9, 1		1	5
179	0.75	77	71	0	0	3/4	4	1		1	IV		dcml	C	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
719/4	0.25	77	71	3/16	3/16	3/4	4	1		1	viio7/V		dcml	C	V		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
180	0.5	77	71	1/4	1/4	3/4	4	1		1	V(64)		dcml	C	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
361/2	0.5	77	71	3/8	3/8	3/4	4	1		1	V		dcml	C	V		V		V							M	0	0	1, 5, 2		1	1
181	0.875	77	71	1/2	1/2	3/4	4	1		1	V7(4)		dcml	C	V		V7(4)		V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
1455/8	0.125	77	71	23/32	23/32	3/4	4	1		1	V7		dcml	C	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
182	1.0	78	72	0	0	3/4	4	1		1	I(+2)		dcml	C	V		I(+2)		I			+2				M	0	0	0, 4, 1	2	0	0
183	2.0	78	72	1/4	1/4	3/4	4	1		1	I		dcml	C	V		I		I							M	0	0	0, 4, 1		0	0
185	1.5	79	73	0	0	3/4	4	1		1	I.V2		dcml	C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
373/2	0.5	79	73	3/8	3/8	3/4	4	1		1	I6		dcml	C	I		I6		I		6					M	0	0	4, 1, 0		0	4
187	0.5	79	73	1/2	1/2	3/4	4	1		1	V65		dcml	C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
375/2	0.5	79	73	5/8	5/8	3/4	4	1		1	I		dcml	C	I		I		I							M	0	0	0, 4, 1		0	0
188	1.0	80	74	0	0	3/4	4	1		1	V(64)		dcml	C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
189	2.0	80	74	1/4	1/4	3/4	4	1		1	V\\		dcml	C	I		V		V						\\	M	0	0	1, 5, 2		1	1
191	1.5	81	75	0	0	3/4	4	1		1	V2		dcml	C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
385/2	0.5	81	75	3/8	3/8	3/4	4	1		1	I6		dcml	C	I		I6		I		6					M	0	0	4, 1, 0		0	4
193	0.5	81	75	1/2	1/2	3/4	4	1		1	V65		dcml	C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
387/2	0.5	81	75	5/8	5/8	3/4	4	1		1	I		dcml	C	I		I		I							M	0	0	0, 4, 1		0	0
194	3.0	82	76	0	0	3/4	4	1		1	V7		dcml	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
197	3.0	83	77	0	0	3/4	4	1		1	I		dcml	C	I		I		I							M	0	0	0, 4, 1		0	0
200	3.0	84	78	0	0	3/4	4	1		1	V2/IV		dcml	C	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
203	1.0	85	79	0	0	3/4	4	1		1	IV6		dcml	C	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
204	1.0	85	79	1/4	1/4	3/4	4	1		1	ii43		dcml	C	I		ii43		ii		43					mm7	0	0	3, 0, 2, -1		2	3
205	1.0	85	79	1/2	1/2	3/4	4	1		1	Ger6		dcml	C	I		Ger6	Ger	vii	o	65	b3	V			Ger	0	0	-4, 0, -3, 6		6	-4
206	2.0	86	80	0	0	3/4	4	1		1	V(64)		dcml	C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
208	1.0	86	80	1/2	1/2	3/4	4	1		1	V7		dcml	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
209	2.0	87	81	0	0	3/4	4	1		1	I\\		dcml	C	I		I		I						\\	M	0	0	0, 4, 1		0	0
211	1.0	87	81	1/2	1/2	3/4	4	1		1	V2		dcml	C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
212	2.0	88	82	0	0	3/4	4	1		1	I6		dcml	C	I		I6		I		6					M	0	0	4, 1, 0		0	4
214	1.0	88	82	1/2	1/2	3/4	4	1		1	V65		dcml	C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
215	2.0	89	83	0	0	3/4	4	1		1	I		dcml	C	I		I		I							M	0	0	0, 4, 1		0	0
217	1.0	89	83	1/2	1/2	3/4	4	1		1	iv		dcml	C	I		iv		iv							m	0	0	-1, -4, 0		-1	-1
218	2.0	90	84	0	0	3/4	4	1		1	I		dcml	C	I		I		I							M	0	0	0, 4, 1		0	0
220	1.0	90	84	1/2	1/2	3/4	4	1		1	iv6		dcml	C	I		iv6		iv		6					m	0	0	-4, 0, -1		-1	-4
221	3.0	91	85	0	0	3/4	4	1		1	I		dcml	C	I		I		I							M	0	0	0, 4, 1		0	0
224	2.0	92	86	0	0	3/4	4	1		1	I\\		dcml	C	I		I		I						\\	M	0	0	0, 4, 1		0	0
