quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	alt_label	regex_match	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	4.0	1	0	0	1/2	3/4	4	1		1	C.I		dcml	C	I		I		I							M	0	0	0, 4, 1		0	0
4	1.0	3	2	0	0	3/4	4	1		1	V43(4)		dcml	C	I		V43(4)		V		43	4				Mm7	0	0	2, -1, 1, 0		1	2
5	1.0	3	2	1/4	1/4	3/4	4	1		1	V43		dcml	C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
6	1.0	3	2	1/2	1/2	3/4	4	1		1	I		dcml	C	I		I		I							M	0	0	0, 4, 1		0	0
7	1.0	4	3	0	0	3/4	4	1		1	V(64)		dcml	C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
8	2.0	4	3	1/4	1/4	3/4	4	1		1	V\\		dcml	C	I		V		V						\\	M	0	0	1, 5, 2		1	1
10	2.0	5	4	0	0	3/4	4	1		1	V7		dcml	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	0.5	5	4	1/2	1/2	3/4	4	1		1	#viio7/vi		dcml	C	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
25/2	0.5	5	4	5/8	5/8	3/4	4	1		1	vi		dcml	C	I		vi		vi							m	0	0	3, 0, 4		3	3
13	1.0	6	5	0	0	3/4	4	1		1	ii6		dcml	C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
14	1.0	6	5	1/4	1/4	3/4	4	1		1	ii		dcml	C	I		ii		ii							m	0	0	2, -1, 3		2	2
15	0.25	6	5	1/2	1/2	3/4	4	1		1	V7(9)		dcml	C	I		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
61/4	0.75	6	5	9/16	9/16	3/4	4	1		1	V7		dcml	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
16	1.0	7	6	0	0	3/4	4	1		1	I(4+2)		dcml	C	I		I(4+2)		I			4+2				M	0	0	0, -1, 1	2	0	0
17	2.0	7	6	1/4	1/4	3/4	4	1		1	I\\		dcml	C	I		I		I						\\	M	0	0	0, 4, 1		0	0
