quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	regex_match	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	1.0	1	0	0	3/4	2/2	4	1		1	c#.i64	dcml	c#	i		i64		i		64					m	1	1	1, 0, -3		0	1
1	2.0	2	1	0	0	2/2	4	1		1	V6	dcml	c#	i		V6		V		6					M	1	1	5, 2, 1		1	5
3	2.0	2	1	1/2	1/2	2/2	4	1		1	i	dcml	c#	i		i		i							m	1	1	0, -3, 1		0	0
5	3.0	3	2	0	0	2/2	4	1		1	iv6	dcml	c#	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
8	1.0	3	2	3/4	3/4	2/2	4	1		1	i64	dcml	c#	i		i64		i		64					m	1	1	1, 0, -3		0	1
9	2.0	4	3	0	0	2/2	4	1		1	iv	dcml	c#	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
11	2.0	4	3	1/2	1/2	2/2	4	1		1	V7	dcml	c#	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
13	2.0	5	4	0	0	2/2	4	1		1	i6	dcml	c#	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
15	2.0	5	4	1/2	1/2	2/2	4	1		1	i	dcml	c#	i		i		i							m	1	1	0, -3, 1		0	0
17	2.0	6	5	0	0	2/2	4	1		1	#viio/iv	dcml	c#	i		#viio/iv		#vii	o			iv			o	1	1	4, 1, -2		4	4
19	1.0	6	5	1/2	1/2	2/2	4	1		1	iv(4)	dcml	c#	i		iv(4)		iv			4				m	1	1	-1, -2, 0		-1	-1
20	1.0	6	5	3/4	3/4	2/2	4	1		1	iv	dcml	c#	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
21	1.0	7	6	0	0	2/2	4	1		1	bII	dcml	c#	i		bII		bII							M	1	1	-5, -1, -4		-5	-5
22	1.0	7	6	1/4	1/4	2/2	4	1		1	bII(#2)	dcml	c#	i		bII(#2)		bII			#2				M	1	1	-5, 4, -4		-5	-5
23	1.0	7	6	1/2	1/2	2/2	4	1		1	bII	dcml	c#	i		bII		bII							M	1	1	-5, -1, -4		-5	-5
24	1.0	7	6	3/4	3/4	2/2	4	1		1	iv64	dcml	c#	i		iv64		iv		64					m	1	1	0, -1, -4		-1	0
25	3.0	8	7	0	0	2/2	4	1		1	Ger6	dcml	c#	i		Ger6	Ger	vii	o	65	b3	V			Ger	1	1	-4, 0, -3, 6		6	-4
28	1.0	8	7	3/4	3/4	2/2	4	1		1	V2/iv	dcml	c#	i		V2/iv		V		2		iv			Mm7	1	1	-2, 0, 4, 1		0	-2
29	2.0	9	8	0	0	2/2	4	1		1	iv6	dcml	c#	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
31	1.0	9	8	1/2	1/2	2/2	4	1		1	V(64)	dcml	c#	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
32	1.0	9	8	3/4	3/4	2/2	4	1		1	V	dcml	c#	i		V		V							M	1	1	1, 5, 2		1	1
33	1.0	10	9	0	0	2/2	4	1		1	V6	dcml	c#	i		V6		V		6					M	1	1	5, 2, 1		1	5
34	1.0	10	9	1/4	1/4	2/2	4	1		1	V7	dcml	c#	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
35	1.0	10	9	1/2	1/2	2/2	4	1		1	i64	dcml	c#	i		i64		i		64					m	1	1	1, 0, -3		0	1
36	1.0	10	9	3/4	3/4	2/2	4	1		1	i	dcml	c#	i		i		i							m	1	1	0, -3, 1		0	0
37	1.0	11	10	0	0	2/2	4	1		1	#viio2(4)	dcml	c#	i		#viio2(4)		#vii	o	2	4				o7	1	1	-4, 5, -3, -1		5	-4
38	1.0	11	10	1/4	1/4	2/2	4	1		1	#viio2	dcml	c#	i		#viio2		#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4
39	1.0	11	10	1/2	1/2	2/2	4	1		1	iio43	dcml	c#	i		iio43		ii	o	43					o7	1	1	-4, -7, 2, -1		2	-4
40	1.0	11	10	3/4	3/4	2/2	4	1		1	III6	dcml	c#	i		III6		III		6					M	1	1	1, -2, -3		-3	1
41	1.0	12	11	0	0	2/2	4	1		1	V7/vii	dcml	c#	i		V7/vii		V		7		vii			Mm7	1	1	-1, 3, 0, -3		-1	-1
42	1.0	12	11	1/4	1/4	2/2	4	1		1	VI	dcml	c#	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
43	1.0	12	11	1/2	1/2	2/2	4	1		1	III6	dcml	c#	i		III6		III		6					M	1	1	1, -2, -3		-3	1
44	1.0	12	11	3/4	3/4	2/2	4	1		1	bII6	dcml	c#	i		bII6		bII		6					M	1	1	-1, -4, -5		-5	-1
45	1.0	13	12	0	0	2/2	4	1		1	V7/vi	dcml	c#	i		V7/vi		V		7		vi			Mm7	1	1	-3, 1, -2, -5		-3	-3
46	1.0	13	12	1/4	1/4	2/2	4	1		1	iv	dcml	c#	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
47	1.0	13	12	1/2	1/2	2/2	4	1		1	V	dcml	c#	i		V		V							M	1	1	1, 5, 2		1	1
48	1.0	13	12	3/4	3/4	2/2	4	1		1	V7/iv	dcml	c#	i		V7/iv		V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
49	2.0	14	13	0	0	2/2	4	1		1	viio2/VI	dcml	c#	i		viio2/VI		vii	o	2		VI			o7	1	1	-8, 1, -2, -5		1	-8
51	2.0	14	13	1/2	1/2	2/2	4	1		1	IV	dcml	c#	i		IV		IV							M	1	1	-1, 3, 0		-1	-1
53	1.0	15	14	0	0	2/2	4	1		1	bII+	dcml	c#	i		bII+		bII	+						+	1	1	-5, -1, 3		-5	-5
54	1.0	15	14	1/4	1/4	2/2	4	1		1	vii6(6)	dcml	c#	i		vii6(6)		vii		6	6				m	1	1	-5, 1, -2		-2	-5
55	1.0	15	14	1/2	1/2	2/2	4	1		1	vii6	dcml	c#	i		vii6		vii		6					m	1	1	-5, -1, -2		-2	-5
56	1.0	15	14	3/4	3/4	2/2	4	1		1	#viio6/vii	dcml	c#	i		#viio6/vii		#vii	o	6		vii			o	1	1	0, -3, 3		3	0
57	1.0	16	15	0	0	2/2	4	1		1	vii	dcml	c#	i		vii		vii							m	1	1	-2, -5, -1		-2	-2
58	1.0	16	15	1/4	1/4	2/2	4	1		1	viio43/VI	dcml	c#	i		viio43/VI		vii	o	43		VI			o7	1	1	-5, -8, 1, -2		1	-5
59	1.0	16	15	1/2	1/2	2/2	4	1		1	VI	dcml	c#	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
60	1.0	16	15	3/4	3/4	2/2	4	1		1	vii	dcml	c#	i		vii		vii							m	1	1	-2, -5, -1		-2	-2
61	2.0	17	16	0	0	2/2	4	1		1	VI	dcml	c#	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
63	1.0	17	16	1/2	1/2	2/2	4	1		1	i[VI6	dcml	c#	i	i	VI6		VI		6					M	1	1	0, -3, -4		-4	0
64	1.0	17	16	3/4	3/4	2/2	4	1		1	vii64	dcml	c#	i	i	vii64		vii		64					m	1	1	-1, -2, -5		-2	-1
65	1.0	18	17	0	0	2/2	4	1		1	bII+6]	dcml	c#	i	i	bII+6		bII	+	6					+	1	1	-1, 3, -5		-5	-1
66	1.0	18	17	1/4	1/4	2/2	4	1		1	#viio43/vii	dcml	c#	i		#viio43/vii		#vii	o	43		vii			o7	1	1	-3, -6, 3, 0		3	-3
67	1.0	18	17	1/2	1/2	2/2	4	1		1	vii6	dcml	c#	i		vii6		vii		6					m	1	1	-5, -1, -2		-2	-5
68	1.0	18	17	3/4	3/4	2/2	4	1		1	i	dcml	c#	i		i		i							m	1	1	0, -3, 1		0	0
69	1.0	19	18	0	0	2/2	4	1		1	vii.i	dcml	c#	vii		i		i							m	1	1	0, -3, 1		0	0
70	1.0	19	18	1/4	1/4	2/2	4	1		1	V64	dcml	c#	vii		V64		V		64					M	1	1	2, 1, 5		1	2
71	1.0	19	18	1/2	1/2	2/2	4	1		1	i6	dcml	c#	vii		i6		i		6					m	1	1	-3, 1, 0		0	-3
72	1.0	19	18	3/4	3/4	2/2	4	1		1	#io6	dcml	c#	vii		#io6		#i	o	6					o	1	1	4, 1, 7		7	4
73	1.0	20	19	0	0	2/2	4	1		1	#io65	dcml	c#	vii		#io65		#i	o	65					o7	1	1	4, 1, -2, 7		7	4
74	1.0	20	19	1/4	1/4	2/2	4	1		1	ii6	dcml	c#	vii		ii6		ii		6					m	1	1	-1, 3, 2		2	-1
75	1.0	20	19	1/2	1/2	2/2	4	1		1	#viio6/iv	dcml	c#	vii		#viio6/iv		#vii	o	6		iv			o	1	1	1, -2, 4		4	1
76	1.0	20	19	3/4	3/4	2/2	4	1		1	#vo7	dcml	c#	vii		#vo7		#v	o	7					o7	1	1	8, 5, 2, -1		8	8
