quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	regex_match	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	2.0	1	1	1/4	1/4	6/8	4	1		1	A.I	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
3	9.0	2	2	0	0	6/8	4	1		1	I	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
12	3.0	5	5	0	0	6/8	4	1		1	I[IV	dcml	A	I	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
15	4.5	6	6	0	0	6/8	4	1		1	V2	dcml	A	I	I	V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
39/2	3.0	7	7	3/8	3/8	6/8	4	1		1	I6	dcml	A	I	I	I6	I		6					M	0	0	4, 1, 0		0	4
45/2	1.5	8	8	3/8	3/8	6/8	4	1		1	viio6/IV	dcml	A	I	I	viio6/IV	vii	o	6		IV			o	0	0	1, -2, 4		4	1
24	3.0	9	9	0	0	6/8	4	1		1	IV	dcml	A	I	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
27	1.5	10	10	0	0	6/8	4	1		1	V2	dcml	A	I	I	V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
57/2	1.5	10	10	3/8	3/8	6/8	4	1		1	viio6	dcml	A	I	I	viio6	vii	o	6					o	0	0	2, -1, 5		5	2
30	3.0	11	11	0	0	6/8	4	1		1	I6]	dcml	A	I	I	I6	I		6					M	0	0	4, 1, 0		0	4
33	3.0	12	12	0	0	6/8	4	1		1	V7	dcml	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
36	3.0	13	13	0	0	6/8	4	1		1	I6	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
39	1.5	14	14	0	0	6/8	4	1		1	IV	dcml	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
81/2	1.5	14	14	3/8	3/8	6/8	4	1		1	V	dcml	A	I		V	V							M	0	0	1, 5, 2		1	1
