quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	9.5	1	0	0	3/8	3/4	4	1		c.i		c	i		i	i							m	1	1	0, -3, 1		0	0
19/2	1.0	4	3	1/2	1/2	3/4	4	1		viio64/V		c	i		viio64/V	vii	o	64		V			o	1	1	0, 6, 3		6	0
21/2	10.0	5	4	0	0	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
41/2	3.5	8	7	1/4	1/4	3/4	4	1		@none		c	i		@none	@none							m	1	1				
24	1.5	10	8	0	3/8	3/4	4	1		VI		c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
51/2	1.5	11	9	0	0	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
27	1.5	11	9	3/8	3/8	3/4	4	1		VI		c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
57/2	1.5	12	10	0	0	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
30	1.5	12	10	3/8	3/8	3/4	4	1		VI		c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
63/2	1.5	13	11	0	0	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
33	1.5	13	11	3/8	3/8	3/4	4	1		VI		c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
69/2	1.5	14	12	0	0	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
36	1.5	14	12	3/8	3/8	3/4	4	1		iv.VI		c	iv		VI	VI							M	1	1	-4, 0, -3		-4	-4
75/2	1.5	15	13	0	0	3/4	4	1		V		c	iv		V	V							M	1	1	1, 5, 2		1	1
39	1.5	15	13	3/8	3/8	3/4	4	1		VI		c	iv		VI	VI							M	1	1	-4, 0, -3		-4	-4
81/2	1.5	16	14	0	0	3/4	4	1		V		c	iv		V	V							M	1	1	1, 5, 2		1	1
42	1.5	16	14	3/8	3/8	3/4	4	1		VI		c	iv		VI	VI							M	1	1	-4, 0, -3		-4	-4
87/2	1.5	17	15	0	0	3/4	4	1		V		c	iv		V	V							M	1	1	1, 5, 2		1	1
45	1.5	17	15	3/8	3/8	3/4	4	1		VI		c	iv		VI	VI							M	1	1	-4, 0, -3		-4	-4
93/2	3.0	18	16	0	0	3/4	4	1		bII.V6		c	bII		V6	V		6					M	1	0	5, 2, 1		1	5
99/2	6.0	19	17	0	0	3/4	4	1		I		c	bII		I	I							M	1	0	0, 4, 1		0	0
111/2	6.0	21	19	0	0	3/4	4	1		IV		c	bII		IV	IV							M	1	0	-1, 3, 0		-1	-1
123/2	6.0	23	21	0	0	3/4	4	1		V7		c	bII		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
135/2	3.0	25	23	0	0	3/4	4	1		I\\		c	bII		I	I						\\	M	1	0	0, 4, 1		0	0
141/2	9.0	26	24	0	0	3/4	4	1		I		c	bII		I	I							M	1	0	0, 4, 1		0	0
159/2	3.0	29	27	0	0	3/4	4	1		iv.ii%65		c	iv		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
165/2	3.0	30	28	0	0	3/4	4	1		ii%7		c	iv		ii%7	ii	%	7					%7	1	1	2, -1, -4, 0		2	2
171/2	6.0	31	29	0	0	3/4	4	1		V7		c	iv		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
183/2	6.0	33	31	0	0	3/4	4	1		i		c	iv		i	i							m	1	1	0, -3, 1		0	0
195/2	3.0	35	33	0	0	3/4	4	1		i\\		c	iv		i	i						\\	m	1	1	0, -3, 1		0	0
201/2	6.0	36	34	0	0	3/4	4	1		i.#viio		c	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
213/2	3.0	38	36	0	0	3/4	4	1		V7		c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
219/2	9.0	39	37	0	0	3/4	4	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
237/2	6.0	42	40	0	0	3/4	4	1		i.#viio/v		c	i		#viio/v	#vii	o			v			o	1	1	6, 3, 0		6	6
249/2	3.0	44	42	0	0	3/4	4	1		V7/v		c	i		V7/v	V		7		v			Mm7	1	1	2, 6, 3, 0		2	2
255/2	3.0	45	43	0	0	3/4	4	1		v[v6		c	i	v	v6	v		6					m	1	1	-2, 2, 1		1	-2
261/2	3.0	46	44	0	0	3/4	4	1		V7		c	i	v	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
267/2	3.0	47	45	0	0	3/4	4	1		i64		c	i	v	i64	i		64					m	1	1	1, 0, -3		0	1
273/2	3.0	48	46	0	0	3/4	4	1		V7		c	i	v	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
279/2	6.0	49	47	0	0	3/4	4	1		i64		c	i	v	i64	i		64					m	1	1	1, 0, -3		0	1
291/2	3.0	51	49	0	0	3/4	4	1		V		c	i	v	V	V							M	1	1	1, 5, 2		1	1
297/2	3.0	52	50	0	0	3/4	4	1		V]		c	i	v	V	V							M	1	1	1, 5, 2		1	1
303/2	3.0	53	51	0	0	3/4	4	1		i[i		c	i	i	i	i							m	1	1	0, -3, 1		0	0
309/2	3.0	54	52	0	0	3/4	4	1		V7/iv		c	i	i	V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
315/2	3.0	55	53	0	0	3/4	4	1		iv64		c	i	i	iv64	iv		64					m	1	1	0, -1, -4		-1	0
321/2	3.0	56	54	0	0	3/4	4	1		V7/iv		c	i	i	V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
327/2	5.0	57	55	0	0	3/4	4	1		iv64		c	i	i	iv64	iv		64					m	1	1	0, -1, -4		-1	0
337/2	1.0	58	56	1/2	1/2	3/4	4	1		V		c	i	i	V	V							M	1	1	1, 5, 2		1	1
339/2	1.0	59	57	0	0	3/4	4	1		i6]		c	i	i	i6	i		6					m	1	1	-3, 1, 0		0	-3
