quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	20.0	1	1	0	0	2/2	4	1		Bb.I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
20	4.0	6	6	0	0	2/2	4	1		V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
24	2.0	7	7	0	0	2/2	4	1		I6	Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
26	2.0	7	7	1/2	1/2	2/2	4	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
28	4.0	8	8	0	0	2/2	4	1		V65	Bb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
32	4.0	9	9	0	0	2/2	4	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
36	4.0	10	10	0	0	2/2	4	1		V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
40	2.0	11	11	0	0	2/2	4	1		I6	Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
42	2.0	11	11	1/2	1/2	2/2	4	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
44	2.0	12	12	0	0	2/2	4	1		vi	Bb	I		vi		vi							m	0	0	3, 0, 4		3	3
46	2.0	12	12	1/2	1/2	2/2	4	1		V7/V	Bb	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
48	2.0	13	13	0	0	2/2	4	1		V\\	Bb	I		V		V						\\	M	0	0	1, 5, 2		1	1
50	2.0	13	13	1/2	1/2	2/2	4	1		V65/V	Bb	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
52	2.0	14	14	0	0	2/2	4	1		V	Bb	I		V		V							M	0	0	1, 5, 2		1	1
54	2.0	14	14	1/2	1/2	2/2	4	1		V65/V	Bb	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
56	2.0	15	15	0	0	2/2	4	1		V	Bb	I		V		V							M	0	0	1, 5, 2		1	1
58	2.0	15	15	1/2	1/2	2/2	4	1		V65/V	Bb	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
60	2.0	16	16	0	0	2/2	4	1		V	Bb	I		V		V							M	0	0	1, 5, 2		1	1
62	2.0	16	16	1/2	1/2	2/2	4	1		V65/V	Bb	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
64	1.0	17	17	0	0	2/2	4	1		V	Bb	I		V		V							M	0	0	1, 5, 2		1	1
65	1.0	17	17	1/4	1/4	2/2	4	1		V/V	Bb	I		V/V		V				V			M	0	0	2, 6, 3		2	2
66	1.0	17	17	1/2	1/2	2/2	4	1		V	Bb	I		V		V							M	0	0	1, 5, 2		1	1
67	1.0	17	17	3/4	3/4	2/2	4	1		V/V	Bb	I		V/V		V				V			M	0	0	2, 6, 3		2	2
68	4.0	18	18	0	0	2/2	4	1		V\\	Bb	I		V		V						\\	M	0	0	1, 5, 2		1	1
72	20.0	19	19	0	0	2/2	4	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
92	4.0	24	24	0	0	2/2	4	1		V65	Bb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
96	4.0	25	25	0	0	2/2	4	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
100	4.0	26	26	0	0	2/2	4	1		V65	Bb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
104	4.0	27	27	0	0	2/2	4	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
108	4.0	28	28	0	0	2/2	4	1		V65	Bb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
112	2.0	29	29	0	0	2/2	4	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
114	2.0	29	29	1/2	1/2	2/2	4	1		I6	Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
116	2.0	30	30	0	0	2/2	4	1		vi6	Bb	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
118	2.0	30	30	1/2	1/2	2/2	4	1		viio6/V	Bb	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
120	2.0	31	31	0	0	2/2	4	1		#viio65/iii	Bb	I		#viio65/iii		#vii	o	65		iii			o7	0	0	6, 3, 0, 9		9	6
122	2.0	31	31	1/2	1/2	2/2	4	1		iii6	Bb	I		iii6		iii		6					m	0	0	1, 5, 4		4	1
124	1.0	32	32	0	0	2/2	4	1		II.ii	Bb	II		ii		ii							m	0	0	2, -1, 3		2	2
125	1.0	32	32	1/4	1/4	2/2	4	1		ii%7	Bb	II		ii%7		ii	%	7					%7	0	0	2, -1, -4, 0		2	2
126	2.0	32	32	1/2	1/2	2/2	4	1		V7	Bb	II		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
128	1.0	33	33	0	0	2/2	4	1		I	Bb	II		I		I							M	0	0	0, 4, 1		0	0
129	3.0	33	33	1/4	1/4	2/2	4	1		I[I	Bb	II	I	I		I							M	0	0	0, 4, 1		0	0
132	4.0	34	34	0	0	2/2	4	1		V2	Bb	II	I	V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
136	4.0	35	35	0	0	2/2	4	1		I6	Bb	II	I	I6		I		6					M	0	0	4, 1, 0		0	4
140	1.0	36	36	0	0	2/2	4	1		V43	Bb	II	I	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
141	1.0	36	36	1/4	1/4	2/2	4	1		V65	Bb	II	I	V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
142	1.0	36	36	1/2	1/2	2/2	4	1		V7	Bb	II	I	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
143	1.0	36	36	3/4	3/4	2/2	4	1		V43	Bb	II	I	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
144	4.0	37	37	0	0	2/2	4	1		I64	Bb	II	I	I64		I		64					M	0	0	1, 0, 4		0	1
148	4.0	38	38	0	0	2/2	4	1		V7	Bb	II	I	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
152	4.0	39	39	0	0	2/2	4	1		I64]	Bb	II	I	I64		I		64					M	0	0	1, 0, 4		0	1
156	4.0	40	40	0	0	2/2	4	1		V65	Bb	II		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
160	1.0	41	41	0	0	2/2	4	1		I	Bb	II		I		I							M	0	0	0, 4, 1		0	0
161	1.0	41	41	1/4	1/4	2/2	4	1		V7	Bb	II		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
162	1.0	41	41	1/2	1/2	2/2	4	1		I	Bb	II		I		I							M	0	0	0, 4, 1		0	0
163	1.0	41	41	3/4	3/4	2/2	4	1		V7	Bb	II		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
164	1.0	42	42	0	0	2/2	4	1		I	Bb	II		I		I							M	0	0	0, 4, 1		0	0
165	1.0	42	42	1/4	1/4	2/2	4	1		V7	Bb	II		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
166	1.0	42	42	1/2	1/2	2/2	4	1		I	Bb	II		I		I							M	0	0	0, 4, 1		0	0
167	1.0	42	42	3/4	3/4	2/2	4	1		V7	Bb	II		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
168	4.0	43	43	0	0	2/2	4	1		I	Bb	II		I		I							M	0	0	0, 4, 1		0	0
172	3.0	44	44	0	0	2/2	4	1		I\\	Bb	II		I		I						\\	M	0	0	0, 4, 1		0	0
175	1.0	44	44	3/4	3/4	2/2	4	1		V.V	Bb	V		V		V							M	0	0	1, 5, 2		1	1
176	8.0	45	45	0	0	2/2	4	1		I	Bb	V		I		I							M	0	0	0, 4, 1		0	0
184	1.5	47	47	0	0	2/2	4	1		V65	Bb	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
371/2	0.5	47	47	3/8	3/8	2/2	4	1		I	Bb	V		I		I							M	0	0	0, 4, 1		0	0
186	1.5	47	47	1/2	1/2	2/2	4	1		V65	Bb	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
375/2	0.5	47	47	7/8	7/8	2/2	4	1		I	Bb	V		I		I							M	0	0	0, 4, 1		0	0
188	4.0	48	48	0	0	2/2	4	1		V	Bb	V		V		V							M	0	0	1, 5, 2		1	1
192	8.0	49	49	0	0	2/2	4	1		v.i	Bb	v		i		i							m	0	1	0, -3, 1		0	0
200	1.5	51	51	0	0	2/2	4	1		#viio6	Bb	v		#viio6		#vii	o	6					o	0	1	2, -1, 5		5	2
403/2	0.5	51	51	3/8	3/8	2/2	4	1		i	Bb	v		i		i							m	0	1	0, -3, 1		0	0
202	1.5	51	51	1/2	1/2	2/2	4	1		#viio6	Bb	v		#viio6		#vii	o	6					o	0	1	2, -1, 5		5	2
407/2	0.5	51	51	7/8	7/8	2/2	4	1		i	Bb	v		i		i							m	0	1	0, -3, 1		0	0
204	2.0	52	52	0	0	2/2	4	1		V	Bb	v		V		V							M	0	1	1, 5, 2		1	1
206	2.0	52	52	1/2	1/2	2/2	4	1		V7	Bb	v		V7		V		7					Mm7	0	1	1, 5, 2, -1		1	1
208	2.0	53	53	0	0	2/2	4	1		i	Bb	v		i		i							m	0	1	0, -3, 1		0	0
210	2.0	53	53	1/2	1/2	2/2	4	1		V2/iv	Bb	v		V2/iv		V		2		iv			Mm7	0	1	-2, 0, 4, 1		0	-2
212	4.0	54	54	0	0	2/2	4	1		iv6	Bb	v		iv6		iv		6					m	0	1	-4, 0, -1		-1	-4
216	2.0	55	55	0	0	2/2	4	1		III64	Bb	v		III64		III		64					M	0	1	-2, -3, 1		-3	-2
218	2.0	55	55	1/2	1/2	2/2	4	1		V2/III	Bb	v		V2/III		V		2		III			Mm7	0	1	-4, -2, 2, -1		-2	-4
220	4.0	56	56	0	0	2/2	4	1		III6	Bb	v		III6		III		6					M	0	1	1, -2, -3		-3	1
224	4.0	57	57	0	0	2/2	4	1		VI	Bb	v		VI		VI							M	0	1	-4, 0, -3		-4	-4
228	4.0	58	58	0	0	2/2	4	1		bII6	Bb	v		bII6		bII		6					M	0	1	-1, -4, -5		-5	-1
232	2.0	59	59	0	0	2/2	4	1		V(64)	Bb	v		V(64)		V			64				M	0	1	1, 0, -3		1	1
234	2.0	59	59	1/2	1/2	2/2	4	1		V2	Bb	v		V2		V		2					Mm7	0	1	-1, 1, 5, 2		1	-1
236	3.5	60	60	0	0	2/2	4	1		i6	Bb	v		i6		i		6					m	0	1	-3, 1, 0		0	-3
479/2	0.5	60	60	7/8	7/8	2/2	4	1		iio6	Bb	v		iio6		ii	o	6					o	0	1	-1, -4, 2		2	-1
240	2.0	61	61	0	0	2/2	4	1		i64	Bb	v		i64		i		64					m	0	1	1, 0, -3		0	1
242	2.0	61	61	1/2	1/2	2/2	4	1		V2	Bb	v		V2		V		2					Mm7	0	1	-1, 1, 5, 2		1	-1
244	3.5	62	62	0	0	2/2	4	1		V.I6	Bb	V		I6		I		6					M	0	0	4, 1, 0		0	4
495/2	0.5	62	62	7/8	7/8	2/2	4	1		ii6	Bb	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
248	2.0	63	63	0	0	2/2	4	1		V(64)	Bb	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
250	2.0	63	63	1/2	1/2	2/2	4	1		V2	Bb	V		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
252	4.0	64	64	0	0	2/2	4	1		I6	Bb	V		I6		I		6					M	0	0	4, 1, 0		0	4
256	4.0	65	65	0	0	2/2	4	1		V65	Bb	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
260	3.0	66	66	0	0	2/2	4	1		I	Bb	V		I		I							M	0	0	0, 4, 1		0	0
263	1.0	66	66	3/4	3/4	2/2	4	1		vi	Bb	V		vi		vi							m	0	0	3, 0, 4		3	3
264	2.0	67	67	0	0	2/2	4	1		ii6	Bb	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
266	2.0	67	67	1/2	1/2	2/2	4	1		V7	Bb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
268	4.0	68	68	0	0	2/2	4	1		I6	Bb	V		I6		I		6					M	0	0	4, 1, 0		0	4
272	4.0	69	69	0	0	2/2	4	1		V65	Bb	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
276	2.0	70	70	0	0	2/2	4	1		I	Bb	V		I		I							M	0	0	0, 4, 1		0	0
278	1.0	70	70	1/2	1/2	2/2	4	1		V43/vi	Bb	V		V43/vi		V		43		vi			Mm7	0	0	5, 2, 4, 8		4	5
279	1.0	70	70	3/4	3/4	2/2	4	1		vi	Bb	V		vi		vi							m	0	0	3, 0, 4		3	3
280	2.0	71	71	0	0	2/2	4	1		V65/vi	Bb	V		V65/vi		V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8
282	2.0	71	71	1/2	1/2	2/2	4	1		vi	Bb	V		vi		vi							m	0	0	3, 0, 4		3	3
284	2.0	72	72	0	0	2/2	4	1		V65/IV	Bb	V		V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
286	2.0	72	72	1/2	1/2	2/2	4	1		IV	Bb	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
288	2.0	73	73	0	0	2/2	4	1		V65/II	Bb	V		V65/II		V		65		II			Mm7	0	0	7, 4, 1, 3		3	7
290	2.0	73	73	1/2	1/2	2/2	4	1		V/V	Bb	V		V/V		V				V			M	0	0	2, 6, 3		2	2
292	4.0	74	74	0	0	2/2	4	1		#viio7/vi	Bb	V		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
296	4.0	75	75	0	0	2/2	4	1		vi	Bb	V		vi		vi							m	0	0	3, 0, 4		3	3
300	4.0	76	76	0	0	2/2	4	1		ii6	Bb	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
304	4.0	77	77	0	0	2/2	4	1		viio7/V	Bb	V		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
308	4.0	78	78	0	0	2/2	4	1		V(64)	Bb	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
312	4.0	79	79	0	0	2/2	4	1		V7	Bb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
316	4.0	80	80	0	0	2/2	4	1		I\\	Bb	V		I		I						\\	M	0	0	0, 4, 1		0	0
320	1.0	81	81	0	0	2/2	4	1		V43	Bb	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
321	1.0	81	81	1/4	1/4	2/2	4	1		V7	Bb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
322	1.0	81	81	1/2	1/2	2/2	4	1		V43	Bb	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
323	1.0	81	81	3/4	3/4	2/2	4	1		V7	Bb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
324	2.0	82	82	0	0	2/2	4	1		I	Bb	V		I		I							M	0	0	0, 4, 1		0	0
326	2.0	82	82	1/2	1/2	2/2	4	1		I6	Bb	V		I6		I		6					M	0	0	4, 1, 0		0	4
328	4.0	83	83	0	0	2/2	4	1		V2	Bb	V		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
332	3.0	84	84	0	0	2/2	4	1		I6	Bb	V		I6		I		6					M	0	0	4, 1, 0		0	4
335	1.0	84	84	3/4	3/4	2/2	4	1		I	Bb	V		I		I							M	0	0	0, 4, 1		0	0
336	4.0	85	85	0	0	2/2	4	1		V43	Bb	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
340	2.0	86	86	0	0	2/2	4	1		I6	Bb	V		I6		I		6					M	0	0	4, 1, 0		0	4
342	2.0	86	86	1/2	1/2	2/2	4	1		I	Bb	V		I		I							M	0	0	0, 4, 1		0	0
344	4.0	87	87	0	0	2/2	4	1		V7	Bb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
348	10.0	88	88	0	0	2/2	4	1		I	Bb	V		I		I							M	0	0	0, 4, 1		0	0
358	2.0	90	90	1/2	1/2	2/2	4	1		V7	Bb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
		91	91	0	0	2/2	4	1	1	I\\	Bb	V		I		I						\\	M	0	0	0, 4, 1		0	0
360	3.0	92	91	0	0	2/2	4	1	2	I\\	Bb	V		I		I						\\	M	0	0	0, 4, 1		0	0
363	1.0	92	91	3/4	3/4	2/2	4	1	2	V	Bb	V		V		V							M	0	0	1, 5, 2		1	1
364	2.0	93	92	0	0	2/2	4	1		I6	Bb	V		I6		I		6					M	0	0	4, 1, 0		0	4
366	2.0	93	92	1/2	1/2	2/2	4	1		I64	Bb	V		I64		I		64					M	0	0	1, 0, 4		0	1
368	3.0	94	93	0	0	2/2	4	1		I	Bb	V		I		I							M	0	0	0, 4, 1		0	0
371	1.0	94	93	3/4	3/4	2/2	4	1		V	Bb	V		V		V							M	0	0	1, 5, 2		1	1
372	2.0	95	94	0	0	2/2	4	1		I6	Bb	V		I6		I		6					M	0	0	4, 1, 0		0	4
374	2.0	95	94	1/2	1/2	2/2	4	1		I64	Bb	V		I64		I		64					M	0	0	1, 0, 4		0	1
376	3.0	96	95	0	0	2/2	4	1		I	Bb	V		I		I							M	0	0	0, 4, 1		0	0
379	1.0	96	95	3/4	3/4	2/2	4	1		V	Bb	V		V		V							M	0	0	1, 5, 2		1	1
380	20.0	97	96	0	0	2/2	4	1		I	Bb	V		I		I							M	0	0	0, 4, 1		0	0
400	4.0	102	101	0	0	2/2	4	1		III.V43	Bb	III		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
404	16.0	103	102	0	0	2/2	4	1		I	Bb	III		I		I							M	0	0	0, 4, 1		0	0
420	16.0	107	106	0	0	2/2	4	1		vi.#viio43	Bb	vi		#viio43		#vii	o	43					o7	0	1	-1, -4, 5, 2		5	-1
436	4.0	111	110	0	0	2/2	4	1		i6	Bb	vi		i6		i		6					m	0	1	-3, 1, 0		0	-3
440	24.0	112	111	0	0	2/2	4	1		V65	Bb	vi		V65		V		65					Mm7	0	1	5, 2, -1, 1		1	5
464	2.0	118	117	0	0	2/2	4	1		i6	Bb	vi		i6		i		6					m	0	1	-3, 1, 0		0	-3
466	2.0	118	117	1/2	1/2	2/2	4	1		i	Bb	vi		i		i							m	0	1	0, -3, 1		0	0
468	4.0	119	118	0	0	2/2	4	1		V65	Bb	vi		V65		V		65					Mm7	0	1	5, 2, -1, 1		1	5
472	2.0	120	119	0	0	2/2	4	1		i6	Bb	vi		i6		i		6					m	0	1	-3, 1, 0		0	-3
474	1.0	120	119	1/2	1/2	2/2	4	1		i\\	Bb	vi		i		i						\\	m	0	1	0, -3, 1		0	0
