quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	regex_match	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	2.0	1	1	0	0	3/4	4	1		1	C.I	dcml	C	I		I		I							M	0	0	0, 4, 1		0	0
2	1.0	1	1	1/2	1/2	3/4	4	1		1	V43	dcml	C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
3	1.0	2	2	0	0	3/4	4	1		1	V7	dcml	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	1.0	2	2	1/4	1/4	3/4	4	1		1	#viio7/vi	dcml	C	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
5	1.0	2	2	1/2	1/2	3/4	4	1		1	vi	dcml	C	I		vi		vi							m	0	0	3, 0, 4		3	3
6	1.0	3	3	0	0	3/4	4	1		1	ii65	dcml	C	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
7	2.0	3	3	1/4	1/4	3/4	4	1		1	V65/V	dcml	C	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
9	0.5	4	4	0	0	3/4	4	1		1	V(9)	dcml	C	I		V(9)		V			9				M	0	0	1, 5, 2	3	1	1
19/2	0.5	4	4	1/8	1/8	3/4	4	1		1	V	dcml	C	I		V		V							M	0	0	1, 5, 2		1	1
10	1.0	4	4	1/4	1/4	3/4	4	1		1	V7/V	dcml	C	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
11	1.0	4	4	1/2	1/2	3/4	4	1		1	V7	dcml	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	2.0	5	5	0	0	3/4	4	1		1	I	dcml	C	I		I		I							M	0	0	0, 4, 1		0	0
14	1.0	5	5	1/2	1/2	3/4	4	1		1	V43	dcml	C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
15	1.0	6	6	0	0	3/4	4	1		1	V7	dcml	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
16	1.0	6	6	1/4	1/4	3/4	4	1		1	#viio7/vi	dcml	C	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
17	1.0	6	6	1/2	1/2	3/4	4	1		1	vi	dcml	C	I		vi		vi							m	0	0	3, 0, 4		3	3
18	1.0	7	7	0	0	3/4	4	1		1	ii65	dcml	C	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
19	1.0	7	7	1/4	1/4	3/4	4	1		1	V65/V	dcml	C	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
20	1.0	7	7	1/2	1/2	3/4	4	1		1	V7	dcml	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
21	1.0	8	8	0	0	3/4	4	1		1	I	dcml	C	I		I		I							M	0	0	0, 4, 1		0	0
22	0.75	8	8	1/4	1/4	3/4	4	1		1	V7(6)	dcml	C	I		V7(6)		V		7	6				Mm7	0	0	1, 5, 4, -1		1	1
91/4	0.25	8	8	7/16	7/16	3/4	4	1		1	V7	dcml	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
23	1.0	8	8	1/2	1/2	3/4	4	1		1	I\\	dcml	C	I		I		I						\\	M	0	0	0, 4, 1		0	0
24	2.0	9	9	0	0	3/4	4	1		1	I	dcml	C	I		I		I							M	0	0	0, 4, 1		0	0
26	1.0	9	9	1/2	1/2	3/4	4	1		1	V43	dcml	C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
27	1.0	10	10	0	0	3/4	4	1		1	V7	dcml	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
