quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	regex_match	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	1.5	1	0	0	5/8	2/2	4	1		1	A.V	dcml	A	I		V	V							M	0	0	1, 5, 2		1	1
3/2	2.0	2	1	0	0	2/2	4	1		1	I64	dcml	A	I		I64	I		64					M	0	0	1, 0, 4		0	1
7/2	4.0	2	1	1/2	1/2	2/2	4	1		1	I	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
15/2	1.0	3	2	1/2	1/2	2/2	4	1		1	I6	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
17/2	1.0	3	2	3/4	3/4	2/2	4	1		1	I	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
19/2	2.0	4	3	0	0	2/2	4	1		1	V7	dcml	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
23/2	2.0	4	3	1/2	1/2	2/2	4	1		1	I	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
27/2	2.0	5	4	0	0	2/2	4	1		1	V7	dcml	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
31/2	2.0	5	4	1/2	1/2	2/2	4	1		1	I	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
35/2	2.0	6	5	0	0	2/2	4	1		1	V	dcml	A	I		V	V							M	0	0	1, 5, 2		1	1
39/2	2.0	6	5	1/2	1/2	2/2	4	1		1	V7/V	dcml	A	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
43/2	4.0	7	6	0	0	2/2	4	1		1	V\\	dcml	A	I		V	V						\\	M	0	0	1, 5, 2		1	1
51/2	8.0	8	7	0	0	2/2	4	1		1	V7	dcml	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
67/2	2.0	10	9	0	0	2/2	4	1		1	I	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
71/2	2.0	10	9	1/2	1/2	2/2	4	1		1	V7	dcml	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
75/2	2.0	11	10	0	0	2/2	4	1		1	I	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
79/2	2.0	11	10	1/2	1/2	2/2	4	1		1	V7	dcml	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
83/2	2.0	12	11	0	0	2/2	4	1		1	I	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
87/2	2.0	12	11	1/2	1/2	2/2	4	1		1	V7	dcml	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
91/2	3.0	13	12	0	0	2/2	4	1		1	I	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
97/2	1.0	13	12	3/4	3/4	2/2	4	1		1	V6	dcml	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
99/2	1.0	14	13	0	0	2/2	4	1		1	I	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
101/2	2.0	14	13	1/4	1/4	2/2	4	1		1	viio	dcml	A	I		viio	vii	o						o	0	0	5, 2, -1		5	5
105/2	1.0	14	13	3/4	3/4	2/2	4	1		1	I	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
107/2	4.0	15	14	0	0	2/2	4	1		1	V	dcml	A	I		V	V							M	0	0	1, 5, 2		1	1
115/2	4.0	16	15	0	0	2/2	4	1		1	V7	dcml	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
123/2	2.0	17	16	0	0	2/2	4	1		1	I6	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
127/2	2.0	17	16	1/2	1/2	2/2	4	1		1	V	dcml	A	I		V	V							M	0	0	1, 5, 2		1	1
131/2	0.5	18	17	0	0	2/2	4	1		1	I	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
66	1.5	18	17	1/8	1/8	2/2	4	1		1	V6	dcml	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
135/2	1.0	18	17	1/2	1/2	2/2	4	1		1	V43	dcml	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
137/2	1.0	18	17	3/4	3/4	2/2	4	1		1	I	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
139/2	2.0	19	18	0	0	2/2	4	1		1	V	dcml	A	I		V	V							M	0	0	1, 5, 2		1	1
143/2	2.0	19	18	1/2	1/2	2/2	4	1		1	I	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
147/2	1.0	20	19	0	0	2/2	4	1		1	V43	dcml	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
149/2	1.0	20	19	1/4	1/4	2/2	4	1		1	V6/ii	dcml	A	I		V6/ii	V		6		ii			M	0	0	7, 4, 3		3	7
151/2	1.0	20	19	1/2	1/2	2/2	4	1		1	I6	dcml	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
153/2	1.0	20	19	3/4	3/4	2/2	4	1		1	V43	dcml	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
155/2	2.0	21	20	0	0	2/2	4	1		1	I	dcml	A	I		I	I							M	0	0	0, 4, 1		0	0
159/2	2.0	21	20	1/2	1/2	2/2	4	1		1	IV64	dcml	A	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
163/2	2.0	22	21	0	0	2/2	4	1		1	V.I6(2)	dcml	A	V		I6(2)	I		6	2				M	0	0	4, 1, 2		0	4
167/2	2.0	22	21	1/2	1/2	2/2	4	1		1	I6	dcml	A	V		I6	I		6					M	0	0	4, 1, 0		0	4
171/2	2.0	23	22	0	0	2/2	4	1		1	viio65(2)	dcml	A	V		viio65(2)	vii	o	65	2				o7	0	0	2, -1, -4, 0		5	2
175/2	2.0	23	22	1/2	1/2	2/2	4	1		1	viio65	dcml	A	V		viio65	vii	o	65					o7	0	0	2, -1, -4, 5		5	2
179/2	2.0	24	23	0	0	2/2	4	1		1	vi6(2)	dcml	A	V		vi6(2)	vi		6	2				m	0	0	0, 4, 5		3	0
183/2	2.0	24	23	1/2	1/2	2/2	4	1		1	vi6	dcml	A	V		vi6	vi		6					m	0	0	0, 4, 3		3	0
187/2	2.0	25	24	0	0	2/2	4	1		1	V6(2)	dcml	A	V		V6(2)	V		6	2				M	0	0	5, 2, 3		1	5
191/2	2.0	25	24	1/2	1/2	2/2	4	1		1	V6	dcml	A	V		V6	V		6					M	0	0	5, 2, 1		1	5
195/2	2.0	26	25	0	0	2/2	4	1		1	viio6(2)	dcml	A	V		viio6(2)	vii	o	6	2				o	0	0	2, -1, 0		5	2
199/2	2.0	26	25	1/2	1/2	2/2	4	1		1	viio6	dcml	A	V		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
203/2	2.0	27	26	0	0	2/2	4	1		1	V	dcml	A	V		V	V							M	0	0	1, 5, 2		1	1
207/2	2.0	27	26	1/2	1/2	2/2	4	1		1	V7	dcml	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
211/2	2.0	28	27	0	0	2/2	4	1		1	I(9)	dcml	A	V		I(9)	I			9				M	0	0	0, 4, 1	2	0	0
215/2	1.0	28	27	1/2	1/2	2/2	4	1		1	i6	dcml	A	V		i6	i		6					m	0	0	-3, 1, 0		0	-3
217/2	1.0	28	27	3/4	3/4	2/2	4	1		1	i	dcml	A	V		i	i							m	0	0	0, -3, 1		0	0
219/2	2.5	29	28	0	0	2/2	4	1		1	V	dcml	A	V		V	V							M	0	0	1, 5, 2		1	1
112	1.5	29	28	5/8	5/8	2/2	4	1		1	V7	dcml	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
227/2	2.0	30	29	0	0	2/2	4	1		1	I(9)	dcml	A	V		I(9)	I			9				M	0	0	0, 4, 1	2	0	0
231/2	1.0	30	29	1/2	1/2	2/2	4	1		1	i6	dcml	A	V		i6	i		6					m	0	0	-3, 1, 0		0	-3
