quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	2.0	1	1	0	0	2/4	4	1		F.I	F	I		I		I							M	0	0	0, 4, 1		0	0
2	1.0	2	2	0	0	2/4	4	1		V43	F	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
3	1.0	2	2	1/4	1/4	2/4	4	1		V65	F	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
4	2.0	3	3	0	0	2/4	4	1		V	F	I		V		V							M	0	0	1, 5, 2		1	1
6	1.0	4	4	0	0	2/4	4	1		I6	F	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	1.0	4	4	1/4	1/4	2/4	4	1		I	F	I		I		I							M	0	0	0, 4, 1		0	0
8	0.5	5	5	0	0	2/4	4	1		V	F	I		V		V							M	0	0	1, 5, 2		1	1
17/2	0.5	5	5	1/8	1/8	2/4	4	1		V65	F	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
9	1.0	5	5	1/4	1/4	2/4	4	1		I	F	I		I		I							M	0	0	0, 4, 1		0	0
10	0.5	6	6	0	0	2/4	4	1		V	F	I		V		V							M	0	0	1, 5, 2		1	1
21/2	0.5	6	6	1/8	1/8	2/4	4	1		V65	F	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
11	1.0	6	6	1/4	1/4	2/4	4	1		I	F	I		I		I							M	0	0	0, 4, 1		0	0
12	0.5	7	7	0	0	2/4	4	1		V	F	I		V		V							M	0	0	1, 5, 2		1	1
25/2	0.5	7	7	1/8	1/8	2/4	4	1		V65	F	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
13	0.5	7	7	1/4	1/4	2/4	4	1		V.IV	F	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
27/2	0.5	7	7	3/8	3/8	2/4	4	1		V65/V	F	V		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
14	0.5	8	8	0	0	2/4	4	1		V(64)	F	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
29/2	0.5	8	8	1/8	1/8	2/4	4	1		V7	F	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
15	1.0	8	8	1/4	1/4	2/4	4	1		I\\	F	V		I		I						\\	M	0	0	0, 4, 1		0	0
16	2.0	9	9	0	0	2/4	4	1		I.I	F	I		I		I							M	0	0	0, 4, 1		0	0
18	1.0	10	10	0	0	2/4	4	1		V43	F	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
19	1.0	10	10	1/4	1/4	2/4	4	1		V65	F	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
20	2.0	11	11	0	0	2/4	4	1		V	F	I		V		V							M	0	0	1, 5, 2		1	1
22	1.0	12	12	0	0	2/4	4	1		I6	F	I		I6		I		6					M	0	0	4, 1, 0		0	4
23	1.0	12	12	1/4	1/4	2/4	4	1		I	F	I		I		I							M	0	0	0, 4, 1		0	0
24	0.5	13	13	0	0	2/4	4	1		V	F	I		V		V							M	0	0	1, 5, 2		1	1
49/2	0.5	13	13	1/8	1/8	2/4	4	1		V65	F	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
25	1.0	13	13	1/4	1/4	2/4	4	1		I	F	I		I		I							M	0	0	0, 4, 1		0	0
26	0.5	14	14	0	0	2/4	4	1		V	F	I		V		V							M	0	0	1, 5, 2		1	1
53/2	0.5	14	14	1/8	1/8	2/4	4	1		V65	F	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
27	1.0	14	14	1/4	1/4	2/4	4	1		I	F	I		I		I							M	0	0	0, 4, 1		0	0
28	0.5	15	15	0	0	2/4	4	1		V	F	I		V		V							M	0	0	1, 5, 2		1	1
57/2	0.5	15	15	1/8	1/8	2/4	4	1		V65	F	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
29	0.5	15	15	1/4	1/4	2/4	4	1		I	F	I		I		I							M	0	0	0, 4, 1		0	0
59/2	0.5	15	15	3/8	3/8	2/4	4	1		#viio7/ii	F	I		#viio7/ii		#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7
30	0.5	16	16	0	0	2/4	4	1		ii	F	I		ii		ii							m	0	0	2, -1, 3		2	2
61/2	0.5	16	16	1/8	1/8	2/4	4	1		#viio7/vi	F	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
31	0.5	16	16	1/4	1/4	2/4	4	1		vi	F	I		vi		vi							m	0	0	3, 0, 4		3	3
