quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	regex_match	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	1.0	1	1	0	0	2/4	4	1		1	F.I	dcml	F	I		I		I							M	0	0	0, 4, 1		0	0
1	1.0	1	1	1/4	1/4	2/4	4	1		1	V	dcml	F	I		V		V							M	0	0	1, 5, 2		1	1
2	1.0	2	2	0	0	2/4	4	1		1	I	dcml	F	I		I		I							M	0	0	0, 4, 1		0	0
3	1.0	2	2	1/4	1/4	2/4	4	1		1	V43	dcml	F	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	1.0	3	3	0	0	2/4	4	1		1	I6	dcml	F	I		I6		I		6					M	0	0	4, 1, 0		0	4
5	1.0	3	3	1/4	1/4	2/4	4	1		1	V	dcml	F	I		V		V							M	0	0	1, 5, 2		1	1
6	1.0	4	4	0	0	2/4	4	1		1	I6	dcml	F	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	1.0	4	4	1/4	1/4	2/4	4	1		1	V	dcml	F	I		V		V							M	0	0	1, 5, 2		1	1
8	1.0	5	5	0	0	2/4	4	1		1	I6	dcml	F	I		I6		I		6					M	0	0	4, 1, 0		0	4
9	1.0	5	5	1/4	1/4	2/4	4	1		1	V2/vi	dcml	F	I		V2/vi		V		2		vi			Mm7	0	0	2, 4, 8, 5		4	2
10	1.0	6	6	0	0	2/4	4	1		1	vi6	dcml	F	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
11	1.0	6	6	1/4	1/4	2/4	4	1		1	V6/vi	dcml	F	I		V6/vi		V		6		vi			M	0	0	8, 5, 4		4	8
12	1.0	7	7	0	0	2/4	4	1		1	vi	dcml	F	I		vi		vi							m	0	0	3, 0, 4		3	3
13	1.0	7	7	1/4	1/4	2/4	4	1		1	V64/vi	dcml	F	I		V64/vi		V		64		vi			M	0	0	5, 4, 8		4	5
14	1.0	8	8	0	0	2/4	4	1		1	vi	dcml	F	I		vi		vi							m	0	0	3, 0, 4		3	3
15	1.0	8	8	1/4	1/4	2/4	4	1		1	I64	dcml	F	I		I64		I		64					M	0	0	1, 0, 4		0	1
16	1.0	9	9	0	0	2/4	4	1		1	V[V43(2)	dcml	F	I	V	V43(2)		V		43	2				Mm7	0	0	2, -1, 3, 5		1	2
17	1.0	9	9	1/4	1/4	2/4	4	1		1	V43	dcml	F	I	V	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
18	1.0	10	10	0	0	2/4	4	1		1	I	dcml	F	I	V	I		I							M	0	0	0, 4, 1		0	0
19	1.0	10	10	1/4	1/4	2/4	4	1		1	V	dcml	F	I	V	V		V							M	0	0	1, 5, 2		1	1
20	1.0	11	11	0	0	2/4	4	1		1	I6	dcml	F	I	V	I6		I		6					M	0	0	4, 1, 0		0	4
21	1.0	11	11	1/4	1/4	2/4	4	1		1	V6	dcml	F	I	V	V6		V		6					M	0	0	5, 2, 1		1	5
22	1.0	12	12	0	0	2/4	4	1		1	I	dcml	F	I	V	I		I							M	0	0	0, 4, 1		0	0
23	1.0	12	12	1/4	1/4	2/4	4	1		1	V6	dcml	F	I	V	V6		V		6					M	0	0	5, 2, 1		1	5
24	1.0	13	13	0	0	2/4	4	1		1	I]	dcml	F	I	V	I		I							M	0	0	0, 4, 1		0	0
25	1.0	13	13	1/4	1/4	2/4	4	1		1	V65/vi	dcml	F	I		V65/vi		V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8
26	1.0	14	14	0	0	2/4	4	1		1	vi	dcml	F	I		vi		vi							m	0	0	3, 0, 4		3	3
27	1.0	14	14	1/4	1/4	2/4	4	1		1	V43/vi	dcml	F	I		V43/vi		V		43		vi			Mm7	0	0	5, 2, 4, 8		4	5
28	1.0	15	15	0	0	2/4	4	1		1	vi6	dcml	F	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
29	1.0	15	15	1/4	1/4	2/4	4	1		1	V65/vi	dcml	F	I		V65/vi		V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8
30	1.0	16	16	0	0	2/4	4	1		1	IV	dcml	F	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
31	1.0	16	16	1/4	1/4	2/4	4	1		1	V2	dcml	F	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
32	1.0	17	17	0	0	2/4	4	1		1	I6	dcml	F	I		I6		I		6					M	0	0	4, 1, 0		0	4
33	1.0	17	17	1/4	1/4	2/4	4	1		1	V43	dcml	F	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
