quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	4.0	1	1	0	0	2/4	4	1		G.I	G	I		I		I							M	0	0	0, 4, 1		0	0
4	2.0	3	3	0	0	2/4	4	1		V7	G	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	2.0	4	4	0	0	2/4	4	1		V7\\	G	I		V7		V		7				\\	Mm7	0	0	1, 5, 2, -1		1	1
8	0.5	5	5	0	0	2/4	4	1		I	G	I		I		I							M	0	0	0, 4, 1		0	0
17/2	0.5	5	5	1/8	1/8	2/4	4	1		vi	G	I		vi		vi							m	0	0	3, 0, 4		3	3
9	0.5	5	5	1/4	1/4	2/4	4	1		ii65	G	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
19/2	0.5	5	5	3/8	3/8	2/4	4	1		V7	G	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
10	0.5	6	6	0	0	2/4	4	1		I6	G	I		I6		I		6					M	0	0	4, 1, 0		0	4
21/2	2.0	6	6	1/8	1/8	2/4	4	1		I	G	I		I		I							M	0	0	0, 4, 1		0	0
25/2	0.5	7	7	1/8	1/8	2/4	4	1		vi	G	I		vi		vi							m	0	0	3, 0, 4		3	3
13	0.5	7	7	1/4	1/4	2/4	4	1		ii65	G	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
27/2	0.5	7	7	3/8	3/8	2/4	4	1		V7	G	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
14	2.0	8	8	0	0	2/4	4	1		I\\	G	I		I		I						\\	M	0	0	0, 4, 1		0	0
16	2.0	9	9	0	0	2/4	4	1		I	G	I		I		I							M	0	0	0, 4, 1		0	0
18	2.0	10	10	0	0	2/4	4	1		V43	G	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
20	1.0	11	11	0	0	2/4	4	1		I6	G	I		I6		I		6					M	0	0	4, 1, 0		0	4
21	1.0	11	11	1/4	1/4	2/4	4	1		I	G	I		I		I							M	0	0	0, 4, 1		0	0
22	2.0	12	12	0	0	2/4	4	1		V\\	G	I		V		V						\\	M	0	0	1, 5, 2		1	1
24	2.0	13	13	0	0	2/4	4	1		I	G	I		I		I							M	0	0	0, 4, 1		0	0
26	2.0	14	14	0	0	2/4	4	1		V43	G	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
28	1.0	15	15	0	0	2/4	4	1		I6	G	I		I6		I		6					M	0	0	4, 1, 0		0	4
29	1.0	15	15	1/4	1/4	2/4	4	1		I	G	I		I		I							M	0	0	0, 4, 1		0	0
30	2.0	16	16	0	0	2/4	4	1		V	G	I		V		V							M	0	0	1, 5, 2		1	1
32	1.0	17	17	0	0	2/4	4	1		IV6	G	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
33	1.0	17	17	1/4	1/4	2/4	4	1		iv6	G	I		iv6		iv		6					m	0	0	-4, 0, -1		-1	-4
34	1.5	18	18	0	0	2/4	4	1		V7	G	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
71/2	0.5	18	18	3/8	3/8	2/4	4	1		V65	G	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
36	0.875	19	19	0	0	2/4	4	1		I	G	I		I		I							M	0	0	0, 4, 1		0	0
295/8	0.125	19	19	7/32	7/32	2/4	4	1		vi	G	I		vi		vi							m	0	0	3, 0, 4		3	3
37	0.875	19	19	1/4	1/4	2/4	4	1		ii65	G	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
303/8	0.125	19	19	15/32	15/32	2/4	4	1		V7	G	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
38	2.0	20	20	0	0	2/4	4	1		I\\	G	I		I		I						\\	M	0	0	0, 4, 1		0	0
40	2.0	21	21	0	0	2/4	4	1		V	G	I		V		V							M	0	0	1, 5, 2		1	1
42	2.0	22	22	0	0	2/4	4	1		I	G	I		I		I							M	0	0	0, 4, 1		0	0
44	1.0	23	23	0	0	2/4	4	1		V43	G	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
45	1.0	23	23	1/4	1/4	2/4	4	1		I	G	I		I		I							M	0	0	0, 4, 1		0	0
46	2.0	24	24	0	0	2/4	4	1		V6	G	I		V6		V		6					M	0	0	5, 2, 1		1	5
48	2.0	25	25	0	0	2/4	4	1		V/vi	G	I		V/vi		V				vi			M	0	0	4, 8, 5		4	4
50	2.0	26	26	0	0	2/4	4	1		vi	G	I		vi		vi							m	0	0	3, 0, 4		3	3
52	1.0	27	27	0	0	2/4	4	1		V43/vi	G	I		V43/vi		V		43		vi			Mm7	0	0	5, 2, 4, 8		4	5
53	1.0	27	27	1/4	1/4	2/4	4	1		vi	G	I		vi		vi							m	0	0	3, 0, 4		3	3
54	1.0	28	28	0	0	2/4	4	1		V6/vi	G	I		V6/vi		V		6		vi			M	0	0	8, 5, 4		4	8
55	1.0	28	28	1/4	1/4	2/4	4	1		V.ii	G	V		ii		ii							m	0	0	2, -1, 3		2	2
56	1.0	29	29	0	0	2/4	4	1		V43	G	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
57	1.0	29	29	1/4	1/4	2/4	4	1		I	G	V		I		I							M	0	0	0, 4, 1		0	0
58	1.0	30	30	0	0	2/4	4	1		V6	G	V		V6		V		6					M	0	0	5, 2, 1		1	5
