quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	alt_label	regex_match	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	1.0	1	0	0	1/4	2/4	4	1		1	Eb.I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
1	1.0	2	1	0	0	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
2	2.0	2	1	1/4	1/4	2/4	4	1		1	IV		dcml	Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
4	2.0	3	2	1/4	1/4	2/4	4	1		1	ii		dcml	Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
6	1.0	4	3	1/4	1/4	2/4	4	1		1	V65		dcml	Eb	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
7	1.0	5	4	0	0	2/4	4	1		1	V6		dcml	Eb	I		V6		V		6						M	0	0	5, 2, 1		1	5
8	1.0	5	4	1/4	1/4	2/4	4	1		1	V7		dcml	Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
9	1.0	6	5	0	0	2/4	4	1		1	V		dcml	Eb	I		V		V								M	0	0	1, 5, 2		1	1
10	2.0	6	5	1/4	1/4	2/4	4	1		1	I6		dcml	Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
12	0.75	7	6	1/4	1/4	2/4	4	1		1	I		dcml	Eb	I		I		I								M	0	0	0, 4, 1		0	0
51/4	0.25	7	6	7/16	7/16	2/4	4	1		1	#viio6/vi		dcml	Eb	I		#viio6/vi		#vii	o	6		vi				o	0	0	5, 2, 8		8	5
13	0.5	8	7	0	0	2/4	4	1		1	vi.i		dcml	Eb	vi		i		i								m	0	1	0, -3, 1		0	0
27/2	0.5	8	7	1/8	1/8	2/4	4	1		1	v6		dcml	Eb	vi		v6		v		6						m	0	1	-2, 2, 1		1	-2
14	0.5	8	7	1/4	1/4	2/4	4	1		1	VI		dcml	Eb	vi		VI		VI								M	0	1	-4, 0, -3		-4	-4
29/2	0.5	8	7	3/8	3/8	2/4	4	1		1	iv6		dcml	Eb	vi		iv6		iv		6						m	0	1	-4, 0, -1		-1	-4
15	1.0	9	8	0	0	2/4	4	1		1	V\\		dcml	Eb	vi		V		V							\\	M	0	1	1, 5, 2		1	1
16	1.0	10	8	0	1/4	2/4	4	1		1	I.V7/vi		dcml	Eb	I		V7/vi		V		7		vi				Mm7	0	0	4, 8, 5, 2		4	4
17	1.0	11	9	0	0	2/4	4	1		1	V7/ii		dcml	Eb	I		V7/ii		V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
18	1.0	11	9	1/4	1/4	2/4	4	1		1	V7/V		dcml	Eb	I		V7/V		V		7		V				Mm7	0	0	2, 6, 3, 0		2	2
19	1.0	12	10	0	0	2/4	4	1		1	V7		dcml	Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
