quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	4.0	1	1	0	0	2/2	4	1		e.VI	e	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
4	2.0	2	2	0	0	2/2	4	1		VI.I	e	VI		I		I							M	1	0	0, 4, 1		0	0
6	2.0	2	2	1/2	1/2	2/2	4	1		I(64)	e	VI		I(64)		I			64				M	1	0	0, -1, 3		0	0
8	6.0	3	3	0	0	2/2	4	1		I	e	VI		I		I							M	1	0	0, 4, 1		0	0
14	2.0	4	4	1/2	1/2	2/2	4	1		I(64)	e	VI		I(64)		I			64				M	1	0	0, -1, 3		0	0
16	8.0	5	5	0	0	2/2	4	1		I	e	VI		I		I							M	1	0	0, 4, 1		0	0
24	2.0	7	7	0	0	2/2	4	1		i.iv65	e	i		iv65		iv		65					mm7	1	1	-4, 0, -3, -1		-1	-4
26	2.0	7	7	1/2	1/2	2/2	4	1		i64	e	i		i64		i		64					m	1	1	1, 0, -3		0	1
28	2.0	8	8	0	0	2/2	4	1		V7	e	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
30	1.0	8	8	1/2	1/2	2/2	4	1		V7(4)	e	i		V7(4)		V		7	4				Mm7	1	1	1, 0, 2, -1		1	1
31	1.0	8	8	3/4	3/4	2/2	4	1		V7	e	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
32	2.0	9	9	0	0	2/2	4	1		i\\	e	i		i		i						\\	m	1	1	0, -3, 1		0	0
34	2.0	9	9	1/2	1/2	2/2	4	1		VI.V43	e	VI		V43		V		43					Mm7	1	0	2, -1, 1, 5		1	2
36	6.0	10	10	0	0	2/2	4	1		I	e	VI		I		I							M	1	0	0, 4, 1		0	0
42	2.0	11	11	1/2	1/2	2/2	4	1		I(64)	e	VI		I(64)		I			64				M	1	0	0, -1, 3		0	0
44	6.0	12	12	0	0	2/2	4	1		I	e	VI		I		I							M	1	0	0, 4, 1		0	0
