quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	regex_match	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	1.5	1	1	0	0	3/8	4	1		1	C.V	dcml	C	I		V	V							M	0	0	1, 5, 2		1	1
3/2	3.0	2	2	0	0	3/8	4	1		1	I	dcml	C	I		I	I							M	0	0	0, 4, 1		0	0
9/2	1.5	4	4	0	0	3/8	4	1		1	V6	dcml	C	I		V6	V		6					M	0	0	5, 2, 1		1	5
6	1.0	5	5	0	0	3/8	4	1		1	I	dcml	C	I		I	I							M	0	0	0, 4, 1		0	0
7	0.5	5	5	1/4	1/4	3/8	4	1		1	vi6	dcml	C	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
15/2	1.0	6	6	0	0	3/8	4	1		1	V.V	dcml	C	V		V	V							M	0	0	1, 5, 2		1	1
17/2	0.5	6	6	1/4	1/4	3/8	4	1		1	V7	dcml	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	1.5	7	7	0	0	3/8	4	1		1	I	dcml	C	V		I	I							M	0	0	0, 4, 1		0	0
21/2	0.5	8	8	0	0	3/8	4	1		1	IV6	dcml	C	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
11	0.5	8	8	1/8	1/8	3/8	4	1		1	IV	dcml	C	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
23/2	0.5	8	8	1/4	1/4	3/8	4	1		1	ii	dcml	C	V		ii	ii							m	0	0	2, -1, 3		2	2
12	1.0	9	9	0	0	3/8	4	1		1	V65	dcml	C	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
13	0.5	9	9	1/4	1/4	3/8	4	1		1	V	dcml	C	V		V	V							M	0	0	1, 5, 2		1	1
27/2	0.5	10	10	0	0	3/8	4	1		1	I64	dcml	C	V		I64	I		64					M	0	0	1, 0, 4		0	1
14	0.5	10	10	1/8	1/8	3/8	4	1		1	I6	dcml	C	V		I6	I		6					M	0	0	4, 1, 0		0	4
29/2	0.5	10	10	1/4	1/4	3/8	4	1		1	V2/IV	dcml	C	V		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
15	0.5	11	11	0	0	3/8	4	1		1	IV6	dcml	C	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
31/2	1.0	11	11	1/8	1/8	3/8	4	1		1	I.ii7	dcml	C	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
33/2	0.5	12	12	0	0	3/8	4	1		1	IV	dcml	C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
17	1.0	12	12	1/8	1/8	3/8	4	1		1	IV6	dcml	C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
18	1.5	13	13	0	0	3/8	4	1		1	V7	dcml	C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
39/2	1.0	14	14	0	0	3/8	4	1		1	I\\	dcml	C	I		I	I						\\	M	0	0	0, 4, 1		0	0
41/2	0.5	14	14	1/4	1/4	3/8	4	1		1	V2/IV	dcml	C	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
21	1.5	15	15	0	0	3/8	4	1		1	V7/ii	dcml	C	I		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
45/2	1.0	16	16	0	0	3/8	4	1		1	ii	dcml	C	I		ii	ii							m	0	0	2, -1, 3		2	2
47/2	0.5	16	16	1/4	1/4	3/8	4	1		1	bVII6	dcml	C	I		bVII6	bVII		6					M	0	0	2, -1, -2		-2	2
24	1.5	17	17	0	0	3/8	4	1		1	V7/IV	dcml	C	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
51/2	2.0	18	18	0	0	3/8	4	1		1	IV	dcml	C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
55/2	0.5	19	19	1/8	1/8	3/8	4	1		1	ii6	dcml	C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
28	0.5	19	19	1/4	1/4	3/8	4	1		1	V65/V	dcml	C	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
57/2	1.5	20	20	0	0	3/8	4	1		1	V[V	dcml	C	I	V	V	V							M	0	0	1, 5, 2		1	1
30	1.5	21	21	0	0	3/8	4	1		1	V(64)	dcml	C	I	V	V(64)	V			64				M	0	0	1, 0, 4		1	1
63/2	1.5	22	22	0	0	3/8	4	1		1	V7	dcml	C	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
33	1.5	23	23	0	0	3/8	4	1		1	V(64)	dcml	C	I	V	V(64)	V			64				M	0	0	1, 0, 4		1	1
69/2	1.5	24	24	0	0	3/8	4	1		1	V7	dcml	C	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
36	1.5	25	25	0	0	3/8	4	1		1	V(64)	dcml	C	I	V	V(64)	V			64				M	0	0	1, 0, 4		1	1
75/2	1.5	26	26	0	0	3/8	4	1		1	V7	dcml	C	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
39	1.5	27	27	0	0	3/8	4	1		1	V(64)	dcml	C	I	V	V(64)	V			64				M	0	0	1, 0, 4		1	1
81/2	1.0	28	28	0	0	3/8	4	1		1	V	dcml	C	I	V	V	V							M	0	0	1, 5, 2		1	1
83/2	0.5	28	28	1/4	1/4	3/8	4	1		1	V(64)	dcml	C	I	V	V(64)	V			64				M	0	0	1, 0, 4		1	1
42	1.0	29	29	0	0	3/8	4	1		1	V	dcml	C	I	V	V	V							M	0	0	1, 5, 2		1	1
43	0.5	29	29	1/4	1/4	3/8	4	1		1	V(64)	dcml	C	I	V	V(64)	V			64				M	0	0	1, 0, 4		1	1
87/2	0.5	30	30	0	0	3/8	4	1		1	V	dcml	C	I	V	V	V							M	0	0	1, 5, 2		1	1
44	0.5	30	30	1/8	1/8	3/8	4	1		1	V(64)	dcml	C	I	V	V(64)	V			64				M	0	0	1, 0, 4		1	1
89/2	0.5	30	30	1/4	1/4	3/8	4	1		1	V	dcml	C	I	V	V	V							M	0	0	1, 5, 2		1	1
45	0.5	31	31	0	0	3/8	4	1		1	V(64)	dcml	C	I	V	V(64)	V			64				M	0	0	1, 0, 4		1	1
91/2	0.5	31	31	1/8	1/8	3/8	4	1		1	V	dcml	C	I	V	V	V							M	0	0	1, 5, 2		1	1
46	0.5	31	31	1/4	1/4	3/8	4	1		1	V(64)	dcml	C	I	V	V(64)	V			64				M	0	0	1, 0, 4		1	1
93/2	3.0	32	32	0	0	3/8	4	1		1	V]	dcml	C	I	V	V	V							M	0	0	1, 5, 2		1	1
99/2	1.5	34	34	0	0	3/8	4	1		1	I	dcml	C	I		I	I							M	0	0	0, 4, 1		0	0
51	1.5	35	35	0	0	3/8	4	1		1	vi	dcml	C	I		vi	vi							m	0	0	3, 0, 4		3	3
105/2	1.5	36	36	0	0	3/8	4	1		1	viio/V	dcml	C	I		viio/V	vii	o			V			o	0	0	6, 3, 0		6	6
54	1.0	37	37	0	0	3/8	4	1		1	V/V	dcml	C	I		V/V	V				V			M	0	0	2, 6, 3		2	2
55	0.5	37	37	1/4	1/4	3/8	4	1		1	V.V	dcml	C	V		V	V							M	0	0	1, 5, 2		1	1
111/2	0.5	38	38	0	0	3/8	4	1		1	V(64)	dcml	C	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
56	0.5	38	38	1/8	1/8	3/8	4	1		1	V7	dcml	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
113/2	0.5	38	38	1/4	1/4	3/8	4	1		1	V(64)	dcml	C	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
57	1.5	39	39	0	0	3/8	4	1		1	V7	dcml	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
117/2	0.5	40	40	0	0	3/8	4	1		1	V(64)	dcml	C	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
59	0.5	40	40	1/8	1/8	3/8	4	1		1	V7	dcml	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
119/2	0.5	40	40	1/4	1/4	3/8	4	1		1	V(64)	dcml	C	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
60	3.0	41	41	0	0	3/8	4	1		1	V7\\	dcml	C	V		V7	V		7				\\	Mm7	0	0	1, 5, 2, -1		1	1
63	1.5	43	43	0	0	3/8	4	1		1	I	dcml	C	V		I	I							M	0	0	0, 4, 1		0	0
129/2	1.5	44	44	0	0	3/8	4	1		1	VI	dcml	C	V		VI	VI							M	0	0	3, 7, 4		3	3
66	1.5	45	45	0	0	3/8	4	1		1	II	dcml	C	V		II	II							M	0	0	2, 6, 3		2	2
135/2	1.0	46	46	0	0	3/8	4	1		1	V	dcml	C	V		V	V							M	0	0	1, 5, 2		1	1
137/2	0.5	46	46	1/4	1/4	3/8	4	1		1	V2	dcml	C	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
69	1.5	47	47	0	0	3/8	4	1		1	I6	dcml	C	V		I6	I		6					M	0	0	4, 1, 0		0	4
141/2	0.5	48	48	0	0	3/8	4	1		1	IV(4)	dcml	C	V		IV(4)	IV			4				M	0	0	-1, 5, 0		-1	-1
71	0.5	48	48	1/8	1/8	3/8	4	1		1	I	dcml	C	V		I	I							M	0	0	0, 4, 1		0	0
143/2	0.5	48	48	1/4	1/4	3/8	4	1		1	V6	dcml	C	V		V6	V		6					M	0	0	5, 2, 1		1	5
72	0.5	49	49	0	0	3/8	4	1		1	V64	dcml	C	V		V64	V		64					M	0	0	2, 1, 5		1	2
145/2	0.5	49	49	1/8	1/8	3/8	4	1		1	viio6	dcml	C	V		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
73	0.5	49	49	1/4	1/4	3/8	4	1		1	I	dcml	C	V		I	I							M	0	0	0, 4, 1		0	0
147/2	0.5	50	50	0	0	3/8	4	1		1	V(64)	dcml	C	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
74	1.0	50	50	1/8	1/8	3/8	4	1		1	V\\	dcml	C	V		V	V						\\	M	0	0	1, 5, 2		1	1
75	1.5	51	51	0	0	3/8	4	1		1	@none	dcml	C	V		@none	@none							m	0	0				
153/2	1.5	52	52	0	0	3/8	4	1		1	VI	dcml	C	V		VI	VI							M	0	0	3, 7, 4		3	3
78	1.5	53	53	0	0	3/8	4	1		1	ii	dcml	C	V		ii	ii							m	0	0	2, -1, 3		2	2
159/2	1.0	54	54	0	0	3/8	4	1		1	V	dcml	C	V		V	V							M	0	0	1, 5, 2		1	1
161/2	0.5	54	54	1/4	1/4	3/8	4	1		1	V7	dcml	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
81	1.5	55	55	0	0	3/8	4	1		1	I	dcml	C	V		I	I							M	0	0	0, 4, 1		0	0
165/2	1.5	56	56	0	0	3/8	4	1		1	vi	dcml	C	V		vi	vi							m	0	0	3, 0, 4		3	3
84	0.25	57	57	0	0	3/8	4	1		1	IV	dcml	C	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
337/4	0.25	57	57	1/16	1/16	3/8	4	1		1	#viio6/ii	dcml	C	V		#viio6/ii	#vii	o	6		ii			o	0	0	4, 1, 7		7	4
169/2	0.25	57	57	1/8	1/8	3/8	4	1		1	ii	dcml	C	V		ii	ii							m	0	0	2, -1, 3		2	2
339/4	0.5	57	57	3/16	3/16	3/8	4	1		1	vi6	dcml	C	V		vi6	vi		6					m	0	0	0, 4, 3		3	0
341/4	0.25	57	57	5/16	5/16	3/8	4	1		1	viio6/V	dcml	C	V		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
171/2	0.5	58	58	0	0	3/8	4	1		1	V	dcml	C	V		V	V							M	0	0	1, 5, 2		1	1
86	1.0	58	58	1/8	1/8	3/8	4	1		1	vi7	dcml	C	V		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
87	0.5	59	59	0	0	3/8	4	1		1	V6	dcml	C	V		V6	V		6					M	0	0	5, 2, 1		1	5
175/2	1.0	59	59	1/8	1/8	3/8	4	1		1	I	dcml	C	V		I	I							M	0	0	0, 4, 1		0	0
177/2	0.375	60	60	0	0	3/8	4	1		1	ii6	dcml	C	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
711/8	0.125	60	60	3/32	3/32	3/8	4	1		1	ii	dcml	C	V		ii	ii							m	0	0	2, -1, 3		2	2
89	0.5	60	60	1/8	1/8	3/8	4	1		1	V(64)	dcml	C	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
179/2	0.5	60	60	1/4	1/4	3/8	4	1		1	V	dcml	C	V		V	V							M	0	0	1, 5, 2		1	1
90	1.5	61	61	0	0	3/8	4	1		1	I6	dcml	C	V		I6	I		6					M	0	0	4, 1, 0		0	4
183/2	1.5	62	62	0	0	3/8	4	1		1	I	dcml	C	V		I	I							M	0	0	0, 4, 1		0	0
93	0.75	63	63	0	0	3/8	4	1		1	vi	dcml	C	V		vi	vi							m	0	0	3, 0, 4		3	3
375/4	0.75	63	63	3/16	3/16	3/8	4	1		1	I6	dcml	C	V		I6	I		6					M	0	0	4, 1, 0		0	4
189/2	0.5	64	64	0	0	3/8	4	1		1	V65	dcml	C	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
95	1.0	64	64	1/8	1/8	3/8	4	1		1	V2/IV	dcml	C	V		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
96	0.5	65	65	0	0	3/8	4	1		1	IV6	dcml	C	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
193/2	1.0	65	65	1/8	1/8	3/8	4	1		1	V+65/IV	dcml	C	V		V+65/IV	V	+	65		IV			+7	0	0	4, 8, -2, 0		0	4
195/2	0.375	66	66	0	0	3/8	4	1		1	IV	dcml	C	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
783/8	0.125	66	66	3/32	3/32	3/8	4	1		1	ii	dcml	C	V		ii	ii							m	0	0	2, -1, 3		2	2
98	0.5	66	66	1/8	1/8	3/8	4	1		1	V(64)	dcml	C	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
197/2	0.5	66	66	1/4	1/4	3/8	4	1		1	V7	dcml	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
99	1.5	67	67	0	0	3/8	4	1		1	I\\	dcml	C	V		I	I						\\	M	0	0	0, 4, 1		0	0
201/2	1.5	68	68	0	0	3/8	4	1		1	V6	dcml	C	V		V6	V		6					M	0	0	5, 2, 1		1	5
102	1.5	69	69	0	0	3/8	4	1		1	I	dcml	C	V		I	I							M	0	0	0, 4, 1		0	0
207/2	1.0	70	70	0	0	3/8	4	1		1	V	dcml	C	V		V	V							M	0	0	1, 5, 2		1	1
209/2	0.5	70	70	1/4	1/4	3/8	4	1		1	V7	dcml	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
105	1.5	71	71	0	0	3/8	4	1		1	I	dcml	C	V		I	I							M	0	0	0, 4, 1		0	0
213/2	1.5	72	72	0	0	3/8	4	1		1	V7	dcml	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
108	1.5	73	73	0	0	3/8	4	1		1	V(64)	dcml	C	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
219/2	1.5	74	74	0	0	3/8	4	1		1	V7	dcml	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
111	1.5	75	75	0	0	3/8	4	1		1	I\\	dcml	C	V		I	I						\\	M	0	0	0, 4, 1		0	0
225/2	1.5	76	76	0	0	3/8	4	1		1	V6	dcml	C	V		V6	V		6					M	0	0	5, 2, 1		1	5
114	1.0	77	77	0	0	3/8	4	1		1	I	dcml	C	V		I	I							M	0	0	0, 4, 1		0	0
115	0.5	77	77	1/4	1/4	3/8	4	1		1	V7	dcml	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
231/2	1.0	78	78	0	0	3/8	4	1		1	I	dcml	C	V		I	I							M	0	0	0, 4, 1		0	0
233/2	0.5	78	78	1/4	1/4	3/8	4	1		1	V7	dcml	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
117	0.5	79	79	0	0	3/8	4	1		1	I	dcml	C	V		I	I							M	0	0	0, 4, 1		0	0
235/2	0.5	79	79	1/8	1/8	3/8	4	1		1	V7	dcml	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
118	0.5	79	79	1/4	1/4	3/8	4	1		1	I	dcml	C	V		I	I							M	0	0	0, 4, 1		0	0
