quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	alt_label	regex_match	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	2.0	1	1	0	0	2/2	4	1		1	Eb.I6		dcml	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
2	5.0	1	1	1/2	1/2	2/2	4	1		1	viio		dcml	Eb	I		viio		vii	o						o	0	0	5, 2, -1		5	5
7	4.0	2	2	3/4	3/4	2/2	4	1		1	I		dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
11	2.0	3	3	3/4	3/4	2/2	4	1		1	I		dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
13	2.0	4	4	1/4	1/4	2/2	4	1		1	ii		dcml	Eb	I		ii		ii							m	0	0	2, -1, 3		2	2
15	1.0	4	4	3/4	3/4	2/2	4	1		1	V		dcml	Eb	I		V		V							M	0	0	1, 5, 2		1	1
16	2.0	5	5	0	0	2/2	4	1		1	I[I		dcml	Eb	I	I	I		I							M	0	0	0, 4, 1		0	0
18	2.0	5	5	1/2	1/2	2/2	4	1		1	V43		dcml	Eb	I	I	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
20	2.0	6	6	0	0	2/2	4	1		1	I		dcml	Eb	I	I	I		I							M	0	0	0, 4, 1		0	0
22	2.0	6	6	1/2	1/2	2/2	4	1		1	V43		dcml	Eb	I	I	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
24	2.0	7	7	0	0	2/2	4	1		1	I		dcml	Eb	I	I	I		I							M	0	0	0, 4, 1		0	0
26	2.0	7	7	1/2	1/2	2/2	4	1		1	V43(+#4)		dcml	Eb	I	I	V43(+#4)		V		43	+#4				Mm7	0	0	2, -1, 1, 5	7	1	2
28	3.0	8	8	0	0	2/2	4	1		1	V43		dcml	Eb	I	I	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
31	1.0	8	8	3/4	3/4	2/2	4	1		1	V43]		dcml	Eb	I	I	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
32	2.0	9	9	0	0	2/2	4	1		1	I6		dcml	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
34	2.0	9	9	1/2	1/2	2/2	4	1		1	V2		dcml	Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
36	2.0	10	10	0	0	2/2	4	1		1	vi43		dcml	Eb	I		vi43		vi		43					mm7	0	0	4, 1, 3, 0		3	4
38	2.0	10	10	1/2	1/2	2/2	4	1		1	viio6		dcml	Eb	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
40	1.0	11	11	0	0	2/2	4	1		1	I		dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
41	1.0	11	11	1/4	1/4	2/2	4	1		1	vi7		dcml	Eb	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
42	1.0	11	11	1/2	1/2	2/2	4	1		1	V65		dcml	Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
43	1.0	11	11	3/4	3/4	2/2	4	1		1	I		dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
44	1.0	12	12	0	0	2/2	4	1		1	I64		dcml	Eb	I		I64		I		64					M	0	0	1, 0, 4		0	1
45	1.0	12	12	1/4	1/4	2/2	4	1		1	V65/V		dcml	Eb	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
46	1.0	12	12	1/2	1/2	2/2	4	1		1	V\\		dcml	Eb	I		V		V						\\	M	0	0	1, 5, 2		1	1
47	1.0	12	12	3/4	3/4	2/2	4	1		1	viio		dcml	Eb	I		viio		vii	o						o	0	0	5, 2, -1		5	5
48	2.0	13	13	0	0	2/2	4	1		1	I[I		dcml	Eb	I	I	I		I							M	0	0	0, 4, 1		0	0
