quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	regex_match	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	2.5	1	1	0	0	2/4	4	1		1	Eb.I	dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
5/2	1.5	2	2	1/8	1/8	2/4	4	1		1	V43	dcml	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	2.5	3	3	0	0	2/4	4	1		1	I	dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
13/2	1.5	4	4	1/8	1/8	2/4	4	1		1	V2	dcml	Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
8	1.0	5	5	0	0	2/4	4	1		1	I6	dcml	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
9	1.0	5	5	1/4	1/4	2/4	4	1		1	vi	dcml	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
10	2.0	6	6	0	0	2/4	4	1		1	IV\\	dcml	Eb	I		IV		IV						\\	M	0	0	-1, 3, 0		-1	-1
12	1.0	7	7	0	0	3/4	4	1		1	IV	dcml	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
13	1.0	7	7	1/4	1/4	3/4	4	1		1	ii6	dcml	Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
14	1.0	7	7	1/2	1/2	3/4	4	1		1	V2	dcml	Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
15	2.0	8	8	0	0	3/4	4	1		1	I6	dcml	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
17	1.0	8	8	1/2	1/2	3/4	4	1		1	vi64	dcml	Eb	I		vi64		vi		64					m	0	0	4, 3, 0		3	4
18	2.0	9	9	0	0	3/4	4	1		1	ii7	dcml	Eb	I		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
20	1.0	9	9	1/2	1/2	3/4	4	1		1	V43	dcml	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
21	1.0	10	10	0	0	3/4	4	1		1	I6(7)	dcml	Eb	I		I6(7)		I		6	7				M	0	0	4, 1, 5		0	4
22	1.0	10	10	1/4	1/4	3/4	4	1		1	I6	dcml	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
23	1.0	10	10	1/2	1/2	3/4	4	1		1	@none	dcml	Eb	I		@none		@none							m	0	0				
24	1.0	11	11	0	0	3/4	4	1		1	IV	dcml	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
25	1.0	11	11	1/4	1/4	3/4	4	1		1	ii6	dcml	Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
26	1.0	11	11	1/2	1/2	3/4	4	1		1	V2	dcml	Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
