quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	4.5	1	1	0	0	6/8	4	1		Db.I6	Db	I		I6		I		6					M	0	0	4, 1, 0		0	4
9/2	3.0	2	2	3/8	3/8	6/8	4	1		I	Db	I		I		I							M	0	0	0, 4, 1		0	0
15/2	1.5	3	3	3/8	3/8	6/8	4	1		V43	Db	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
9	1.5	4	4	0	0	6/8	4	1		I	Db	I		I		I							M	0	0	0, 4, 1		0	0
21/2	1.5	4	4	3/8	3/8	6/8	4	1		V65	Db	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
12	1.5	5	5	0	0	6/8	4	1		I	Db	I		I		I							M	0	0	0, 4, 1		0	0
27/2	1.5	5	5	3/8	3/8	6/8	4	1		V43	Db	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
15	1.5	6	6	0	0	6/8	4	1		I	Db	I		I		I							M	0	0	0, 4, 1		0	0
33/2	0.5	6	6	3/8	3/8	6/8	4	1		V(64)	Db	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
17	0.5	6	6	1/2	1/2	6/8	4	1		V	Db	I		V		V							M	0	0	1, 5, 2		1	1
35/2	0.5	6	6	5/8	5/8	6/8	4	1		ii6	Db	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
18	1.5	7	7	0	0	6/8	4	1		V7/vi	Db	I		V7/vi		V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
39/2	1.5	7	7	3/8	3/8	6/8	4	1		vi	Db	I		vi		vi							m	0	0	3, 0, 4		3	3
21	1.5	8	8	0	0	6/8	4	1		V6/ii	Db	I		V6/ii		V		6		ii			M	0	0	7, 4, 3		3	7
45/2	1.5	8	8	3/8	3/8	6/8	4	1		ii	Db	I		ii		ii							m	0	0	2, -1, 3		2	2
24	1.5	9	9	0	0	6/8	4	1		V65	Db	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
51/2	1.0	9	9	3/8	3/8	6/8	4	1		I	Db	I		I		I							M	0	0	0, 4, 1		0	0
53/2	0.5	9	9	5/8	5/8	6/8	4	1		I6	Db	I		I6		I		6					M	0	0	4, 1, 0		0	4
27	1.0	10	10	0	0	6/8	4	1		V(64)	Db	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
28	0.5	10	10	1/4	1/4	6/8	4	1		V7	Db	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
57/2	1.5	10	10	3/8	3/8	6/8	4	1		I\\	Db	I		I		I						\\	M	0	0	0, 4, 1		0	0
30	1.0	11	11	0	0	6/8	4	1		V(64)	Db	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
31	0.5	11	11	1/4	1/4	6/8	4	1		V7	Db	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
63/2	1.0	11	11	3/8	3/8	6/8	4	1		I\\	Db	I		I		I						\\	M	0	0	0, 4, 1		0	0
65/2	0.5	11	11	5/8	5/8	6/8	4	1		IV6	Db	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
33	1.0	12	12	0	0	6/8	4	1		V(64)	Db	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
34	0.5	12	12	1/4	1/4	6/8	4	1		V7	Db	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
69/2	0.5	12	12	3/8	3/8	6/8	4	1		I\\	Db	I		I		I						\\	M	0	0	0, 4, 1		0	0
35	0.5	12	12	1/2	1/2	6/8	4	1		I(64)	Db	I		I(64)		I			64				M	0	0	0, -1, 3		0	0
71/2	0.5	12	12	5/8	5/8	6/8	4	1		I(94)	Db	I		I(94)		I			94				M	0	0	0, -1, 1	2	0	0
36	1.5	13	13	0	0	6/8	4	1		I	Db	I		I		I							M	0	0	0, 4, 1		0	0
75/2	1.0	13	13	3/8	3/8	6/8	4	1		V43(4)	Db	I		V43(4)		V		43	4				Mm7	0	0	2, -1, 1, 0		1	2
77/2	0.5	13	13	5/8	5/8	6/8	4	1		V43	Db	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
39	1.5	14	14	0	0	6/8	4	1		I	Db	I		I		I							M	0	0	0, 4, 1		0	0
81/2	1.0	14	14	3/8	3/8	6/8	4	1		V65(6)	Db	I		V65(6)		V		65	6				Mm7	0	0	5, 4, -1, 1		1	5
83/2	0.5	14	14	5/8	5/8	6/8	4	1		V65	Db	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
42	1.0	15	15	0	0	6/8	4	1		viio7	Db	I		viio7		vii	o	7					o7	0	0	5, 2, -1, -4		5	5
43	1.5	15	15	1/4	1/4	6/8	4	1		I	Db	I		I		I							M	0	0	0, 4, 1		0	0
