quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	4.0	1	1	0	0	2/4	4	1		G.I	G	I		I		I							M	0	0	0, 4, 1		0	0
4	4.0	3	3	0	0	2/4	4	1		V7	G	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	2.0	5	5	0	0	2/4	4	1		I	G	I		I		I							M	0	0	0, 4, 1		0	0
10	2.0	6	6	0	0	2/4	4	1		V.ii	G	V		ii		ii							m	0	0	2, -1, 3		2	2
12	1.0	7	7	0	0	2/4	4	1		V(64)	G	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
13	1.0	7	7	1/4	1/4	2/4	4	1		V7	G	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
14	2.0	8	8	0	0	2/4	4	1		I\\	G	V		I		I						\\	M	0	0	0, 4, 1		0	0
16	4.0	9	9	0	0	2/4	4	1		I.V7	G	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
20	2.0	11	11	0	0	2/4	4	1		I	G	I		I		I							M	0	0	0, 4, 1		0	0
22	2.0	12	12	0	0	2/4	4	1		I6	G	I		I6		I		6					M	0	0	4, 1, 0		0	4
24	4.0	13	13	0	0	2/4	4	1		V7/vi	G	I		V7/vi		V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
28	1.0	15	15	0	0	2/4	4	1		vi	G	I		vi		vi							m	0	0	3, 0, 4		3	3
29	1.0	15	15	1/4	1/4	2/4	4	1		V7/vi	G	I		V7/vi		V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
30	2.0	16	16	0	0	2/4	4	1		vi	G	I		vi		vi							m	0	0	3, 0, 4		3	3
32	2.0	17	17	0	0	2/4	4	1		V7/IV	G	I		V7/IV		V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
34	2.0	18	18	0	0	2/4	4	1		IV	G	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
36	2.5	19	19	0	0	2/4	4	1		V7	G	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
77/2	0.5	20	20	1/8	1/8	2/4	4	1		V2	G	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
39	0.5	20	20	1/4	1/4	2/4	4	1		I6	G	I		I6		I		6					M	0	0	4, 1, 0		0	4
79/2	0.5	20	20	3/8	3/8	2/4	4	1		V43	G	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
40	4.0	21	21	0	0	2/4	4	1		I	G	I		I		I							M	0	0	0, 4, 1		0	0
44	2.0	23	23	0	0	2/4	4	1		V43	G	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
46	2.0	24	24	0	0	2/4	4	1		V43	G	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
48	2.0	25	25	0	0	2/4	4	1		V	G	I		V		V							M	0	0	1, 5, 2		1	1
50	2.0	26	26	0	0	2/4	4	1		V7	G	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
52	0.5	27	27	0	0	2/4	4	1		I6	G	I		I6		I		6					M	0	0	4, 1, 0		0	4
105/2	0.5	27	27	1/8	1/8	2/4	4	1		vi	G	I		vi		vi							m	0	0	3, 0, 4		3	3
53	0.5	27	27	1/4	1/4	2/4	4	1		ii6	G	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
107/2	0.5	27	27	3/8	3/8	2/4	4	1		V	G	I		V		V							M	0	0	1, 5, 2		1	1
54	2.0	28	28	0	0	2/4	4	1		I\\	G	I		I		I						\\	M	0	0	0, 4, 1		0	0
56	2.0	29	29	0	0	2/4	4	1		V65	G	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
58	0.5	30	30	0	0	2/4	4	1		I	G	I		I		I							M	0	0	0, 4, 1		0	0
117/2	0.5	30	30	1/8	1/8	2/4	4	1		V2/IV	G	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
59	0.5	30	30	1/4	1/4	2/4	4	1		IV6	G	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
119/2	0.5	30	30	3/8	3/8	2/4	4	1		viio	G	I		viio		vii	o						o	0	0	5, 2, -1		5	5
60	0.5	31	31	0	0	2/4	4	1		I	G	I		I		I							M	0	0	0, 4, 1		0	0
121/2	0.5	31	31	1/8	1/8	2/4	4	1		vi	G	I		vi		vi							m	0	0	3, 0, 4		3	3
61	0.5	31	31	1/4	1/4	2/4	4	1		ii6	G	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
123/2	0.5	31	31	3/8	3/8	2/4	4	1		V	G	I		V		V							M	0	0	1, 5, 2		1	1
62	2.0	32	32	0	0	2/4	4	1		I\\	G	I		I		I						\\	M	0	0	0, 4, 1		0	0
64	2.0	33	33	0	0	2/4	4	1		V65	G	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
66	2.0	34	34	0	0	2/4	4	1		I	G	I		I		I							M	0	0	0, 4, 1		0	0
68	1.75	35	35	0	0	2/4	4	1		vi	G	I		vi		vi							m	0	0	3, 0, 4		3	3
279/4	0.25	35	35	7/16	7/16	2/4	4	1		viio6/V	G	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
70	4.0	36	36	0	0	2/4	4	1		V	G	I		V		V							M	0	0	1, 5, 2		1	1
74	2.0	38	38	0	0	2/4	4	1		v.i	G	v		i		i							m	0	1	0, -3, 1		0	0
76	2.0	39	39	0	0	2/4	4	1		i6	G	v		i6		i		6					m	0	1	-3, 1, 0		0	-3
78	2.0	40	40	0	0	2/4	4	1		V65	G	v		V65		V		65					Mm7	0	1	5, 2, -1, 1		1	5
80	2.0	41	41	0	0	2/4	4	1		V2	G	v		V2		V		2					Mm7	0	1	-1, 1, 5, 2		1	-1
82	2.0	42	42	0	0	2/4	4	1		V	G	v		V		V							M	0	1	1, 5, 2		1	1
84	2.0	43	43	0	0	2/4	4	1		V2	G	v		V2		V		2					Mm7	0	1	-1, 1, 5, 2		1	-1
86	2.0	44	44	0	0	2/4	4	1		i	G	v		i		i							m	0	1	0, -3, 1		0	0
88	2.0	45	45	0	0	2/4	4	1		i64	G	v		i64		i		64					m	0	1	1, 0, -3		0	1
90	4.0	46	46	0	0	2/4	4	1		VI	G	v		VI		VI							M	0	1	-4, 0, -3		-4	-4
94	4.0	48	48	0	0	2/4	4	1		viio7/V	G	v		viio7/V		vii	o	7		V			o7	0	1	6, 3, 0, -3		6	6
98	2.0	50	50	0	0	2/4	4	1		V[V	G	v	V	V		V							M	0	1	1, 5, 2		1	1
100	1.0	51	51	0	0	2/4	4	1		viio64(^2)/V	G	v	V	viio64(^2)/V		vii	o	64	^2	V			o	0	1	0, 6, 1		6	0
101	1.0	51	51	1/4	1/4	2/4	4	1		viio64/V	G	v	V	viio64/V		vii	o	64		V			o	0	1	0, 6, 3		6	0
102	1.0	52	52	0	0	2/4	4	1		V7(^2)	G	v	V	V7(^2)		V		7	^2				Mm7	0	1	1, -4, 2, -1		1	1
103	1.0	52	52	1/4	1/4	2/4	4	1		V7	G	v	V	V7		V		7					Mm7	0	1	1, 5, 2, -1		1	1
104	1.0	53	53	0	0	2/4	4	1		i64(#7)	G	v	V	i64(#7)		i		64	#7				m	0	1	1, 5, -3		0	1
105	1.0	53	53	1/4	1/4	2/4	4	1		i64	G	v	V	i64		i		64					m	0	1	1, 0, -3		0	1
106	2.0	54	54	0	0	2/4	4	1		V7(4)]	G	v	V	V7(4)		V		7	4				Mm7	0	1	1, 0, 2, -1		1	1
108	2.0	55	55	0	0	2/4	4	1		V7	G	v		V7		V		7					Mm7	0	1	1, 5, 2, -1		1	1
110	4.0	56	56	0	0	2/4	4	1		V.I	G	V		I		I							M	0	0	0, 4, 1		0	0
114	1.0	58	58	0	0	2/4	4	1		ii6	G	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
115	1.0	58	58	1/4	1/4	2/4	4	1		vii%7/V	G	V		vii%7/V		vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
116	2.0	59	59	0	0	2/4	4	1		V\\	G	V		V		V						\\	M	0	0	1, 5, 2		1	1
118	0.5	60	60	0	0	2/4	4	1		I	G	V		I		I							M	0	0	0, 4, 1		0	0
237/2	0.5	60	60	1/8	1/8	2/4	4	1		I6	G	V		I6		I		6					M	0	0	4, 1, 0		0	4
119	0.5	60	60	1/4	1/4	2/4	4	1		I64	G	V		I64		I		64					M	0	0	1, 0, 4		0	1
239/2	0.5	60	60	3/8	3/8	2/4	4	1		V6	G	V		V6		V		6					M	0	0	5, 2, 1		1	5
120	0.5	61	61	0	0	2/4	4	1		I	G	V		I		I							M	0	0	0, 4, 1		0	0
241/2	0.5	61	61	1/8	1/8	2/4	4	1		V6	G	V		V6		V		6					M	0	0	5, 2, 1		1	5
121	0.5	61	61	1/4	1/4	2/4	4	1		I	G	V		I		I							M	0	0	0, 4, 1		0	0
243/2	0.5	61	61	3/8	3/8	2/4	4	1		IV6	G	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
122	0.5	62	62	0	0	2/4	4	1		IV	G	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
245/2	0.5	62	62	1/8	1/8	2/4	4	1		vi	G	V		vi		vi							m	0	0	3, 0, 4		3	3
123	1.0	62	62	1/4	1/4	2/4	4	1		V7	G	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
124	2.0	63	63	0	0	2/4	4	1		I\\	G	V		I		I						\\	M	0	0	0, 4, 1		0	0
126	4.0	64	64	0	0	2/4	4	1		I	G	V		I		I							M	0	0	0, 4, 1		0	0
130	4.0	66	66	0	0	2/4	4	1		viio6	G	V		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
134	4.0	68	68	0	0	2/4	4	1		I6	G	V		I6		I		6					M	0	0	4, 1, 0		0	4
138	4.0	70	70	0	0	2/4	4	1		IV	G	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
