quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	0.5	1	0	0	3/8	2/4	4	1		D.I	D	I		I		I							M	0	0	0, 4, 1		0	0
1/2	2.0	2	1	0	0	2/4	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
5/2	4.0	3	2	0	0	2/4	4	1		V	D	I		V		V							M	0	0	1, 5, 2		1	1
13/2	4.0	5	4	0	0	2/4	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
21/2	2.0	7	6	0	0	2/4	4	1		V	D	I		V		V							M	0	0	1, 5, 2		1	1
25/2	1.0	8	7	0	0	2/4	4	1		V.V(64)	D	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
27/2	1.0	8	7	1/4	1/4	2/4	4	1		V7	D	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
29/2	1.0	9	8	0	0	2/4	4	1		I(742)	D	V		I(742)		I			742				M	0	0	2, -1, 1	5	0	2
31/2	1.0	9	8	1/4	1/4	2/4	4	1		I\\	D	V		I		I						\\	M	0	0	0, 4, 1		0	0
33/2	1.0	11	9	0	0	2/4	4	1		I.I	D	I		I		I							M	0	0	0, 4, 1		0	0
35/2	2.0	11	9	1/4	1/4	2/4	4	1		IV	D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
39/2	2.5	12	10	1/4	1/4	2/4	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
22	0.5	13	11	3/8	3/8	2/4	4	1		V2/IV	D	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
45/2	0.5	14	12	0	0	2/4	4	1		IV6	D	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
23	0.5	14	12	1/8	1/8	2/4	4	1		IV	D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
47/2	1.0	14	12	1/4	1/4	2/4	4	1		I\\	D	I		I		I						\\	M	0	0	0, 4, 1		0	0
49/2	2.0	15	13	0	0	2/4	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
53/2	2.0	16	14	0	0	2/4	4	1		V	D	I		V		V							M	0	0	1, 5, 2		1	1
57/2	1.5	17	15	0	0	2/4	4	1		V	D	I		V		V							M	0	0	1, 5, 2		1	1
30	0.5	17	15	3/8	3/8	2/4	4	1		V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
61/2	1.0	18	16	0	0	2/4	4	1		I(742)	D	I		I(742)		I			742				M	0	0	2, -1, 1	5	0	2
63/2	1.0	18	16	1/4	1/4	2/4	4	1		I\\	D	I		I		I						\\	M	0	0	0, 4, 1		0	0
65/2	2.0	20	17	0	0	2/4	4	1		I6	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
69/2	2.0	21	18	0	0	2/4	4	1		V6	D	I		V6		V		6					M	0	0	5, 2, 1		1	5
73/2	2.0	22	19	0	0	2/4	4	1		V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
77/2	1.0	23	20	0	0	2/4	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
79/2	1.0	23	20	1/4	1/4	2/4	4	1		I6	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
81/2	1.0	24	21	0	0	2/4	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
83/2	0.5	24	21	1/4	1/4	2/4	4	1		V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
42	0.5	24	21	3/8	3/8	2/4	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
85/2	1.0	25	22	0	0	2/4	4	1		V.I6	D	V		I6		I		6					M	0	0	4, 1, 0		0	4
87/2	0.5	25	22	1/4	1/4	2/4	4	1		V	D	V		V		V							M	0	0	1, 5, 2		1	1
44	0.5	25	22	3/8	3/8	2/4	4	1		viio65/V	D	V		viio65/V		vii	o	65		V			o7	0	0	3, 0, -3, 6		6	3
89/2	1.0	26	23	0	0	2/4	4	1		V(64)	D	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
