quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	1.0	1	1	0	0	3/4	4	1		f.viio7/V	f	i		viio7/V	vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
1	1.0	1	1	1/4	1/4	3/4	4	1		i64	f	i		i64	i		64					m	1	1	1, 0, -3		0	1
2	5.0	1	1	1/2	1/2	3/4	4	1		viio65/V	f	i		viio65/V	vii	o	65		V			o7	1	1	3, 0, -3, 6		6	3
7	1.0	3	3	1/4	1/4	3/4	4	1		v6	f	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
8	5.0	3	3	1/2	1/2	3/4	4	1		viio43/V	f	i		viio43/V	vii	o	43		V			o7	1	1	0, -3, 6, 3		6	0
13	2.0	5	5	1/4	1/4	3/4	4	1		v.V65	f	v		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
15	1.0	6	6	0	0	3/4	4	1		i	f	v		i	i							m	1	1	0, -3, 1		0	0
16	1.5	6	6	1/4	1/4	3/4	4	1		i(9)	f	v		i(9)	i			9				m	1	1	0, -3, 1	2	0	0
35/2	0.5	6	6	5/8	5/8	3/4	4	1		i	f	v		i	i							m	1	1	0, -3, 1		0	0
18	0.75	7	7	0	0	3/4	4	1		iv(4)	f	v		iv(4)	iv			4				m	1	1	-1, -2, 0		-1	-1
75/4	0.25	7	7	3/16	3/16	3/4	4	1		iv	f	v		iv	iv							m	1	1	-1, -4, 0		-1	-1
19	0.75	7	7	1/4	1/4	3/4	4	1		iv(9)	f	v		iv(9)	iv			9				m	1	1	-1, -4, 0	1	-1	-1
79/4	0.25	7	7	7/16	7/16	3/4	4	1		iv	f	v		iv	iv							m	1	1	-1, -4, 0		-1	-1
20	0.5	7	7	1/2	1/2	3/4	4	1		V(6)	f	v		V(6)	V			6				M	1	1	1, 5, -3		1	1
41/2	0.5	7	7	5/8	5/8	3/4	4	1		V	f	v		V	V							M	1	1	1, 5, 2		1	1
21	3.0	8	8	0	0	3/4	4	1		i2	f	v		i2	i		2					mm7	1	1	-2, 0, -3, 1		0	-2
24	1.0	9	9	0	0	3/4	4	1		i.V	f	i		V	V							M	1	1	1, 5, 2		1	1
25	1.0	9	9	1/4	1/4	3/4	4	1		i6	f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
26	2.0	9	9	1/2	1/2	3/4	4	1		iio6	f	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
28	1.0	10	10	1/4	1/4	3/4	4	1		i6	f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
29	1.0	10	10	1/2	1/2	3/4	4	1		V64	f	i		V64	V		64					M	1	1	2, 1, 5		1	2
30	1.0	11	11	0	0	3/4	4	1		V6	f	i		V6	V		6					M	1	1	5, 2, 1		1	5
31	1.0	11	11	1/4	1/4	3/4	4	1		i	f	i		i	i							m	1	1	0, -3, 1		0	0
32	2.0	11	11	1/2	1/2	3/4	4	1		iio	f	i		iio	ii	o						o	1	1	2, -1, -4		2	2
34	1.0	12	12	1/4	1/4	3/4	4	1		i6	f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
35	2.0	12	12	1/2	1/2	3/4	4	1		iio	f	i		iio	ii	o						o	1	1	2, -1, -4		2	2
37	1.5	13	13	1/4	1/4	3/4	4	1		V6	f	i		V6	V		6					M	1	1	5, 2, 1		1	5
77/2	0.5	13	13	5/8	5/8	3/4	4	1		V65	f	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
39	1.0	14	14	0	0	3/4	4	1		i6	f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
40	1.5	14	14	1/4	1/4	3/4	4	1		i(9)	f	i		i(9)	i			9				m	1	1	0, -3, 1	2	0	0
83/2	0.5	14	14	5/8	5/8	3/4	4	1		i	f	i		i	i							m	1	1	0, -3, 1		0	0
42	0.5	15	15	0	0	3/4	4	1		iv(4)	f	i		iv(4)	iv			4				m	1	1	-1, -2, 0		-1	-1
85/2	0.5	15	15	1/8	1/8	3/4	4	1		iv	f	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
43	0.5	15	15	1/4	1/4	3/4	4	1		iv(9)	f	i		iv(9)	iv			9				m	1	1	-1, -4, 0	1	-1	-1
87/2	0.5	15	15	3/8	3/8	3/4	4	1		iv	f	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
44	0.5	15	15	1/2	1/2	3/4	4	1		V(6)	f	i		V(6)	V			6				M	1	1	1, 5, -3		1	1
89/2	0.5	15	15	5/8	5/8	3/4	4	1		V	f	i		V	V							M	1	1	1, 5, 2		1	1
45	0.75	16	16	0	0	3/4	4	1		VI(2)	f	i		VI(2)	VI			2				M	1	1	-2, 0, -3		-4	-2
183/4	0.25	16	16	3/16	3/16	3/4	4	1		VI	f	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
46	0.75	16	16	1/4	1/4	3/4	4	1		i64	f	i		i64	i		64					m	1	1	1, 0, -3		0	1
187/4	0.25	16	16	7/16	7/16	3/4	4	1		V2	f	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
47	0.75	16	16	1/2	1/2	3/4	4	1		i6	f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
191/4	0.25	16	16	11/16	11/16	3/4	4	1		V43	f	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
48	1.0	17	17	0	0	3/4	4	1		i[i64	f	i	i	i64	i		64					m	1	1	1, 0, -3		0	1
49	1.5	17	17	1/4	1/4	3/4	4	1		V7	f	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
101/2	0.5	17	17	5/8	5/8	3/4	4	1		i64	f	i	i	i64	i		64					m	1	1	1, 0, -3		0	1
51	1.0	18	18	0	0	3/4	4	1		#vi%2	f	i	i	#vi%2	#vi	%	2					%7	1	1	1, 3, 0, -3		3	1
52	1.0	18	18	1/4	1/4	3/4	4	1		V7	f	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
53	1.0	18	18	1/2	1/2	3/4	4	1		i64]	f	i	i	i64	i		64					m	1	1	1, 0, -3		0	1
54	1.0	19	19	0	0	3/4	4	1		#viio43	f	i		#viio43	#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
55	0.75	19	19	1/4	1/4	3/4	4	1		i6(9#7)	f	i		i6(9#7)	i		6	9#7				m	1	1	-3, 1, 5	2	0	-3
223/4	0.75	19	19	7/16	7/16	3/4	4	1		i6	f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
113/2	1.5	19	19	5/8	5/8	3/4	4	1		iio	f	i		iio	ii	o						o	1	1	2, -1, -4		2	2
58	0.75	20	20	1/4	1/4	3/4	4	1		i(94)	f	i		i(94)	i			94				m	1	1	0, -1, 1	2	0	0
235/4	0.75	20	20	7/16	7/16	3/4	4	1		i	f	i		i	i							m	1	1	0, -3, 1		0	0
119/2	1.5	20	20	5/8	5/8	3/4	4	1		#viio7	f	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
61	1.0	21	21	1/4	1/4	3/4	4	1		i(#72)	f	i		i(#72)	i			#72				m	1	1	2, -3, 1	5	0	2
62	0.5	21	21	1/2	1/2	3/4	4	1		i	f	i		i	i							m	1	1	0, -3, 1		0	0
125/2	1.5	21	21	5/8	5/8	3/4	4	1		iio	f	i		iio	ii	o						o	1	1	2, -1, -4		2	2
64	1.0	22	22	1/4	1/4	3/4	4	1		i(42)	f	i		i(42)	i			42				m	1	1	2, -1, 1		0	2
65	0.5	22	22	1/2	1/2	3/4	4	1		i6	f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
131/2	0.5	22	22	5/8	5/8	3/4	4	1		#viio43	f	i		#viio43	#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
66	1.0	23	23	0	0	3/4	4	1		i6	f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
67	0.75	23	23	1/4	1/4	3/4	4	1		iio(72)	f	i		iio(72)	ii	o		72				o	1	1	-3, -1, -4	0	2	-3
271/4	0.75	23	23	7/16	7/16	3/4	4	1		iio	f	i		iio	ii	o						o	1	1	2, -1, -4		2	2
137/2	0.5	23	23	5/8	5/8	3/4	4	1		i	f	i		i	i							m	1	1	0, -3, 1		0	0
69	0.75	24	24	0	0	3/4	4	1		i6	f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
279/4	0.25	24	24	3/16	3/16	3/4	4	1		#vi%43	f	i		#vi%43	#vi	%	43					%7	1	1	-3, 1, 3, 0		3	-3
70	0.75	24	24	1/4	1/4	3/4	4	1		V43(9)	f	i		V43(9)	V		43	9				Mm7	1	1	2, -1, 1, 5	-4	1	2
283/4	0.75	24	24	7/16	7/16	3/4	4	1		V43	f	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
143/2	0.5	24	24	5/8	5/8	3/4	4	1		i	f	i		i	i							m	1	1	0, -3, 1		0	0
72	3.0	25	25	0	0	3/4	4	1		VI	f	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
75	3.0	26	26	0	0	3/4	4	1		bII	f	i		bII	bII							M	1	1	-5, -1, -4		-5	-5
78	0.75	27	27	0	0	3/4	4	1		#viio	f	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
315/4	0.25	27	27	3/16	3/16	3/4	4	1		V7	f	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
79	1.0	27	27	1/4	1/4	3/4	4	1		i	f	i		i	i							m	1	1	0, -3, 1		0	0
80	0.75	27	27	1/2	1/2	3/4	4	1		VI	f	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
323/4	0.25	27	27	11/16	11/16	3/4	4	1		V	f	i		V	V							M	1	1	1, 5, 2		1	1
81	0.75	28	28	0	0	3/4	4	1		viio/V	f	i		viio/V	vii	o			V			o	1	1	6, 3, 0		6	6
327/4	3.25	28	28	3/16	3/16	3/4	4	1		V	f	i		V	V							M	1	1	1, 5, 2		1	1
85	1.5	29	29	1/4	1/4	3/4	4	1		V[#viio6	f	i	V	#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
173/2	1.5	29	29	5/8	5/8	3/4	4	1		i	f	i	V	i	i							m	1	1	0, -3, 1		0	0
88	1.5	30	30	1/4	1/4	3/4	4	1		#viio64	f	i	V	#viio64	#vii	o	64					o	1	1	-1, 5, 2		5	-1
179/2	0.5	30	30	5/8	5/8	3/4	4	1		i6]	f	i	V	i6	i		6					m	1	1	-3, 1, 0		0	-3
90	3.0	31	31	0	0	3/4	4	1		iv	f	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
93	1.0	32	32	0	0	3/4	4	1		#viio65	f	i		#viio65	#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
94	2.0	32	32	1/4	1/4	3/4	4	1		i	f	i		i	i							m	1	1	0, -3, 1		0	0
96	1.0	33	33	0	0	3/4	4	1		i	f	i		i	i							m	1	1	0, -3, 1		0	0
97	1.0	33	33	1/4	1/4	3/4	4	1		VI	f	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
