quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	6.0	1	1	0	0	3/8	4	1		Bb.I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
6	1.5	5	5	0	0	3/8	4	1		V	Bb	I		V	V							M	0	0	1, 5, 2		1	1
15/2	1.5	6	6	0	0	3/8	4	1		I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
9	1.5	7	7	0	0	3/8	4	1		V7/V	Bb	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
21/2	1.5	8	8	0	0	3/8	4	1		V\\	Bb	I		V	V						\\	M	0	0	1, 5, 2		1	1
12	6.0	9	9	0	0	3/8	4	1		bVII.I	Bb	bVII		I	I							M	0	0	0, 4, 1		0	0
18	1.5	13	13	0	0	3/8	4	1		V	Bb	bVII		V	V							M	0	0	1, 5, 2		1	1
39/2	1.5	14	14	0	0	3/8	4	1		I	Bb	bVII		I	I							M	0	0	0, 4, 1		0	0
21	1.5	15	15	0	0	3/8	4	1		V7/V	Bb	bVII		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
45/2	1.5	16	16	0	0	3/8	4	1		V\\	Bb	bVII		V	V						\\	M	0	0	1, 5, 2		1	1
24	6.0	17	17	0	0	3/8	4	1		bII.I	Bb	bII		I	I							M	0	0	0, 4, 1		0	0
30	3.0	21	21	0	0	3/8	4	1		I.V43	Bb	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
33	0.5	23	23	0	0	3/8	4	1		I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
67/2	0.5	23	23	1/8	1/8	3/8	4	1		V7	Bb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
34	0.5	23	23	1/4	1/4	3/8	4	1		vi	Bb	I		vi	vi							m	0	0	3, 0, 4		3	3
69/2	0.5	24	24	0	0	3/8	4	1		ii6	Bb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
35	0.5	24	24	1/8	1/8	3/8	4	1		V(64)	Bb	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
71/2	0.5	24	24	1/4	1/4	3/8	4	1		V2	Bb	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
36	0.5	25	25	0	0	3/8	4	1		I6	Bb	I		I6	I		6					M	0	0	4, 1, 0		0	4
73/2	0.5	25	25	1/8	1/8	3/8	4	1		viio6	Bb	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
37	0.5	25	25	1/4	1/4	3/8	4	1		I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
75/2	0.5	26	26	0	0	3/8	4	1		ii6	Bb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
38	0.5	26	26	1/8	1/8	3/8	4	1		V(64)	Bb	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
77/2	0.5	26	26	1/4	1/4	3/8	4	1		viio64	Bb	I		viio64	vii	o	64					o	0	0	-1, 5, 2		5	-1
39	0.5	27	27	0	0	3/8	4	1		I6	Bb	I		I6	I		6					M	0	0	4, 1, 0		0	4
79/2	1.5	27	27	1/8	1/8	3/8	4	1		ii6	Bb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
41	1.0	28	28	1/8	1/8	3/8	4	1		V7	Bb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
42	0.5	29	29	0	0	3/8	4	1		I\\	Bb	I		I	I						\\	M	0	0	0, 4, 1		0	0
85/2	5.5	29	29	1/8	1/8	3/8	4	1		I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
48	3.0	33	33	0	0	3/8	4	1		V43/vi	Bb	I		V43/vi	V		43		vi			Mm7	0	0	5, 2, 4, 8		4	5
51	1.5	35	35	0	0	3/8	4	1		vi	Bb	I		vi	vi							m	0	0	3, 0, 4		3	3
105/2	3.0	36	36	0	0	3/8	4	1		viio43/iii	Bb	I		viio43/iii	vii	o	43		iii			o7	0	0	-4, -7, 2, -1		2	-4
111/2	1.5	38	38	0	0	3/8	4	1		V/iii	Bb	I		V/iii	V				iii			M	0	0	5, 9, 6		5	5
57	1.5	39	39	0	0	3/8	4	1		iii.i	Bb	iii		i	i							m	0	1	0, -3, 1		0	0
117/2	1.5	40	40	0	0	3/8	4	1		V43	Bb	iii		V43	V		43					Mm7	0	1	2, -1, 1, 5		1	2
60	1.5	41	41	0	0	3/8	4	1		i6	Bb	iii		i6	i		6					m	0	1	-3, 1, 0		0	-3
123/2	1.0	42	42	0	0	3/8	4	1		iio6	Bb	iii		iio6	ii	o	6					o	0	1	-1, -4, 2		2	-1
125/2	0.5	42	42	1/4	1/4	3/8	4	1		V6/V	Bb	iii		V6/V	V		6		V			M	0	1	6, 3, 2		2	6
63	0.25	43	43	0	0	3/8	4	1		V(4)	Bb	iii		V(4)	V			4				M	0	1	1, 0, 2		1	1
253/4	1.0	43	43	1/16	1/16	3/8	4	1		V	Bb	iii		V	V							M	0	1	1, 5, 2		1	1
257/4	0.25	43	43	5/16	5/16	3/8	4	1		VI6	Bb	iii		VI6	VI		6					M	0	1	0, -3, -4		-4	0
129/2	1.25	44	44	0	0	3/8	4	1		V6	Bb	iii		V6	V		6					M	0	1	5, 2, 1		1	5
263/4	0.25	44	44	5/16	5/16	3/8	4	1		iv6	Bb	iii		iv6	iv		6					m	0	1	-4, 0, -1		-1	-4
66	1.5	45	45	0	0	3/8	4	1		V	Bb	iii		V	V							M	0	1	1, 5, 2		1	1
135/2	1.0	46	46	0	0	3/8	4	1		i	Bb	iii		i	i							m	0	1	0, -3, 1		0	0
137/2	0.5	46	46	1/4	1/4	3/8	4	1		viio6/VII	Bb	iii		viio6/VII	vii	o	6		VII			o	0	1	0, -3, 3		3	0
69	1.5	47	47	0	0	3/8	4	1		V7/III	Bb	iii		V7/III	V		7		III			Mm7	0	1	-2, 2, -1, -4		-2	-2
141/2	1.0	48	48	0	0	3/8	4	1		III	Bb	iii		III	III							M	0	1	-3, 1, -2		-3	-3
143/2	0.25	48	48	1/4	1/4	3/8	4	1		i6	Bb	iii		i6	i		6					m	0	1	-3, 1, 0		0	-3
287/4	0.25	48	48	5/16	5/16	3/8	4	1		iv	Bb	iii		iv	iv							m	0	1	-1, -4, 0		-1	-1
72	1.5	49	49	0	0	3/8	4	1		V\\	Bb	iii		V	V						\\	M	0	1	1, 5, 2		1	1
