quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	regex_match	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	2.0	1	1	0	0	3/2	4	1		1	f.#viio6	dcml	f	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
2	4.0	1	1	1/2	1/2	3/2	4	1		1	i6	dcml	f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
6	3.0	2	2	0	0	3/2	4	1		1	i64	dcml	f	i		i64	i		64					m	1	1	1, 0, -3		0	1
9	0.5	2	2	3/4	3/4	3/2	4	1		1	i6	dcml	f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
19/2	0.5	2	2	7/8	7/8	3/2	4	1		1	#viio6	dcml	f	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
10	2.0	2	2	1	1	3/2	4	1		1	i	dcml	f	i		i	i							m	1	1	0, -3, 1		0	0
12	2.0	3	3	0	0	3/2	4	1		1	i64	dcml	f	i		i64	i		64					m	1	1	1, 0, -3		0	1
14	4.0	3	3	1/2	1/2	3/2	4	1		1	iv6	dcml	f	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
18	4.0	4	4	0	0	3/2	4	1		1	iv64	dcml	f	i		iv64	iv		64					m	1	1	0, -1, -4		-1	0
22	8.0	4	4	1	1	3/2	4	1		1	IV2	dcml	f	i		IV2	IV		2					Mm7	1	1	-3, -1, 3, 0		-1	-3
30	6.0	6	6	0	0	3/2	4	1		1	#viio43	dcml	f	i		#viio43	#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
36	2.0	7	7	0	0	3/2	4	1		1	#viio2	dcml	f	i		#viio2	#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4
38	4.0	7	7	1/2	1/2	3/2	4	1		1	#viio7	dcml	f	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
42	2.0	8	8	0	0	3/2	4	1		1	V6	dcml	f	i		V6	V		6					M	1	1	5, 2, 1		1	5
44	6.0	8	8	1/2	1/2	3/2	4	1		1	i	dcml	f	i		i	i							m	1	1	0, -3, 1		0	0
50	4.0	9	9	1/2	1/2	3/2	4	1		1	#viio65	dcml	f	i		#viio65	#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
54	2.0	10	10	0	0	3/2	4	1		1	V	dcml	f	i		V	V							M	1	1	1, 5, 2		1	1
56	4.0	10	10	1/2	1/2	3/2	4	1		1	V65(+2)	dcml	f	i		V65(+2)	V		65	+2				Mm7	1	1	5, 2, -1, 1	-4	1	5
60	2.0	11	11	0	0	3/2	4	1		1	V	dcml	f	i		V	V							M	1	1	1, 5, 2		1	1
62	4.0	11	11	1/2	1/2	3/2	4	1		1	V65(+2)	dcml	f	i		V65(+2)	V		65	+2				Mm7	1	1	5, 2, -1, 1	-4	1	5
66	6.0	12	12	0	0	3/2	4	1		1	V	dcml	f	i		V	V							M	1	1	1, 5, 2		1	1
72	2.0	13	13	0	0	4/4	4	1		1	V	dcml	f	i		V	V							M	1	1	1, 5, 2		1	1
74	2.0	13	13	1/2	1/2	4/4	4	1		1	V6	dcml	f	i		V6	V		6					M	1	1	5, 2, 1		1	5
