quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	1.0	1	0	0	1/2	6/8	4	1		D.I	D	I		I		I							M	0	0	0, 4, 1		0	0
1	3.5	2	1	0	0	6/8	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
9/2	2.5	3	2	1/8	1/8	6/8	4	1		ii	D	I		ii		ii							m	0	0	2, -1, 3		2	2
7	3.0	4	3	0	0	6/8	4	1		V	D	I		V		V							M	0	0	1, 5, 2		1	1
10	2.0	5	4	0	0	6/8	4	1		V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	4.0	5	4	1/2	1/2	6/8	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
16	3.0	7	6	0	0	6/8	4	1		ii	D	I		ii		ii							m	0	0	2, -1, 3		2	2
19	3.0	8	7	0	0	6/8	4	1		V	D	I		V		V							M	0	0	1, 5, 2		1	1
22	4.5	9	8	0	0	6/8	4	1		V7(+9)	D	I		V7(+9)		V		7	+9				Mm7	0	0	1, 5, 2, -1	3	1	1
53/2	3.0	10	9	3/8	3/8	6/8	4	1		#viio7/ii	D	I		#viio7/ii		#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7
59/2	0.5	11	10	3/8	3/8	6/8	4	1		ii	D	I		ii		ii							m	0	0	2, -1, 3		2	2
30	2.5	11	10	1/2	1/2	6/8	4	1		v	D	I		v		v							m	0	0	1, -2, 2		1	1
65/2	1.5	12	11	3/8	3/8	6/8	4	1		bVII6	D	I		bVII6		bVII		6					M	0	0	2, -1, -2		-2	2
34	1.5	13	12	0	0	6/8	4	1		vii%7/IV	D	I		vii%7/IV		vii	%	7		IV			%7	0	0	4, 1, -2, 2		4	4
71/2	0.5	13	12	3/8	3/8	6/8	4	1		IV	D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
36	2.5	13	12	1/2	1/2	6/8	4	1		ii6	D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
77/2	1.5	14	13	3/8	3/8	6/8	4	1		IV6	D	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
40	1.5	15	14	0	0	6/8	4	1		vii%7	D	I		vii%7		vii	%	7					%7	0	0	5, 2, -1, 3		5	5
83/2	1.5	15	14	3/8	3/8	6/8	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
43	1.0	16	15	0	0	6/8	4	1		IV(#72)	D	I		IV(#72)		IV			#72				M	0	0	1, 3, 0	11	-1	1
44	0.5	16	15	1/4	1/4	6/8	4	1		ii	D	I		ii		ii							m	0	0	2, -1, 3		2	2
89/2	1.5	16	15	3/8	3/8	6/8	4	1		V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
46	1.5	17	16	0	0	6/8	4	1		I(+#74+2)	D	I		I(+#74+2)		I			+#74+2				M	0	0	0, -1, 1	12, 2	0	0
