quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	alt_label	regex_match	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	1.0	1	1	0	0	3/4	4	1		1	Eb.I		dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
1	1.0	1	1	1/4	1/4	3/4	4	1		1	V		dcml	Eb	I		V		V							M	0	0	1, 5, 2		1	1
2	1.0	1	1	1/2	1/2	3/4	4	1		1	I		dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
3	3.0	2	2	0	0	3/4	4	1		1	V		dcml	Eb	I		V		V							M	0	0	1, 5, 2		1	1
6	3.0	3	3	0	0	3/4	4	1		1	I6/V		dcml	Eb	I		I6/V		I		6		V			M	0	0	5, 2, 1		1	5
9	3.0	4	4	0	0	3/4	4	1		1	I64/V		dcml	Eb	I		I64/V		I		64		V			M	0	0	2, 1, 5		1	2
12	4.0	5	5	0	0	3/4	4	1		1	V6/V		dcml	Eb	I		V6/V		V		6		V			M	0	0	6, 3, 2		2	6
16	1.0	6	6	1/4	1/4	3/4	4	1		1	I6/V	IV6/ii	dcml	Eb	I		I6/V		I		6		V			M	0	0	5, 2, 1		1	5
17	1.0	6	6	1/2	1/2	3/4	4	1		1	#viio/ii		dcml	Eb	I		#viio/ii		#vii	o			ii			o	0	0	7, 4, 1		7	7
18	2.0	7	7	0	0	3/4	4	1		1	ii		dcml	Eb	I		ii		ii							m	0	0	2, -1, 3		2	2
20	1.0	7	7	1/2	1/2	3/4	4	1		1	V64/ii		dcml	Eb	I		V64/ii		V		64		ii			M	0	0	4, 3, 7		3	4
21	2.0	8	8	0	0	3/4	4	1		1	ii6		dcml	Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
23	1.0	8	8	1/2	1/2	3/4	4	1		1	viio/V		dcml	Eb	I		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6
24	3.0	9	9	0	0	3/4	4	1		1	V		dcml	Eb	I		V		V							M	0	0	1, 5, 2		1	1
27	2.0	10	10	0	0	3/4	4	1		1	V		dcml	Eb	I		V		V							M	0	0	1, 5, 2		1	1
29	1.0	10	10	1/2	1/2	3/4	4	1		1	V7		dcml	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
30	3.0	11	11	0	0	3/4	4	1		1	I		dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
33	2.0	12	12	0	0	3/4	4	1		1	vi		dcml	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
35	1.0	12	12	1/2	1/2	3/4	4	1		1	viio6/V		dcml	Eb	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
36	3.0	13	13	0	0	3/4	4	1		1	V6		dcml	Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
39	2.0	14	14	0	0	3/4	4	1		1	V		dcml	Eb	I		V		V							M	0	0	1, 5, 2		1	1
41	1.0	14	14	1/2	1/2	3/4	4	1		1	V7		dcml	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
42	2.0	15	15	0	0	3/4	4	1		1	I		dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
44	1.0	15	15	1/2	1/2	3/4	4	1		1	V6		dcml	Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
45	1.0	16	16	0	0	3/4	4	1		1	viio6/V		dcml	Eb	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
46	1.0	16	16	1/4	1/4	3/4	4	1		1	iv6		dcml	Eb	I		iv6		iv		6					m	0	0	-4, 0, -1		-1	-4
47	1.0	16	16	1/2	1/2	3/4	4	1		1	V7		dcml	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
48	2.0	17	17	0	0	3/4	4	1		1	I		dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
50	1.0	17	17	1/2	1/2	3/4	4	1		1	ii		dcml	Eb	I		ii		ii							m	0	0	2, -1, 3		2	2
51	1.0	18	18	0	0	3/4	4	1		1	I6		dcml	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
52	1.0	18	18	1/4	1/4	3/4	4	1		1	I		dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
53	1.0	18	18	1/2	1/2	3/4	4	1		1	IV		dcml	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
54	1.0	19	19	0	0	3/4	4	1		1	viio6		dcml	Eb	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
55	1.0	19	19	1/4	1/4	3/4	4	1		1	V7		dcml	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
56	1.0	19	19	1/2	1/2	3/4	4	1		1	I		dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
57	1.0	20	20	0	0	3/4	4	1		1	V6		dcml	Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
58	1.0	20	20	1/4	1/4	3/4	4	1		1	V		dcml	Eb	I		V		V							M	0	0	1, 5, 2		1	1
59	1.0	20	20	1/2	1/2	3/4	4	1		1	I		dcml	Eb	I		I		I							M	0	0	0, 4, 1		0	0
60	2.0	21	21	0	0	3/4	4	1		1	V7		dcml	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
62	1.0	21	21	1/2	1/2	3/4	4	1		1	viio6/V		dcml	Eb	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
63	1.0	22	22	0	0	3/4	4	1		1	v6		dcml	Eb	I		v6		v		6					m	0	0	-2, 2, 1		1	-2
64	1.0	22	22	1/4	1/4	3/4	4	1		1	#io2		dcml	Eb	I		#io2		#i	o	2					o7	0	0	-2, 7, 4, 1		7	-2
