quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1/2	1.5	1	0	1/8	1/8	2/4	4	1		A.I	A	I		I	I							M	0	0	0, 4, 1		0	0
2	2.0	2	1	0	0	2/4	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	2.0	3	2	0	0	2/4	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
6	2.0	4	3	0	0	2/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
8	2.0	5	4	0	0	2/4	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
10	0.5	6	5	0	0	2/4	4	1		IV(#2)	A	I		IV(#2)	IV			#2				M	0	0	-1, 8, 0		-1	-1
21/2	0.5	6	5	1/8	1/8	2/4	4	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
11	1.0	6	5	1/4	1/4	2/4	4	1		V65/II	A	I		V65/II	V		65		II			Mm7	0	0	7, 4, 1, 3		3	7
12	0.5	7	6	0	0	2/4	4	1		V/V	A	I		V/V	V				V			M	0	0	2, 6, 3		2	2
25/2	0.5	7	6	1/8	1/8	2/4	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	0.5	7	6	1/4	1/4	2/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
27/2	0.5	7	6	3/8	3/8	2/4	4	1		V43/V	A	I		V43/V	V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
14	2.0	8	7	0	0	2/4	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
16	2.0	9	8	0	0	2/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
18	2.0	10	9	0	0	2/4	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
20	2.0	11	10	0	0	2/4	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
22	2.0	12	11	0	0	2/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
24	1.0	13	12	0	0	2/4	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
25	1.0	13	12	1/4	1/4	2/4	4	1		V65/IV	A	I		V65/IV	V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
26	0.5	14	13	0	0	2/4	4	1		IV(#2)	A	I		IV(#2)	IV			#2				M	0	0	-1, 8, 0		-1	-1
53/2	0.5	14	13	1/8	1/8	2/4	4	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
27	1.0	14	13	1/4	1/4	2/4	4	1		V65/II	A	I		V65/II	V		65		II			Mm7	0	0	7, 4, 1, 3		3	7
