quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	4.0	1	1	0	0	2/4	4	1		Bb.vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
4	2.0	3	3	0	0	2/4	4	1		vi[V7/ii		Bb	I	vi	V7/ii	V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
6	2.0	4	4	0	0	2/4	4	1		ii		Bb	I		ii	ii								m	0	0	2, -1, 3		2	2
8	2.0	5	5	0	0	2/4	4	1		V7/ii		Bb	I		V7/ii	V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
10	2.0	6	6	0	0	2/4	4	1		ii]		Bb	I		ii	ii					]			m	0	0	2, -1, 3		2	2
12	1.0	7	7	0	0	2/4	4	1		V65		Bb	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
13	1.0	7	7	1/4	1/4	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
14	1.0	8	8	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
15	1.0	8	8	1/4	1/4	2/4	4	1		vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
16	1.0	9	9	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
17	1.0	9	9	1/4	1/4	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
18	1.0	10	10	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
19	1.0	10	10	1/4	1/4	2/4	4	1		V7/IV		Bb	I		V7/IV	V		7		IV				Mm7	0	0	0, 4, 1, -2		0	0
20	2.0	11	11	0	0	2/4	4	1		vi[V7/ii		Bb	I	vi	V7/ii	V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
22	2.0	12	12	0	0	2/4	4	1		ii		Bb	I		ii	ii								m	0	0	2, -1, 3		2	2
24	2.0	13	13	0	0	2/4	4	1		V7/ii]		Bb	I		V7/ii	V		7		ii	]			Mm7	0	0	3, 7, 4, 1		3	3
26	2.0	14	14	0	0	2/4	4	1		ii		Bb	I		ii	ii								m	0	0	2, -1, 3		2	2
28	1.0	15	15	0	0	2/4	4	1		V6		Bb	I		V6	V		6						M	0	0	5, 2, 1		1	5
29	1.0	15	15	1/4	1/4	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
30	1.0	16	16	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
31	1.0	16	16	1/4	1/4	2/4	4	1		vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
32	1.0	17	17	0	0	2/4	4	1		ii65		Bb	I		ii65	ii		65						mm7	0	0	-1, 3, 0, 2		2	-1
33	1.0	17	17	1/4	1/4	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
34	2.0	18	18	0	0	2/4	4	1		I\\		Bb	I		I	I							\\	M	0	0	0, 4, 1		0	0
36	2.0	19	19	0	0	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
38	2.0	20	20	0	0	2/4	4	1		V[V7		Bb	I	V	V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
40	1.5	21	21	0	0	2/4	4	1		I]		Bb	I		I	I					]			M	0	0	0, 4, 1		0	0
83/2	0.5	21	21	3/8	3/8	2/4	4	1		viio/V		Bb	I		viio/V	vii	o			V				o	0	0	6, 3, 0		6	6
42	1.0	22	22	0	0	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
43	1.0	22	22	1/4	1/4	2/4	4	1		ii[V/V		Bb	I	ii	V/V	V				V				M	0	0	2, 6, 3		2	2
44	1.0	23	23	0	0	2/4	4	1		V]		Bb	I		V	V					]			M	0	0	1, 5, 2		1	1
45	1.0	23	23	1/4	1/4	2/4	4	1		V2		Bb	I		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
46	1.0	24	24	0	0	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
47	0.5	24	24	1/4	1/4	2/4	4	1		ii6		Bb	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
95/2	0.5	24	24	3/8	3/8	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
48	2.0	25	25	0	0	2/4	4	1		I[V7/IV		Bb	I	I	V7/IV	V		7		IV				Mm7	0	0	0, 4, 1, -2		0	0
50	2.0	26	26	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
52	2.5	27	27	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
109/2	1.5	28	28	1/8	1/8	2/4	4	1		V7/IV		Bb	I		V7/IV	V		7		IV				Mm7	0	0	0, 4, 1, -2		0	0
56	2.0	29	29	0	0	2/4	4	1		V7/V		Bb	I		V7/V	V		7		V				Mm7	0	0	2, 6, 3, 0		2	2
58	2.0	30	30	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
60	2.0	31	31	0	0	2/4	4	1		V43		Bb	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
