quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
		32	32	1/8	1/8	2/4	4	1	1	I6]		Bb	I		I6	I		6			]			M	0	0	4, 1, 0		0	4
		33	33	0	0	2/4	4	1	1	V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
62	2.0	34	32	0	0	2/4	4	1	2	I]		Bb	I		I	I					]			M	0	0	0, 4, 1		0	0
64	2.0	35	33	0	0	2/4	4	1	2	V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
66	2.0	36	34	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
68	1.0	37	35	0	0	2/4	4	1		viio/V		Bb	I		viio/V	vii	o			V				o	0	0	6, 3, 0		6	6
69	1.0	37	35	1/4	1/4	2/4	4	1		V64		Bb	I		V64	V		64						M	0	0	2, 1, 5		1	2
70	0.5	38	36	0	0	2/4	4	1		V+6/iii		Bb	I		V+6/iii	V	+	6		iii				+	0	0	9, 13, 5		5	9
141/2	3.5	38	36	1/8	1/8	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
74	2.0	40	38	0	0	2/4	4	1		V43/V		Bb	I		V43/V	V		43		V				Mm7	0	0	3, 0, 2, 6		2	3
76	2.0	41	39	0	0	2/4	4	1		V[V64		Bb	I	V	V64	V		64						M	0	0	2, 1, 5		1	2
78	2.0	42	40	0	0	2/4	4	1		V43/V		Bb	I		V43/V	V		43		V				Mm7	0	0	3, 0, 2, 6		2	3
80	1.5	43	41	0	0	2/4	4	1		V6]		Bb	I		V6	V		6			]			M	0	0	5, 2, 1		1	5
163/2	1.5	43	41	3/8	3/8	2/4	4	1		ii		Bb	I		ii	ii								m	0	0	2, -1, 3		2	2
83	1.0	44	42	1/4	1/4	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
84	1.0	45	43	0	0	2/4	4	1		I\\		Bb	I		I	I							\\	M	0	0	0, 4, 1		0	0
85	1.0	45	43	1/4	1/4	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
86	1.5	46	44	0	0	2/4	4	1		V43		Bb	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
175/2	0.5	46	44	3/8	3/8	2/4	4	1		V65		Bb	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
88	1.5	47	45	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
179/2	2.5	47	45	3/8	3/8	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
92	2.0	49	47	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
94	2.0	50	48	0	0	2/4	4	1		V43		Bb	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
96	1.0	51	49	0	0	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
97	0.5	51	49	1/4	1/4	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
195/2	0.5	51	49	3/8	3/8	2/4	4	1		V6		Bb	I		V6	V		6						M	0	0	5, 2, 1		1	5
98	1.0	52	50	0	0	2/4	4	1		vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
99	1.0	52	50	1/4	1/4	2/4	4	1		V7/V		Bb	I		V7/V	V		7		V				Mm7	0	0	2, 6, 3, 0		2	2
100	2.0	53	51	0	0	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
102	2.0	54	52	0	0	2/4	4	1		V7/V		Bb	I		V7/V	V		7		V				Mm7	0	0	2, 6, 3, 0		2	2
104	2.0	55	53	0	0	2/4	4	1		iii		Bb	I		iii	iii								m	0	0	4, 1, 5		4	4
106	2.0	56	54	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
108	0.5	57	55	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
217/2	1.25	57	55	1/8	1/8	2/4	4	1		vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
439/4	0.25	57	55	7/16	7/16	2/4	4	1		V43/V		Bb	I		V43/V	V		43		V				Mm7	0	0	3, 0, 2, 6		2	3
110	0.5	58	56	0	0	2/4	4	1		V	V.I	Bb	I		V	V								M	0	0	1, 5, 2		1	1
221/2	0.5	58	56	1/8	1/8	2/4	4	1		vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
111	0.5	58	56	1/4	1/4	2/4	4	1		I64		Bb	I		I64	I		64						M	0	0	1, 0, 4		0	1
223/2	0.5	58	56	3/8	3/8	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
112	1.0	59	57	0	0	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
113	0.5	59	57	1/4	1/4	2/4	4	1		V43		Bb	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
227/2	0.5	59	57	3/8	3/8	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
114	0.5	60	58	0	0	2/4	4	1		V[viio2/V		Bb	I	V	viio2/V	vii	o	2		V				o7	0	0	-3, 6, 3, 0		6	-3
229/2	0.5	60	58	1/8	1/8	2/4	4	1		V64]		Bb	I		V64	V		64			]			M	0	0	2, 1, 5		1	2
115	0.5	60	58	1/4	1/4	2/4	4	1		V(64)		Bb	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
231/2	0.5	60	58	3/8	3/8	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
116	2.0	61	59	0	0	2/4	4	1		I\\		Bb	I		I	I							\\	M	0	0	0, 4, 1		0	0
118	2.0	62	60	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
120	2.0	63	61	0	0	2/4	4	1		vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
122	2.0	64	62	0	0	2/4	4	1		V7/IV		Bb	I		V7/IV	V		7		IV				Mm7	0	0	0, 4, 1, -2		0	0
124	1.0	65	63	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
125	1.0	65	63	1/4	1/4	2/4	4	1		viio6		Bb	I		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
126	1.0	66	64	0	0	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
127	1.0	66	64	1/4	1/4	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
128	4.0	67	65	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
132	2.0	69	67	0	0	2/4	4	1		@none		Bb	I		@none	@none								m	0	0				
134	2.0	70	68	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
136	1.0	71	69	0	0	2/4	4	1		viio6/V		Bb	I		viio6/V	vii	o	6		V				o	0	0	3, 0, 6		6	3
137	1.5	71	69	1/4	1/4	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
277/2	1.5	72	70	1/8	1/8	2/4	4	1		V2		Bb	I		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
140	2.0	73	71	0	0	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
142	0.5	74	72	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
285/2	0.5	74	72	1/8	1/8	2/4	4	1		V65/V		Bb	I		V65/V	V		65		V				Mm7	0	0	6, 3, 0, 2		2	6
143	1.0	74	72	1/4	1/4	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
144	1.5	75	73	0	0	2/4	4	1		viio65/V		Bb	I		viio65/V	vii	o	65		V				o7	0	0	3, 0, -3, 6		6	3
291/2	0.5	75	73	3/8	3/8	2/4	4	1		i64		Bb	I		i64	i		64						m	0	0	1, 0, -3		0	1
146	2.0	76	74	0	0	2/4	4	1		viio65/V		Bb	I		viio65/V	vii	o	65		V				o7	0	0	3, 0, -3, 6		6	3
148	2.0	77	75	0	0	2/4	4	1		viio7/V		Bb	I		viio7/V	vii	o	7		V				o7	0	0	6, 3, 0, -3		6	6
150	2.0	78	76	0	0	2/4	4	1		viio7/V		Bb	I		viio7/V	vii	o	7		V				o7	0	0	6, 3, 0, -3		6	6
152	2.0	79	77	0	0	2/4	4	1		viio43		Bb	I		viio43	vii	o	43						o7	0	0	-1, -4, 5, 2		5	-1
154	1.0	80	78	0	0	2/4	4	1		viio43		Bb	I		viio43	vii	o	43						o7	0	0	-1, -4, 5, 2		5	-1
155	1.0	80	78	1/4	1/4	2/4	4	1		viio2		Bb	I		viio2	vii	o	2						o7	0	0	-4, 5, 2, -1		5	-4
156	2.0	81	79	0	0	2/4	4	1		V[I		Bb	I	V	I	I								M	0	0	0, 4, 1		0	0
158	2.0	82	80	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
160	2.0	83	81	0	0	2/4	4	1		V43		Bb	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
162	2.0	84	82	0	0	2/4	4	1		viio65]		Bb	I		viio65	vii	o	65			]			o7	0	0	2, -1, -4, 5		5	2
164	1.0	85	83	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
165	1.0	85	83	1/4	1/4	2/4	4	1		vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
166	1.0	86	84	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
167	1.0	86	84	1/4	1/4	2/4	4	1		ii		Bb	I		ii	ii								m	0	0	2, -1, 3		2	2
168	1.0	87	85	0	0	2/4	4	1		V6		Bb	I		V6	V		6						M	0	0	5, 2, 1		1	5
169	0.5	87	85	1/4	1/4	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
339/2	0.5	87	85	3/8	3/8	2/4	4	1		V6/V		Bb	I		V6/V	V		6		V				M	0	0	6, 3, 2		2	6
170	2.0	88	86	0	0	2/4	4	1		V65		Bb	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
172	2.0	89	87	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
174	2.0	90	88	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
176	2.0	91	89	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
178	2.0	92	90	0	0	2/4	4	1		V65		Bb	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
180	2.0	93	91	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
182	2.0	94	92	0	0	2/4	4	1		V65		Bb	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
184	2.0	95	93	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
186	2.0	96	94	0	0	2/4	4	1		V65		Bb	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
188	2.0	97	95	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
		98	96	0	0	2/4	4	1	1	I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
		98	96	3/8	3/8	2/4	4	1	1	V/ii		Bb	I		V/ii	V				ii				M	0	0	3, 7, 4		3	3
		99	97	0	0	2/4	4	1	1	ii\\		Bb	I		ii	ii							\\	m	0	0	2, -1, 3		2	2
190	2.0	101	96	0	0	2/4	4	1	2	I\\		Bb	I		I	I							\\	M	0	0	0, 4, 1		0	0
192	2.0	102	97	0	0	2/4	4	1	2	I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
194	6.0	103	98	0	0	2/4	4	1	2	viio6		Bb	I		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
200	2.0	106	101	0	0	2/4	4	1		vi6		Bb	I		vi6	vi		6						m	0	0	0, 4, 3		3	0
202	4.0	107	102	0	0	2/4	4	1		#viio6/vi		Bb	I		#viio6/vi	#vii	o	6		vi				o	0	0	5, 2, 8		8	5
206	2.0	109	104	0	0	2/4	4	1		vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
208	2.0	110	105	0	0	2/4	4	1		V7/V		Bb	I		V7/V	V		7		V				Mm7	0	0	2, 6, 3, 0		2	2
210	2.0	111	106	0	0	2/4	4	1		bVII.I6		Bb	bVII		I6	I		6						M	0	0	4, 1, 0		0	4
212	4.0	112	107	0	0	2/4	4	1		V43		Bb	bVII		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
216	3.0	114	109	0	0	2/4	4	1		I		Bb	bVII		I	I								M	0	0	0, 4, 1		0	0
219	1.0	115	110	1/4	1/4	2/4	4	1		V2/IV		Bb	bVII		V2/IV	V		2		IV				Mm7	0	0	-2, 0, 4, 1		0	-2
220	1.0	116	111	0	0	2/4	4	1		IV6		Bb	bVII		IV6	IV		6						M	0	0	3, 0, -1		-1	3
221	1.0	116	111	1/4	1/4	2/4	4	1		V65		Bb	bVII		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
222	1.0	117	112	0	0	2/4	4	1		I		Bb	bVII		I	I								M	0	0	0, 4, 1		0	0
223	1.0	117	112	1/4	1/4	2/4	4	1		#viio7/iii		Bb	bVII		#viio7/iii	#vii	o	7		iii				o7	0	0	9, 6, 3, 0		9	9
224	2.0	118	113	0	0	2/4	4	1		I6		Bb	bVII		I6	I		6						M	0	0	4, 1, 0		0	4
226	1.0	119	114	0	0	2/4	4	1		IV		Bb	bVII		IV	IV								M	0	0	-1, 3, 0		-1	-1
227	1.0	119	114	1/4	1/4	2/4	4	1		I6		Bb	bVII		I6	I		6						M	0	0	4, 1, 0		0	4
228	1.0	120	115	0	0	2/4	4	1		IV		Bb	bVII		IV	IV								M	0	0	-1, 3, 0		-1	-1
229	1.0	120	115	1/4	1/4	2/4	4	1		V		Bb	bVII		V	V								M	0	0	1, 5, 2		1	1
230	1.0	121	116	0	0	2/4	4	1		V2		Bb	bVII		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
231	1.0	121	116	1/4	1/4	2/4	4	1		I6		Bb	bVII		I6	I		6						M	0	0	4, 1, 0		0	4
232	3.0	122	117	0	0	2/4	4	1		I		Bb	bVII		I	I								M	0	0	0, 4, 1		0	0
235	1.0	123	118	1/4	1/4	2/4	4	1		V2/IV		Bb	bVII		V2/IV	V		2		IV				Mm7	0	0	-2, 0, 4, 1		0	-2
236	1.0	124	119	0	0	2/4	4	1		IV6		Bb	bVII		IV6	IV		6						M	0	0	3, 0, -1		-1	3
237	1.0	124	119	1/4	1/4	2/4	4	1		V65		Bb	bVII		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
238	1.0	125	120	0	0	2/4	4	1		I		Bb	bVII		I	I								M	0	0	0, 4, 1		0	0
239	1.0	125	120	1/4	1/4	2/4	4	1		#viio7/iii		Bb	bVII		#viio7/iii	#vii	o	7		iii				o7	0	0	9, 6, 3, 0		9	9
240	2.0	126	121	0	0	2/4	4	1		I6		Bb	bVII		I6	I		6						M	0	0	4, 1, 0		0	4
242	1.0	127	122	0	0	2/4	4	1		IV		Bb	bVII		IV	IV								M	0	0	-1, 3, 0		-1	-1
243	1.0	127	122	1/4	1/4	2/4	4	1		I6		Bb	bVII		I6	I		6						M	0	0	4, 1, 0		0	4
244	1.0	128	123	0	0	2/4	4	1		IV		Bb	bVII		IV	IV								M	0	0	-1, 3, 0		-1	-1
245	1.0	128	123	1/4	1/4	2/4	4	1		V		Bb	bVII		V	V								M	0	0	1, 5, 2		1	1
246	1.0	129	124	0	0	2/4	4	1		V2		Bb	bVII		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
247	1.0	129	124	1/4	1/4	2/4	4	1		I6		Bb	bVII		I6	I		6						M	0	0	4, 1, 0		0	4
248	2.0	130	125	0	0	2/4	4	1		viio6/V		Bb	bVII		viio6/V	vii	o	6		V				o	0	0	3, 0, 6		6	3
250	1.5	131	126	0	0	2/4	4	1		V		Bb	bVII		V	V								M	0	0	1, 5, 2		1	1
503/2	0.5	131	126	3/8	3/8	2/4	4	1		v		Bb	bVII		v	v								m	0	0	1, -2, 2		1	1
252	1.0	132	127	0	0	2/4	4	1		IV		Bb	bVII		IV	IV								M	0	0	-1, 3, 0		-1	-1
253	1.0	132	127	1/4	1/4	2/4	4	1		#viio6/iii		Bb	bVII		#viio6/iii	#vii	o	6		iii				o	0	0	6, 3, 9		9	6
254	1.0	133	128	0	0	2/4	4	1		iii		Bb	bVII		iii	iii								m	0	0	4, 1, 5		4	4
255	1.0	133	128	1/4	1/4	2/4	4	1		V/ii		Bb	bVII		V/ii	V				ii				M	0	0	3, 7, 4		3	3
256	1.0	134	129	0	0	2/4	4	1		V/V		Bb	bVII		V/V	V				V				M	0	0	2, 6, 3		2	2
257	1.0	134	129	1/4	1/4	2/4	4	1		V		Bb	bVII		V	V								M	0	0	1, 5, 2		1	1
258	1.0	135	130	0	0	2/4	4	1		I		Bb	bVII		I	I								M	0	0	0, 4, 1		0	0
259	1.0	135	130	1/4	1/4	2/4	4	1		IV(+#6)		Bb	bVII		IV(+#6)	IV			+#6					M	0	0	-1, 3, 0	9	-1	-1
260	1.0	136	131	0	0	2/4	4	1		I6		Bb	bVII		I6	I		6						M	0	0	4, 1, 0		0	4
261	1.0	136	131	1/4	1/4	2/4	4	1		V7		Bb	bVII		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
262	4.0	137	132	0	0	2/4	4	1		I		Bb	bVII		I	I								M	0	0	0, 4, 1		0	0
266	2.0	139	134	0	0	2/4	4	1		V		Bb	bVII		V	V								M	0	0	1, 5, 2		1	1
268	1.0	140	135	0	0	2/4	4	1		IV		Bb	bVII		IV	IV								M	0	0	-1, 3, 0		-1	-1
269	3.0	140	135	1/4	1/4	2/4	4	1		I6		Bb	bVII		I6	I		6						M	0	0	4, 1, 0		0	4
272	2.0	142	137	0	0	2/4	4	1		ii		Bb	bVII		ii	ii								m	0	0	2, -1, 3		2	2
274	2.0	143	138	0	0	2/4	4	1		I		Bb	bVII		I	I								M	0	0	0, 4, 1		0	0
276	2.0	144	139	0	0	2/4	4	1		V7		Bb	bVII		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
278	2.0	145	140	0	0	2/4	4	1		I		Bb	bVII		I	I								M	0	0	0, 4, 1		0	0
280	2.0	146	141	0	0	2/4	4	1		V2/IV		Bb	bVII		V2/IV	V		2		IV				Mm7	0	0	-2, 0, 4, 1		0	-2
282	2.0	147	142	0	0	2/4	4	1		IV6		Bb	bVII		IV6	IV		6						M	0	0	3, 0, -1		-1	3
284	2.0	148	143	0	0	2/4	4	1		IV		Bb	bVII		IV	IV								M	0	0	-1, 3, 0		-1	-1
286	5.0	149	144	0	0	2/4	4	1		V7		Bb	bVII		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
291	1.0	151	146	1/4	1/4	2/4	4	1		I		Bb	bVII		I	I								M	0	0	0, 4, 1		0	0
292	1.0	152	147	0	0	2/4	4	1		V2		Bb	bVII		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
293	1.0	152	147	1/4	1/4	2/4	4	1		I6		Bb	bVII		I6	I		6						M	0	0	4, 1, 0		0	4
294	2.0	153	148	0	0	2/4	4	1		I		Bb	bVII		I	I								M	0	0	0, 4, 1		0	0
296	2.0	154	149	0	0	2/4	4	1		V/IV		Bb	bVII		V/IV	V				IV				M	0	0	0, 4, 1		0	0
298	1.0	155	150	0	0	2/4	4	1		IV		Bb	bVII		IV	IV								M	0	0	-1, 3, 0		-1	-1
299	2.0	155	150	1/4	1/4	2/4	4	1		IV6		Bb	bVII		IV6	IV		6						M	0	0	3, 0, -1		-1	3
301	1.0	156	151	1/4	1/4	2/4	4	1		V65/V		Bb	bVII		V65/V	V		65		V				Mm7	0	0	6, 3, 0, 2		2	6
302	7.0	157	152	0	0	2/4	4	1		V7		Bb	bVII		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
309	1.0	160	155	1/4	1/4	2/4	4	1		I		Bb	bVII		I	I								M	0	0	0, 4, 1		0	0
310	4.0	161	156	0	0	2/4	4	1		V7		Bb	bVII		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
314	1.0	163	158	0	0	2/4	4	1		I		Bb	bVII		I	I								M	0	0	0, 4, 1		0	0
315	1.0	163	158	1/4	1/4	2/4	4	1		vi		Bb	bVII		vi	vi								m	0	0	3, 0, 4		3	3
316	1.0	164	159	0	0	2/4	4	1		vi		Bb	bVII		vi	vi								m	0	0	3, 0, 4		3	3
317	1.0	164	159	1/4	1/4	2/4	4	1		ii		Bb	bVII		ii	ii								m	0	0	2, -1, 3		2	2
318	2.0	165	160	0	0	2/4	4	1		V/vi		Bb	bVII		V/vi	V				vi				M	0	0	4, 8, 5		4	4
320	2.0	166	161	0	0	2/4	4	1		V/vi		Bb	bVII		V/vi	V				vi				M	0	0	4, 8, 5		4	4
322	2.0	167	162	0	0	2/4	4	1		V65/vi		Bb	bVII		V65/vi	V		65		vi				Mm7	0	0	8, 5, 2, 4		4	8
324	1.0	168	163	0	0	2/4	4	1		V43/vi		Bb	bVII		V43/vi	V		43		vi				Mm7	0	0	5, 2, 4, 8		4	5
325	1.0	168	163	1/4	1/4	2/4	4	1		vi6		Bb	bVII		vi6	vi		6						m	0	0	0, 4, 3		3	0
326	2.0	169	164	0	0	2/4	4	1		iii[V65/vi		Bb	bVII	iii	V65/vi	V		65		vi				Mm7	0	0	8, 5, 2, 4		4	8
328	0.5	170	165	0	0	2/4	4	1		#viio/vi		Bb	bVII		#viio/vi	#vii	o			vi				o	0	0	8, 5, 2		8	8
657/2	0.5	170	165	1/8	1/8	2/4	4	1		vi]		Bb	bVII		vi	vi					]			m	0	0	3, 0, 4		3	3
329	1.0	170	165	1/4	1/4	2/4	4	1		vi64		Bb	bVII		vi64	vi		64						m	0	0	4, 3, 0		3	4
