quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1192/3	2.666999999999973	100	100	1/3	1/3	4/4	4	1		IV	f	I		IV		IV							M	1	0	-1, 3, 0		-1	-1
400	2.0	101	101	0	0	4/4	4	1		V7	f	I		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
402	2.0	101	101	1/2	1/2	4/4	4	1		#viio2	f	I		#viio2		#vii	o	2					o7	1	0	-4, 5, 2, -1		5	-4
404	4.0	102	102	0	0	4/4	4	1		vi(4)	f	I		vi(4)		vi			4				m	1	0	3, 2, 4		3	3
408	0.5	103	103	0	0	4/4	4	1		vii	f	I		vii		vii							m	1	0	5, 2, 6		5	5
817/2	0.5	103	103	1/8	1/8	4/4	4	1		viio	f	I		viio		vii	o						o	1	0	5, 2, -1		5	5
409	15.0	103	103	1/4	1/4	4/4	4	1		V7	f	I		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
424	5.0	107	107	0	0	4/4	4	1		V/ii	f	I		V/ii		V				ii			M	1	0	3, 7, 4		3	3
429	3.0	108	108	1/4	1/4	4/4	4	1		ii	f	I		ii		ii							m	1	0	2, -1, 3		2	2
432	1.0	109	109	0	0	4/4	4	1		V6/ii	f	I		V6/ii		V		6		ii			M	1	0	7, 4, 3		3	7
433	4.0	109	109	1/4	1/4	4/4	4	1		ii6	f	I		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
437	1.0	110	110	1/4	1/4	4/4	4	1		V(64b9)	f	I		V(64b9)		V			64b9				M	1	0	1, 0, 4	-4	1	1
438	1.0	110	110	1/2	1/2	4/4	4	1		V(64)	f	I		V(64)		V			64				M	1	0	1, 0, 4		1	1
439	2.0	110	110	3/4	3/4	4/4	4	1		V7	f	I		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
441	1.0	111	111	1/4	1/4	4/4	4	1		V(64b9)	f	I		V(64b9)		V			64b9				M	1	0	1, 0, 4	-4	1	1
