quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	8.0	1	0	0	0	2/2	4	1		E.I	E	I		I	I							M	0	0	0, 4, 1		0	0
8	8.0	3	2	0	0	2/2	4	1		I	E	I		I	I							M	0	0	0, 4, 1		0	0
16	8.0	5	4	0	0	2/2	4	1		V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
24	4.0	7	6	0	0	2/2	4	1		I	E	I		I	I							M	0	0	0, 4, 1		0	0
28	2.0	8	7	0	0	2/2	4	1		IV	E	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
30	2.0	8	7	1/2	1/2	2/2	4	1		ii	E	I		ii	ii							m	0	0	2, -1, 3		2	2
32	8.0	9	8	0	0	2/2	4	1		V/vi	E	I		V/vi	V				vi			M	0	0	4, 8, 5		4	4
40	4.0	11	10	0	0	2/2	4	1		I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
44	4.0	12	11	0	0	2/2	4	1		I	E	I		I	I							M	0	0	0, 4, 1		0	0
48	8.0	13	12	0	0	2/2	4	1		V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
56	4.0	15	14	0	0	2/2	4	1		I	E	I		I	I							M	0	0	0, 4, 1		0	0
60	2.0	16	15	0	0	2/2	4	1		IV	E	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
62	2.0	16	15	1/2	1/2	2/2	4	1		ii	E	I		ii	ii							m	0	0	2, -1, 3		2	2
64	16.0	17	16	0	0	2/2	4	1		V/vi	E	I		V/vi	V				vi			M	0	0	4, 8, 5		4	4
80	4.0	21	20	0	0	2/2	4	1		vi64	E	I		vi64	vi		64					m	0	0	4, 3, 0		3	4
84	4.0	22	21	0	0	2/2	4	1		IV6	E	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
88	4.0	23	22	0	0	2/2	4	1		V	E	I		V	V							M	0	0	1, 5, 2		1	1
92	20.0	24	23	0	0	2/2	4	1		V6	E	I		V6	V		6					M	0	0	5, 2, 1		1	5
112	16.0	29	28	0	0	2/2	4	1		i6	E	I		i6	i		6					m	0	0	-3, 1, 0		0	-3
128	20.0	33	32	0	0	2/2	4	1		iii.i	E	iii		i	i							m	0	1	0, -3, 1		0	0
148	4.0	38	37	0	0	2/2	4	1		i64	E	iii		i64	i		64					m	0	1	1, 0, -3		0	1
152	4.0	39	38	0	0	2/2	4	1		i6	E	iii		i6	i		6					m	0	1	-3, 1, 0		0	-3
156	10.0	40	39	0	0	2/2	4	1		i	E	iii		i	i							m	0	1	0, -3, 1		0	0
166	2.0	42	41	1/2	1/2	2/2	4	1		i6	E	iii		i6	i		6					m	0	1	-3, 1, 0		0	-3
168	1.0	43	42	0	0	2/2	4	1		V7	E	iii		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
169	1.0	43	42	1/4	1/4	2/2	4	1		i	E	iii		i	i							m	0	1	0, -3, 1		0	0
170	1.0	43	42	1/2	1/2	2/2	4	1		V7	E	iii		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
171	1.0	43	42	3/4	3/4	2/2	4	1		V(64)	E	iii		V(64)	V			64				M	0	1	1, 0, -3		1	1
172	1.0	44	43	0	0	2/2	4	1		V7	E	iii		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
173	1.0	44	43	1/4	1/4	2/2	4	1		V(64)	E	iii		V(64)	V			64				M	0	1	1, 0, -3		1	1
174	2.0	44	43	1/2	1/2	2/2	4	1		V7	E	iii		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
176	4.0	45	44	0	0	2/2	4	1		I.I	E	I		I	I							M	0	0	0, 4, 1		0	0
180	4.0	46	45	0	0	2/2	4	1		I	E	I		I	I							M	0	0	0, 4, 1		0	0
184	8.0	47	46	0	0	2/2	4	1		V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
192	4.0	49	48	0	0	2/2	4	1		I	E	I		I	I							M	0	0	0, 4, 1		0	0
196	2.0	50	49	0	0	2/2	4	1		IV	E	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
198	2.0	50	49	1/2	1/2	2/2	4	1		V65/V	E	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
200	2.0	51	50	0	0	2/2	4	1		V	E	I		V	V							M	0	0	1, 5, 2		1	1
202	1.0	51	50	1/2	1/2	2/2	4	1		V/V	E	I		V/V	V				V			M	0	0	2, 6, 3		2	2
203	1.0	51	50	3/4	3/4	2/2	4	1		V43	E	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
204	2.0	52	51	0	0	2/2	4	1		V2	E	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
206	2.0	52	51	1/2	1/2	2/2	4	1		I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
208	1.0	53	52	0	0	2/2	4	1		V(64)	E	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
209	3.0	53	52	1/4	1/4	2/2	4	1		V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
212	4.0	54	53	0	0	2/2	4	1		I	E	I		I	I							M	0	0	0, 4, 1		0	0
216	4.0	55	54	0	0	2/2	4	1		I	E	I		I	I							M	0	0	0, 4, 1		0	0
220	2.0	56	55	0	0	2/2	4	1		IV	E	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
222	2.0	56	55	1/2	1/2	2/2	4	1		V65/V	E	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
224	2.0	57	56	0	0	2/2	4	1		V	E	I		V	V							M	0	0	1, 5, 2		1	1
226	1.0	57	56	1/2	1/2	2/2	4	1		V/V	E	I		V/V	V				V			M	0	0	2, 6, 3		2	2
227	1.0	57	56	3/4	3/4	2/2	4	1		V43	E	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
228	2.0	58	57	0	0	2/2	4	1		V2	E	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
230	2.0	58	57	1/2	1/2	2/2	4	1		I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
232	4.0	59	58	0	0	2/2	4	1		V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
236	4.0	60	59	0	0	2/2	4	1		I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
240	4.0	61	60	0	0	2/2	4	1		V65	E	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
