quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	2.0	1	1	0	0	4/4	4	1		Db.viio6(2)		Db	I		viio6(2)	vii	o	6	2				o	0	0	2, -1, 0		5	2
2	2.0	1	1	1/2	1/2	4/4	4	1		viio6		Db	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
4	1.0	2	2	0	0	4/4	4	1		vi6		Db	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
5	1.0	2	2	1/4	1/4	4/4	4	1		viio6(2)		Db	I		viio6(2)	vii	o	6	2				o	0	0	2, -1, 0		5	2
6	1.5	2	2	1/2	1/2	4/4	4	1		viio6		Db	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
15/2	0.5	2	2	7/8	7/8	4/4	4	1		V6		Db	I		V6	V		6					M	0	0	5, 2, 1		1	5
8	2.0	3	3	0	0	4/4	4	1		I		Db	I		I	I							M	0	0	0, 4, 1		0	0
10	1.0	3	3	1/2	1/2	4/4	4	1		V6		Db	I		V6	V		6					M	0	0	5, 2, 1		1	5
11	1.0	3	3	3/4	3/4	4/4	4	1		V43		Db	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
12	1.0	4	4	0	0	4/4	4	1		I		Db	I		I	I							M	0	0	0, 4, 1		0	0
13	1.0	4	4	1/4	1/4	4/4	4	1		I6		Db	I		I6	I		6					M	0	0	4, 1, 0		0	4
14	0.5	4	4	1/2	1/2	4/4	4	1		IV		Db	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
29/2	0.25	4	4	5/8	5/8	4/4	4	1		V43		Db	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
59/4	0.25	4	4	11/16	11/16	4/4	4	1		V7		Db	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
15	0.5	4	4	3/4	3/4	4/4	4	1		V(64)		Db	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
31/2	0.5	4	4	7/8	7/8	4/4	4	1		V7		Db	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
16	1.0	5	5	0	0	4/4	4	1		I\\		Db	I		I	I						\\	M	0	0	0, 4, 1		0	0
17	1.0	5	5	1/4	1/4	4/4	4	1		I		Db	I		I	I							M	0	0	0, 4, 1		0	0
18	1.0	5	5	1/2	1/2	4/4	4	1		V6		Db	I		V6	V		6					M	0	0	5, 2, 1		1	5
19	0.5	5	5	3/4	3/4	4/4	4	1		V65		Db	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
39/2	0.5	5	5	7/8	7/8	4/4	4	1		V7		Db	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
20	2.0	6	6	0	0	4/4	4	1		I		Db	I		I	I							M	0	0	0, 4, 1		0	0
22	0.5	6	6	1/2	1/2	4/4	4	1		IVM7		Db	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
45/2	0.5	6	6	5/8	5/8	4/4	4	1		V7		Db	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
23	0.5	6	6	3/4	3/4	4/4	4	1		vi		Db	I		vi	vi							m	0	0	3, 0, 4		3	3
47/2	0.5	6	6	7/8	7/8	4/4	4	1		V6		Db	I		V6	V		6					M	0	0	5, 2, 1		1	5
