quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	3.0	1	1	0	0	3/4	4	1		F.I	F	I		I		I							M	0	0	0, 4, 1		0	0
3	3.0	2	2	0	0	3/4	4	1		V	F	I		V		V							M	0	0	1, 5, 2		1	1
6	3.0	3	3	0	0	3/4	4	1		I	F	I		I		I							M	0	0	0, 4, 1		0	0
9	6.0	4	4	0	0	3/4	4	1		IV6	F	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
15	3.0	6	6	0	0	3/4	4	1		V65	F	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
18	1.0	7	7	0	0	3/4	4	1		I	F	I		I		I							M	0	0	0, 4, 1		0	0
19	1.0	7	7	1/4	1/4	3/4	4	1		vi	F	I		vi		vi							m	0	0	3, 0, 4		3	3
20	1.0	7	7	1/2	1/2	3/4	4	1		ii6	F	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
21	2.0	8	8	0	0	3/4	4	1		V(64)	F	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
23	1.0	8	8	1/2	1/2	3/4	4	1		V\\	F	I		V		V						\\	M	0	0	1, 5, 2		1	1
24	3.0	9	9	0	0	3/4	4	1		I	F	I		I		I							M	0	0	0, 4, 1		0	0
27	3.0	10	10	0	0	3/4	4	1		V	F	I		V		V							M	0	0	1, 5, 2		1	1
30	3.0	11	11	0	0	3/4	4	1		I	F	I		I		I							M	0	0	0, 4, 1		0	0
33	6.0	12	12	0	0	3/4	4	1		IV6	F	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
39	2.0	14	14	0	0	3/4	4	1		#viio7(6)/vi	F	I		#viio7(6)/vi		#vii	o	7	6	vi			o7	0	0	8, 5, 4, -1		8	8
41	4.0	14	14	1/2	1/2	3/4	4	1		#viio7/vi	F	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
45	2.0	16	16	0	0	3/4	4	1		#viio7(4)/ii	F	I		#viio7(4)/ii		#vii	o	7	4	ii			o7	0	0	7, -1, 1, -2		7	7
47	4.0	16	16	1/2	1/2	3/4	4	1		#viio7/ii	F	I		#viio7/ii		#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7
51	1.5	18	18	0	0	3/4	4	1		ii6(11#7b6)	F	I		ii6(11#7b6)		ii		6	11#7b6				m	0	0	-1, -2, 7	1	2	-1
105/2	1.5	18	18	3/8	3/8	3/4	4	1		ii6	F	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
54	2.0	19	19	0	0	3/4	4	1		V(64)	F	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
56	0.5	19	19	1/2	1/2	3/4	4	1		V(6)	F	I		V(6)		V			6				M	0	0	1, 5, 4		1	1
113/2	0.5	19	19	5/8	5/8	3/4	4	1		V7	F	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
57	3.0	20	20	0	0	3/4	4	1		I\\	F	I		I		I						\\	M	0	0	0, 4, 1		0	0
60	3.0	21	21	0	0	3/4	4	1		I	F	I		I		I							M	0	0	0, 4, 1		0	0
63	2.0	22	22	0	0	3/4	4	1		viio7(b4)/V	F	I		viio7(b4)/V		vii	o	7	b4	V			o7	0	0	6, -2, 0, -3		6	6
