quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	3.0	1	1	0	0	4/4	4	1		F.I64		F	I		I64		I		64					M	0	0	1, 0, 4		0	1
3	1.0	1	1	3/4	3/4	4/4	4	1		I		F	I		I		I							M	0	0	0, 4, 1		0	0
4	4.0	2	2	0	0	4/4	4	1		I64		F	I		I64		I		64					M	0	0	1, 0, 4		0	1
8	2.0	3	3	0	0	4/4	4	1		I64		F	I		I64		I		64					M	0	0	1, 0, 4		0	1
10	2.0	3	3	1/2	1/2	4/4	4	1		I		F	I		I		I							M	0	0	0, 4, 1		0	0
12	4.0	4	4	0	0	4/4	4	1		I64		F	I		I64		I		64					M	0	0	1, 0, 4		0	1
16	4.0	5	5	0	0	4/4	4	1		I	vi7	F	I		I		I							M	0	0	0, 4, 1		0	0
20	4.0	6	6	0	0	4/4	4	1		I		F	I		I		I							M	0	0	0, 4, 1		0	0
24	2.0	7	7	0	0	4/4	4	1		I64		F	I		I64		I		64					M	0	0	1, 0, 4		0	1
26	10.0	7	7	1/2	1/2	4/4	4	1		V43		F	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
36	3.0	10	10	0	0	4/4	4	1		V43(4)		F	I		V43(4)		V		43	4				Mm7	0	0	2, -1, 1, 0		1	2
39	25.0	10	10	3/4	3/4	4/4	4	1		V43		F	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
64	4.0	17	17	0	0	4/4	4	1		V(+2)		F	I		V(+2)		V			+2				M	0	0	1, 5, 2	3	1	1
68	4.0	18	18	0	0	4/4	4	1		V7		F	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
72	3.0	19	19	0	0	4/4	4	1		I\\		F	I		I		I						\\	M	0	0	0, 4, 1		0	0
75	1.0	19	19	3/4	3/4	4/4	4	1		I6		F	I		I6		I		6					M	0	0	4, 1, 0		0	4
76	1.0	20	20	0	0	4/4	4	1		IV		F	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
77	1.0	20	20	1/4	1/4	4/4	4	1		IV6		F	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
78	2.0	20	20	1/2	1/2	4/4	4	1		I64		F	I		I64		I		64					M	0	0	1, 0, 4		0	1
80	1.0	21	21	0	0	4/4	4	1		IV		F	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
81	1.0	21	21	1/4	1/4	4/4	4	1		IV6		F	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
82	2.0	21	21	1/2	1/2	4/4	4	1		I64		F	I		I64		I		64					M	0	0	1, 0, 4		0	1
84	1.0	22	22	0	0	4/4	4	1		IV		F	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
85	1.0	22	22	1/4	1/4	4/4	4	1		IV6		F	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
86	2.0	22	22	1/2	1/2	4/4	4	1		viio65/V		F	I		viio65/V		vii	o	65		V			o7	0	0	3, 0, -3, 6		6	3
88	2.0	23	23	0	0	4/4	4	1		V6		F	I		V6		V		6					M	0	0	5, 2, 1		1	5
90	2.0	23	23	1/2	1/2	4/4	4	1		V		F	I		V		V							M	0	0	1, 5, 2		1	1
92	1.0	24	24	0	0	4/4	4	1		#viio7/vi		F	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
93	1.0	24	24	1/4	1/4	4/4	4	1		#viio65/vi		F	I		#viio65/vi		#vii	o	65		vi			o7	0	0	5, 2, -1, 8		8	5
94	2.0	24	24	1/2	1/2	4/4	4	1		vi6		F	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
96	2.0	25	25	0	0	4/4	4	1		viio2/V		F	I		viio2/V		vii	o	2		V			o7	0	0	-3, 6, 3, 0		6	-3
98	2.0	25	25	1/2	1/2	4/4	4	1		viio43/V		F	I		viio43/V		vii	o	43		V			o7	0	0	0, -3, 6, 3		6	0
100	1.0	26	26	0	0	4/4	4	1		viio6		F	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
101	1.0	26	26	1/4	1/4	4/4	4	1		viio43		F	I		viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
102	2.0	26	26	1/2	1/2	4/4	4	1		#viio65/ii		F	I		#viio65/ii		#vii	o	65		ii			o7	0	0	4, 1, -2, 7		7	4
104	2.0	27	27	0	0	4/4	4	1		#viio43/ii		F	I		#viio43/ii		#vii	o	43		ii			o7	0	0	1, -2, 7, 4		7	1
106	2.0	27	27	1/2	1/2	4/4	4	1		II6		F	I		II6		II		6					M	0	0	6, 3, 2		2	6
108	2.0	28	28	0	0	4/4	4	1		iio6		F	I		iio6		ii	o	6					o	0	0	-1, -4, 2		2	-1
110	2.0	28	28	1/2	1/2	4/4	4	1		ii		F	I		ii		ii							m	0	0	2, -1, 3		2	2
112	4.0	29	29	0	0	4/4	4	1		V43		F	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
116	1.0	30	30	0	0	4/4	4	1		I\\		F	I		I		I						\\	M	0	0	0, 4, 1		0	0
117	11.0	30	30	1/4	1/4	4/4	4	1		I[I		F	I	I	I		I							M	0	0	0, 4, 1		0	0
128	4.0	33	33	0	0	4/4	4	1		viio]		F	I	I	viio		vii	o						o	0	0	5, 2, -1		5	5
132	4.0	34	34	0	0	4/4	4	1		I6		F	I		I6		I		6					M	0	0	4, 1, 0		0	4
136	8.0	35	35	0	0	4/4	4	1		I		F	I		I		I							M	0	0	0, 4, 1		0	0
144	4.0	37	37	0	0	4/4	4	1		V65		F	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
148	4.0	38	38	0	0	4/4	4	1		I		F	I		I		I							M	0	0	0, 4, 1		0	0
152	4.0	39	39	0	0	4/4	4	1		V.V7		F	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
156	4.0	40	40	0	0	4/4	4	1		IV6		F	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
160	4.0	41	41	0	0	4/4	4	1		V65		F	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
164	4.0	42	42	0	0	4/4	4	1		V		F	V		V		V							M	0	0	1, 5, 2		1	1
168	4.0	43	43	0	0	4/4	4	1		V43		F	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
172	1.0	44	44	0	0	4/4	4	1		I		F	V		I		I							M	0	0	0, 4, 1		0	0
173	1.0	44	44	1/4	1/4	4/4	4	1		ii6		F	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
174	1.0	44	44	1/2	1/2	4/4	4	1		iii6		F	V		iii6		iii		6					m	0	0	1, 5, 4		4	1
175	1.0	44	44	3/4	3/4	4/4	4	1		IV		F	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
176	1.0	45	45	0	0	4/4	4	1		ii6		F	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
177	1.0	45	45	1/4	1/4	4/4	4	1		iii		F	V		iii		iii							m	0	0	4, 1, 5		4	4
178	3.0	45	45	1/2	1/2	4/4	4	1		ii7		F	V		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
181	1.0	46	46	1/4	1/4	4/4	4	1		viio6		F	V		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
182	1.0	46	46	1/2	1/2	4/4	4	1		I		F	V		I		I							M	0	0	0, 4, 1		0	0
183	1.0	46	46	3/4	3/4	4/4	4	1		V		F	V		V		V							M	0	0	1, 5, 2		1	1
184	1.0	47	47	0	0	4/4	4	1		I		F	V		I		I							M	0	0	0, 4, 1		0	0
185	1.0	47	47	1/4	1/4	4/4	4	1		vi		F	V		vi		vi							m	0	0	3, 0, 4		3	3
186	2.0	47	47	1/2	1/2	4/4	4	1		V7/V		F	V		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
188	4.0	48	48	0	0	4/4	4	1		V\\		F	V		V		V						\\	M	0	0	1, 5, 2		1	1
192	4.0	49	49	0	0	4/4	4	1		V		F	V		V		V							M	0	0	1, 5, 2		1	1
196	6.0	50	50	0	0	4/4	4	1		I		F	V		I		I							M	0	0	0, 4, 1		0	0
202	1.0	51	51	1/2	1/2	4/4	4	1		vi		F	V		vi		vi							m	0	0	3, 0, 4		3	3
203	1.0	51	51	3/4	3/4	4/4	4	1		V/V		F	V		V/V		V				V			M	0	0	2, 6, 3		2	2
204	4.0	52	52	0	0	4/4	4	1		V		F	V		V		V							M	0	0	1, 5, 2		1	1
208	4.0	53	53	0	0	4/4	4	1		Ger6(+7)		F	V		Ger6(+7)	Ger	vii	o	65	+7b3	V			Ger	0	0	-4, 0, -3, 6	-3	6	-4
212	4.0	54	54	0	0	4/4	4	1		V6		F	V		V6		V		6					M	0	0	5, 2, 1		1	5
216	4.0	55	55	0	0	4/4	4	1		viio43/IV		F	V		viio43/IV		vii	o	43		IV			o7	0	0	-2, -5, 4, 1		4	-2
220	4.0	56	56	0	0	4/4	4	1		IV6(+2)		F	V		IV6(+2)		IV		6	+2				M	0	0	3, 0, -1	1	-1	3
224	4.0	57	57	0	0	4/4	4	1		iv6(+#4+2)		F	V		iv6(+#4+2)		iv		6	+#4+2				m	0	0	-4, 0, -1	12, 1	-1	-4
228	4.0	58	58	0	0	4/4	4	1		V(64)		F	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
232	3.0	59	59	0	0	4/4	4	1		V7		F	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
235	1.0	59	59	3/4	3/4	4/4	4	1		V65		F	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
236	1.0	60	60	0	0	4/4	4	1		I[I		F	V	I	I		I							M	0	0	0, 4, 1		0	0
237	1.0	60	60	1/4	1/4	4/4	4	1		vi		F	V	I	vi		vi							m	0	0	3, 0, 4		3	3
238	1.0	60	60	1/2	1/2	4/4	4	1		I64		F	V	I	I64		I		64					M	0	0	1, 0, 4		0	1
239	1.0	60	60	3/4	3/4	4/4	4	1		viio64		F	V	I	viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1
240	2.0	61	61	0	0	4/4	4	1		I6]		F	V	I	I6		I		6					M	0	0	4, 1, 0		0	4
242	1.0	61	61	1/2	1/2	4/4	4	1		I		F	V		I		I							M	0	0	0, 4, 1		0	0
243	1.0	61	61	3/4	3/4	4/4	4	1		IV6		F	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
244	2.0	62	62	0	0	4/4	4	1		IV		F	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
246	1.0	62	62	1/2	1/2	4/4	4	1		viio6		F	V		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
247	1.0	62	62	3/4	3/4	4/4	4	1		V7		F	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
248	1.0	63	63	0	0	4/4	4	1		I\\		F	V		I		I						\\	M	0	0	0, 4, 1		0	0
249	1.0	63	63	1/4	1/4	4/4	4	1		IV		F	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
250	1.0	63	63	1/2	1/2	4/4	4	1		V		F	V		V		V							M	0	0	1, 5, 2		1	1
251	1.0	63	63	3/4	3/4	4/4	4	1		V65		F	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
252	3.0	64	64	0	0	4/4	4	1		I[I		F	V	I	I		I							M	0	0	0, 4, 1		0	0
255	1.0	64	64	3/4	3/4	4/4	4	1		viio		F	V	I	viio		vii	o						o	0	0	5, 2, -1		5	5
256	2.0	65	65	0	0	4/4	4	1		I6]		F	V	I	I6		I		6					M	0	0	4, 1, 0		0	4
258	1.6669999999999732	65	65	1/2	1/2	4/4	4	1		I		F	V		I		I							M	0	0	0, 4, 1		0	0
779/3	0.33300000000002683	65	65	11/12	11/12	4/4	4	1		I6		F	V		I6		I		6					M	0	0	4, 1, 0		0	4
260	2.0	66	66	0	0	4/4	4	1		IV		F	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
262	1.0	66	66	1/2	1/2	4/4	4	1		viio6		F	V		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
263	1.0	66	66	3/4	3/4	4/4	4	1		V7		F	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
264	7.0	67	67	0	0	4/4	4	1		I\\		F	V		I		I						\\	M	0	0	0, 4, 1		0	0
271	1.0	68	68	3/4	3/4	4/4	4	1		V43		F	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
272	2.0	69	69	0	0	4/4	4	1		I		F	V		I		I							M	0	0	0, 4, 1		0	0
274	1.0	69	69	1/2	1/2	4/4	4	1		iii		F	V		iii		iii							m	0	0	4, 1, 5		4	4
