quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	6.0	1	1	0	0	2/4	4	1		D.I		D	I		I		I							M	0	0	0, 4, 1		0	0
6	2.0	4	4	0	0	2/4	4	1		V		D	I		V		V							M	0	0	1, 5, 2		1	1
8	1.0	5	5	0	0	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
9	3.0	5	5	1/4	1/4	2/4	4	1		V7/IV		D	I		V7/IV		V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
12	1.5	7	7	0	0	2/4	4	1		iv[iv		D	I	iv	iv		iv							m	0	0	-1, -4, 0		-1	-1
27/2	0.5	7	7	3/8	3/8	2/4	4	1		#viio6/iv		D	I	iv	#viio6/iv		#vii	o	6		iv			o	0	0	1, -2, 4		4	1
14	1.0	8	8	0	0	2/4	4	1		iv]		D	I	iv	iv		iv							m	0	0	-1, -4, 0		-1	-1
15	2.0	8	8	1/4	1/4	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
17	0.5	9	9	1/4	1/4	2/4	4	1		viio6		D	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
35/2	0.5	9	9	3/8	3/8	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
18	1.0	10	10	0	0	2/4	4	1		V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
19	0.5	10	10	1/4	1/4	2/4	4	1		#io		D	I		#io		#i	o						o	0	0	7, 4, 1		7	7
39/2	0.5	10	10	3/8	3/8	2/4	4	1		V65		D	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
20	1.0	11	11	0	0	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
21	2.0	11	11	1/4	1/4	2/4	4	1		viio43/V		D	I		viio43/V		vii	o	43		V			o7	0	0	0, -3, 6, 3		6	0
23	1.0	12	12	1/4	1/4	2/4	4	1		V\\		D	I		V		V						\\	M	0	0	1, 5, 2		1	1
24	1.0	13	13	0	0	2/4	4	1		V(b9)		D	I		V(b9)		V			b9				M	0	0	1, 5, 2	-4	1	1
25	1.0	13	13	1/4	1/4	2/4	4	1		V		D	I		V		V							M	0	0	1, 5, 2		1	1
26	1.0	14	14	0	0	2/4	4	1		I64(b6)		D	I		I64(b6)		I		64	b6				M	0	0	-4, 0, 4		0	-4
27	0.5	14	14	1/4	1/4	2/4	4	1		I64		D	I		I64		I		64					M	0	0	1, 0, 4		0	1
55/2	0.5	14	14	3/8	3/8	2/4	4	1		I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
28	1.0	15	15	0	0	2/4	4	1		V43		D	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
29	1.0	15	15	1/4	1/4	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
30	2.0	16	16	0	0	2/4	4	1		V6		D	I		V6		V		6					M	0	0	5, 2, 1		1	5
32	2.0	17	17	0	0	2/4	4	1		V43(b9)		D	I		V43(b9)		V		43	b9				Mm7	0	0	2, -1, 1, 5	-4	1	2
