quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
34	1.0	18	18	0	0	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
35	1.0	18	18	1/4	1/4	2/4	4	1		V65(2)/ii		D	I		V65(2)/ii		V		65	2	ii			Mm7	0	0	7, 4, 1, -2		3	7
36	1.0	19	19	0	0	2/4	4	1		V65/ii		D	I		V65/ii		V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
37	1.0	19	19	1/4	1/4	2/4	4	1		ii		D	I		ii		ii							m	0	0	2, -1, 3		2	2
38	1.0	20	20	0	0	2/4	4	1		V43(b2)		D	I		V43(b2)		V		43	b2				Mm7	0	0	2, -1, -4, 5		1	2
39	2.0	20	20	1/4	1/4	2/4	4	1		V43		D	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
41	1.0	21	21	1/4	1/4	2/4	4	1		I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
42	0.5	22	22	0	0	2/4	4	1		IV		D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
85/2	0.5	22	22	1/8	1/8	2/4	4	1		ii6		D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
43	1.0	22	22	1/4	1/4	2/4	4	1		V		D	I		V		V							M	0	0	1, 5, 2		1	1
44	1.0	23	23	0	0	2/4	4	1		I(+b7+b2)		D	I		I(+b7+b2)		I			+b7+b2				M	0	0	0, 4, 1	-2, -5	0	0
45	1.0	23	23	1/4	1/4	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
46	1.0	24	24	0	0	2/4	4	1		iv64(+6+#4)		D	I		iv64(+6+#4)		iv		64	+6+#4				m	0	0	0, -1, -4	2, 12	-1	0
47	2.0	24	24	1/4	1/4	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
49	0.5	25	25	1/4	1/4	2/4	4	1		I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
99/2	0.5	25	25	3/8	3/8	2/4	4	1		IV		D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
50	1.0	26	26	0	0	2/4	4	1		V(64)		D	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
51	1.0	26	26	1/4	1/4	2/4	4	1		V		D	I		V		V							M	0	0	1, 5, 2		1	1
52	1.0	27	27	0	0	2/4	4	1		I(+b7+b2)		D	I		I(+b7+b2)		I			+b7+b2				M	0	0	0, 4, 1	-2, -5	0	0
53	1.0	27	27	1/4	1/4	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
54	1.0	28	28	0	0	2/4	4	1		iv64(+6+#4)		D	I		iv64(+6+#4)		iv		64	+6+#4				m	0	0	0, -1, -4	2, 12	-1	0
55	2.0	28	28	1/4	1/4	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
57	0.5	29	29	1/4	1/4	2/4	4	1		I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
115/2	0.5	29	29	3/8	3/8	2/4	4	1		IV64		D	I		IV64		IV		64					M	0	0	0, -1, 3		-1	0
58	1.0	30	30	0	0	2/4	4	1		V(64)		D	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
59	1.0	30	30	1/4	1/4	2/4	4	1		V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
60	0.5	31	31	0	0	2/4	4	1		I\\		D	I		I		I						\\	M	0	0	0, 4, 1		0	0
121/2	1.0	31	31	1/8	1/8	2/4	4	1		I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
123/2	0.5	31	31	3/8	3/8	2/4	4	1		IV6		D	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
62	0.5	32	32	0	0	2/4	4	1		vi		D	I		vi		vi							m	0	0	3, 0, 4		3	3
125/2	0.5	32	32	1/8	1/8	2/4	4	1		I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
63	1.0	32	32	1/4	1/4	2/4	4	1		V		D	I		V		V							M	0	0	1, 5, 2		1	1
64	1.0	33	33	0	0	2/4	4	1		I[I64		D	I	I	I64		I		64					M	0	0	1, 0, 4		0	1
65	1.0	33	33	1/4	1/4	2/4	4	1		viio2		D	I	I	viio2		vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
66	2.0	34	34	0	0	2/4	4	1		I64]\\		D	I	I	I64		I		64				\\	M	0	0	1, 0, 4		0	1
68	2.0	35	35	0	0	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
70	5.0	36	36	0	0	2/4	4	1		@none		D	I		@none		@none							m	0	0				
75	0.5	38	38	1/4	1/4	2/4	4	1		V6		D	I		V6		V		6					M	0	0	5, 2, 1		1	5
151/2	1.5	38	38	3/8	3/8	2/4	4	1		V2/IV		D	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
77	1.0	39	39	1/4	1/4	2/4	4	1		viio(2)/V		D	I		viio(2)/V		vii	o		2	V			o	0	0	1, 3, 0		6	1
78	1.0	40	40	0	0	2/4	4	1		viio64/IV		D	I		viio64/IV		vii	o	64		IV			o	0	0	-2, 4, 1		4	-2
79	1.0	40	40	1/4	1/4	2/4	4	1		viio		D	I		viio		vii	o						o	0	0	5, 2, -1		5	5
80	1.0	41	41	0	0	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
81	2.0	41	41	1/4	1/4	2/4	4	1		i		D	I		i		i							m	0	0	0, -3, 1		0	0
83	1.0	42	42	1/4	1/4	2/4	4	1		#ivo2		D	I		#ivo2		#iv	o	2					o7	0	0	-3, 6, 3, 0		6	-3
84	0.5	43	43	0	0	2/4	4	1		viio7		D	I		viio7		vii	o	7					o7	0	0	5, 2, -1, -4		5	5
169/2	0.5	43	43	1/8	1/8	2/4	4	1		V		D	I		V		V							M	0	0	1, 5, 2		1	1
85	0.5	43	43	1/4	1/4	2/4	4	1		viio64		D	I		viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1
171/2	0.5	43	43	3/8	3/8	2/4	4	1		V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
86	1.0	44	44	0	0	2/4	4	1		I(4)		D	I		I(4)		I			4				M	0	0	0, -1, 1		0	0
87	1.0	44	44	1/4	1/4	2/4	4	1		viio		D	I		viio		vii	o						o	0	0	5, 2, -1		5	5
88	1.0	45	45	0	0	2/4	4	1		bIII6		D	I		bIII6		bIII		6					M	0	0	1, -2, -3		-3	1
89	1.0	45	45	1/4	1/4	2/4	4	1		V43/iv		D	I		V43/iv		V		43		iv			Mm7	0	0	1, -2, 0, 4		0	1
90	2.0	46	46	0	0	2/4	4	1		iv6		D	I		iv6		iv		6					m	0	0	-4, 0, -1		-1	-4
92	0.5	47	47	0	0	2/4	4	1		bII		D	I		bII		bII							M	0	0	-5, -1, -4		-5	-5
185/2	0.5	47	47	1/8	1/8	2/4	4	1		iv64		D	I		iv64		iv		64					m	0	0	0, -1, -4		-1	0
93	0.5	47	47	1/4	1/4	2/4	4	1		viio7		D	I		viio7		vii	o	7					o7	0	0	5, 2, -1, -4		5	5
187/2	0.5	47	47	3/8	3/8	2/4	4	1		V7/bIII		D	I		V7/bIII		V		7		bIII			Mm7	0	0	-2, 2, -1, -4		-2	-2
94	1.0	48	48	0	0	2/4	4	1		bIII64		D	I		bIII64		bIII		64					M	0	0	-2, -3, 1		-3	-2
95	0.5	48	48	1/4	1/4	2/4	4	1		viio6(2)/V		D	I		viio6(2)/V		vii	o	6	2	V			o	0	0	3, 0, 1		6	3
191/2	0.5	48	48	3/8	3/8	2/4	4	1		viio6/V		D	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
96	1.0	49	49	0	0	2/4	4	1		V/bIII		D	I		V/bIII		V				bIII			M	0	0	-2, 2, -1		-2	-2
97	1.0	49	49	1/4	1/4	2/4	4	1		V65		D	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
98	0.5	50	50	0	0	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
197/2	2.0	50	50	1/8	1/8	2/4	4	1		bVI6		D	I		bVI6		bVI		6					M	0	0	0, -3, -4		-4	0
201/2	0.5	51	51	1/8	1/8	2/4	4	1		i		D	I		i		i							m	0	0	0, -3, 1		0	0
101	1.0	51	51	1/4	1/4	2/4	4	1		viio43/V		D	I		viio43/V		vii	o	43		V			o7	0	0	0, -3, 6, 3		6	0
102	0.5	52	52	0	0	2/4	4	1		V6		D	I		V6		V		6					M	0	0	5, 2, 1		1	5
205/2	0.5	52	52	1/8	1/8	2/4	4	1		ii%65/iv		D	I		ii%65/iv		ii	%	65		iv			%7	0	0	-2, -5, -1, 1		1	-2
103	0.5	52	52	1/4	1/4	2/4	4	1		V(b9)/iv		D	I		V(b9)/iv		V			b9	iv			M	0	0	0, 4, 1	-12	0	0
207/2	0.5	52	52	3/8	3/8	2/4	4	1		V2/iv		D	I		V2/iv		V		2		iv			Mm7	0	0	-2, 0, 4, 1		0	-2
104	0.5	53	53	0	0	2/4	4	1		iv6		D	I		iv6		iv		6					m	0	0	-4, 0, -1		-1	-4
209/2	0.5	53	53	1/8	1/8	2/4	4	1		i64		D	I		i64		i		64					m	0	0	1, 0, -3		0	1
105	1.0	53	53	1/4	1/4	2/4	4	1		viio7		D	I		viio7		vii	o	7					o7	0	0	5, 2, -1, -4		5	5
106	0.5	54	54	0	0	2/4	4	1		V		D	I		V		V							M	0	0	1, 5, 2		1	1
213/2	0.5	54	54	1/8	1/8	2/4	4	1		bvii64		D	I		bvii64		bvii		64					m	0	0	-1, -2, -5		-2	-1
107	0.25	54	54	1/4	1/4	2/4	4	1		iiio7		D	I		iiio7		iii	o	7					o7	0	0	4, 1, -2, -5		4	4
429/4	0.25	54	54	5/16	5/16	2/4	4	1		I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
215/2	0.5	54	54	3/8	3/8	2/4	4	1		io6		D	I		io6		i	o	6					o	0	0	-3, -6, 0		0	-3
108	0.5	55	55	0	0	2/4	4	1		V2/bvii		D	I		V2/bvii		V		2		bvii			Mm7	0	0	-3, -1, 3, 0		-1	-3
217/2	0.5	55	55	1/8	1/8	2/4	4	1		bvii6		D	I		bvii6		bvii		6					m	0	0	-5, -1, -2		-2	-5
109	0.5	55	55	1/4	1/4	2/4	4	1		I(4)		D	I		I(4)		I			4				M	0	0	0, -1, 1		0	0
219/2	0.5	55	55	3/8	3/8	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
110	0.5	56	56	0	0	2/4	4	1		i		D	I		i		i							m	0	0	0, -3, 1		0	0
221/2	0.5	56	56	1/8	1/8	2/4	4	1		VII2/bvii		D	I		VII2/bvii		VII		2		bvii			Mm7	0	0	-6, -4, 0, -3		-4	-6
111	1.0	56	56	1/4	1/4	2/4	4	1		V7/bvii		D	I		V7/bvii		V		7		bvii			Mm7	0	0	-1, 3, 0, -3		-1	-1
112	1.0	57	57	0	0	2/4	4	1		bvii6		D	I		bvii6		bvii		6					m	0	0	-5, -1, -2		-2	-5
113	1.0	57	57	1/4	1/4	2/4	4	1		V7/bvii		D	I		V7/bvii		V		7		bvii			Mm7	0	0	-1, 3, 0, -3		-1	-1
114	1.0	58	58	0	0	2/4	4	1		bII2		D	I		bII2		bII		2					Mm7	0	0	-7, -5, -1, -4		-5	-7
115	0.5	58	58	1/4	1/4	2/4	4	1		iio2		D	I		iio2		ii	o	2					o7	0	0	-7, 2, -1, -4		2	-7
231/2	0.5	58	58	3/8	3/8	2/4	4	1		bVII		D	I		bVII		bVII							M	0	0	-2, 2, -1		-2	-2
116	1.0	59	59	0	0	2/4	4	1		iio43		D	I		iio43		ii	o	43					o7	0	0	-4, -7, 2, -1		2	-4
117	0.5	59	59	1/4	1/4	2/4	4	1		bV.V43		D	bV		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
235/2	0.5	59	59	3/8	3/8	2/4	4	1		I64		D	bV		I64		I		64					M	0	0	1, 0, 4		0	1
118	1.5	60	60	0	0	2/4	4	1		V[i		D	bV	V	i		i							m	0	0	0, -3, 1		0	0
239/2	0.5	60	60	3/8	3/8	2/4	4	1		V		D	bV	V	V		V							M	0	0	1, 5, 2		1	1
120	1.5	61	61	0	0	2/4	4	1		viio		D	bV	V	viio		vii	o						o	0	0	5, 2, -1		5	5
243/2	0.5	61	61	3/8	3/8	2/4	4	1		i		D	bV	V	i		i							m	0	0	0, -3, 1		0	0
122	1.5	62	62	0	0	2/4	4	1		#ivo7]		D	bV	V	#ivo7		#iv	o	7					o7	0	0	6, 3, 0, -3		6	6
247/2	0.5	62	62	3/8	3/8	2/4	4	1		viio2		D	bV		viio2		vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
124	1.0	63	63	0	0	2/4	4	1		viio6		D	bV		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
125	2.0	63	63	1/4	1/4	2/4	4	1		V65		D	bV		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
127	1.0	64	64	1/4	1/4	2/4	4	1		I\\		D	bV		I		I						\\	M	0	0	0, 4, 1		0	0
128	2.0	65	65	0	0	2/4	4	1		I		D	bV		I		I							M	0	0	0, 4, 1		0	0
130	1.0	66	66	0	0	2/4	4	1		vi		D	bV		vi		vi							m	0	0	3, 0, 4		3	3
131	1.0	66	66	1/4	1/4	2/4	4	1		vi2		D	bV		vi2		vi		2					mm7	0	0	1, 3, 0, 4		3	1
132	1.0	67	67	0	0	2/4	4	1		IV		D	bV		IV		IV							M	0	0	-1, 3, 0		-1	-1
133	1.0	67	67	1/4	1/4	2/4	4	1		#ivo2		D	bV		#ivo2		#iv	o	2					o7	0	0	-3, 6, 3, 0		6	-3
134	1.0	68	68	0	0	2/4	4	1		V65/iii		D	bV		V65/iii		V		65		iii			Mm7	0	0	9, 6, 3, 5		5	9
135	1.0	68	68	1/4	1/4	2/4	4	1		iii		D	bV		iii		iii							m	0	0	4, 1, 5		4	4
136	2.0	69	69	0	0	2/4	4	1		bIV.I		D	bIV		I		I							M	0	0	0, 4, 1		0	0
138	1.0	70	70	0	0	2/4	4	1		vi		D	bIV		vi		vi							m	0	0	3, 0, 4		3	3
139	1.0	70	70	1/4	1/4	2/4	4	1		vi2		D	bIV		vi2		vi		2					mm7	0	0	1, 3, 0, 4		3	1
140	1.0	71	71	0	0	2/4	4	1		IV		D	bIV		IV		IV							M	0	0	-1, 3, 0		-1	-1
141	1.0	71	71	1/4	1/4	2/4	4	1		#ivo2		D	bIV		#ivo2		#iv	o	2					o7	0	0	-3, 6, 3, 0		6	-3
142	1.0	72	72	0	0	2/4	4	1		V65/iii		D	bIV		V65/iii		V		65		iii			Mm7	0	0	9, 6, 3, 5		5	9
143	1.0	72	72	1/4	1/4	2/4	4	1		iii		D	bIV		iii		iii							m	0	0	4, 1, 5		4	4
144	2.0	73	73	0	0	2/4	4	1		bIII.I		D	bIII		I		I							M	0	0	0, 4, 1		0	0
146	1.0	74	74	0	0	2/4	4	1		vi		D	bIII		vi		vi							m	0	0	3, 0, 4		3	3
147	1.0	74	74	1/4	1/4	2/4	4	1		vi2		D	bIII		vi2		vi		2					mm7	0	0	1, 3, 0, 4		3	1
148	1.0	75	75	0	0	2/4	4	1		I.viio2		D	I		viio2		vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
149	3.0	75	75	1/4	1/4	2/4	4	1		V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
152	3.5	77	77	0	0	2/4	4	1		viio2		D	I		viio2		vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
311/2	0.5	78	78	3/8	3/8	2/4	4	1		V		D	I		V		V							M	0	0	1, 5, 2		1	1
156	1.0	79	79	0	0	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
157	0.5	79	79	1/4	1/4	2/4	4	1		V6(4)		D	I		V6(4)		V		6	4				M	0	0	0, 2, 1		1	0
315/2	0.5	79	79	3/8	3/8	2/4	4	1		V6		D	I		V6		V		6					M	0	0	5, 2, 1		1	5
158	0.75	80	80	0	0	2/4	4	1		V2/iv		D	I		V2/iv		V		2		iv			Mm7	0	0	-2, 0, 4, 1		0	-2
635/4	0.25	80	80	3/16	3/16	2/4	4	1		iv6		D	I		iv6		iv		6					m	0	0	-4, 0, -1		-1	-4
159	1.0	80	80	1/4	1/4	2/4	4	1		V2/iv		D	I		V2/iv		V		2		iv			Mm7	0	0	-2, 0, 4, 1		0	-2
160	0.5	81	81	0	0	2/4	4	1		iv6		D	I		iv6		iv		6					m	0	0	-4, 0, -1		-1	-4
321/2	0.25	81	81	1/8	1/8	2/4	4	1		iv		D	I		iv		iv							m	0	0	-1, -4, 0		-1	-1
643/4	0.25	81	81	3/16	3/16	2/4	4	1		#viio43/iv		D	I		#viio43/iv		#vii	o	43		iv			o7	0	0	-2, -5, 4, 1		4	-2
161	0.5	81	81	1/4	1/4	2/4	4	1		iv6		D	I		iv6		iv		6					m	0	0	-4, 0, -1		-1	-4
323/2	0.25	81	81	3/8	3/8	2/4	4	1		iv64		D	I		iv64		iv		64					m	0	0	0, -1, -4		-1	0
647/4	0.25	81	81	7/16	7/16	2/4	4	1		ii2		D	I		ii2		ii		2					mm7	0	0	0, 2, -1, 3		2	0
162	0.25	82	82	0	0	2/4	4	1		V6(4)		D	I		V6(4)		V		6	4				M	0	0	0, 2, 1		1	0
649/4	0.75	82	82	1/16	1/16	2/4	4	1		V6		D	I		V6		V		6					M	0	0	5, 2, 1		1	5
163	1.0	82	82	1/4	1/4	2/4	4	1		V7/V		D	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
164	1.5	83	83	0	0	2/4	4	1		V65		D	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
331/2	1.5	83	83	3/8	3/8	2/4	4	1		viio43		D	I		viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
167	0.5	84	84	1/4	1/4	2/4	4	1		V6		D	I		V6		V		6					M	0	0	5, 2, 1		1	5
335/2	0.5	84	84	3/8	3/8	2/4	4	1		bIII64		D	I		bIII64		bIII		64					M	0	0	-2, -3, 1		-3	-2
168	1.0	85	85	0	0	2/4	4	1		vii7/V		D	I		vii7/V		vii		7		V			mm7	0	0	6, 3, 7, 4		6	6
169	0.5	85	85	1/4	1/4	2/4	4	1		V64/V		D	I		V64/V		V		64		V			M	0	0	3, 2, 6		2	3
339/2	0.5	85	85	3/8	3/8	2/4	4	1		V64		D	I		V64		V		64					M	0	0	2, 1, 5		1	2
170	1.0	86	86	0	0	2/4	4	1		#io7		D	I		#io7		#i	o	7					o7	0	0	7, 4, 1, -2		7	7
171	0.5	86	86	1/4	1/4	2/4	4	1		#ivo43(4)		D	I		#ivo43(4)		#iv	o	43	4				o7	0	0	0, -3, 6, 5		6	0
343/2	0.5	86	86	3/8	3/8	2/4	4	1		#ivo43		D	I		#ivo43		#iv	o	43					o7	0	0	0, -3, 6, 3		6	0
172	0.5	87	87	0	0	2/4	4	1		vii7		D	I		vii7		vii		7					mm7	0	0	5, 2, 6, 3		5	5
345/2	1.0	87	87	1/8	1/8	2/4	4	1		v.i6		D	v		i6		i		6					m	0	1	-3, 1, 0		0	-3
347/2	0.5	87	87	3/8	3/8	2/4	4	1		V7		D	v		V7		V		7					Mm7	0	1	1, 5, 2, -1		1	1
174	1.5	88	88	0	0	2/4	4	1		i		D	v		i		i							m	0	1	0, -3, 1		0	0
351/2	0.5	88	88	3/8	3/8	2/4	4	1		bIIM7		D	v		bIIM7		bII	M	7					MM7	0	1	-5, -1, -4, 0		-5	-5
176	1.0	89	89	0	0	2/4	4	1		ii%7		D	v		ii%7		ii	%	7					%7	0	1	2, -1, -4, 0		2	2
177	0.5	89	89	1/4	1/4	2/4	4	1		#viio6		D	v		#viio6		#vii	o	6					o	0	1	2, -1, 5		5	2
355/2	0.5	89	89	3/8	3/8	2/4	4	1		#viio43		D	v		#viio43		#vii	o	43					o7	0	1	-1, -4, 5, 2		5	-1
178	0.5	90	90	0	0	2/4	4	1		I(4)		D	v		I(4)		I			4				M	0	1	0, -1, 1		0	0
357/2	1.0	90	90	1/8	1/8	2/4	4	1		I		D	v		I		I							M	0	1	0, 4, 1		0	0
359/2	0.5	90	90	3/8	3/8	2/4	4	1		I.V6/V		D	I		V6/V		V		6		V			M	0	0	6, 3, 2		2	6
180	1.0	91	91	0	0	2/4	4	1		viio64/vi		D	I		viio64/vi		vii	o	64		vi			o	0	0	-5, 1, -2		1	-5
181	1.0	91	91	1/4	1/4	2/4	4	1		V2		D	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
182	0.5	92	92	0	0	2/4	4	1		I6(2)		D	I		I6(2)		I		6	2				M	0	0	4, 1, 2		0	4
365/2	1.0	92	92	1/8	1/8	2/4	4	1		I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
367/2	0.5	92	92	3/8	3/8	2/4	4	1		bII2		D	I		bII2		bII		2					Mm7	0	0	-7, -5, -1, -4		-5	-7
184	1.5	93	93	0	0	2/4	4	1		bVII65		D	I		bVII65		bVII		65					Mm7	0	0	2, -1, -4, -2		-2	2
371/2	0.5	93	93	3/8	3/8	2/4	4	1		bVII43		D	I		bVII43		bVII		43					Mm7	0	0	-1, -4, -2, 2		-2	-1
186	0.5	94	94	0	0	2/4	4	1		I(4)		D	I		I(4)		I			4				M	0	0	0, -1, 1		0	0
373/2	0.5	94	94	1/8	1/8	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
187	0.5	94	94	1/4	1/4	2/4	4	1		I(b9)		D	I		I(b9)		I			b9				M	0	0	0, 4, 1	-5	0	0
375/2	0.5	94	94	3/8	3/8	2/4	4	1		V6		D	I		V6		V		6					M	0	0	5, 2, 1		1	5
188	1.0	95	95	0	0	2/4	4	1		bIII64		D	I		bIII64		bIII		64					M	0	0	-2, -3, 1		-3	-2
189	1.0	95	95	1/4	1/4	2/4	4	1		V2/IV		D	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
190	3.5	96	96	0	0	2/4	4	1		V65/bVII		D	I		V65/bVII		V		65		bVII			Mm7	0	0	3, 0, -3, -1		-1	3
387/2	4.0	97	97	3/8	3/8	2/4	4	1		bVII7		D	I		bVII7		bVII		7					Mm7	0	0	-2, 2, -1, -4		-2	-2
395/2	4.0	99	99	3/8	3/8	2/4	4	1		iiio7		D	I		iiio7		iii	o	7					o7	0	0	4, 1, -2, -5		4	4
403/2	0.5	101	101	3/8	3/8	2/4	4	1		vio65		D	I		vio65		vi	o	65					o7	0	0	0, -3, -6, 3		3	0
202	3.5	102	102	0	0	2/4	4	1		viio7/V		D	I		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
411/2	1.5	103	103	3/8	3/8	2/4	4	1		V[i6		D	I	V	i6		i		6					m	0	0	-3, 1, 0		0	-3
207	1.0	104	104	1/4	1/4	2/4	4	1		#ivo2		D	I	V	#ivo2		#iv	o	2					o7	0	0	-3, 6, 3, 0		6	-3
208	1.0	105	105	0	0	2/4	4	1		ii64		D	I	V	ii64		ii		64					m	0	0	3, 2, -1		2	3
209	0.5	105	105	1/4	1/4	2/4	4	1		ivo2		D	I	V	ivo2		iv	o	2					o7	0	0	-10, -1, -4, -7		-1	-10
419/2	0.5	105	105	3/8	3/8	2/4	4	1		ivo65		D	I	V	ivo65		iv	o	65					o7	0	0	-4, -7, -10, -1		-1	-4
210	1.0	106	106	0	0	2/4	4	1		v%7(b2)		D	I	V	v%7(b2)		v	%	7	b2				%7	0	0	-4, -2, -5, -1		1	-4
211	0.5	106	106	1/4	1/4	2/4	4	1		v7]		D	I	V	v7		v		7					mm7	0	0	1, -2, 2, -1		1	1
423/2	0.5	106	106	3/8	3/8	2/4	4	1		I[V7/V		D	I	I	V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
212	0.5	107	107	0	0	2/4	4	1		IV43		D	I	I	IV43		IV		43					Mm7	0	0	0, -3, -1, 3		-1	0
425/2	0.5	107	107	1/8	1/8	2/4	4	1		#ivo		D	I	I	#ivo		#iv	o						o	0	0	6, 3, 0		6	6
213	5.0	107	107	1/4	1/4	2/4	4	1		viio43		D	I	I	viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
