mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/2	3/4	1	1	.C.I		C	I		I		I						M	0	0	0, 4, 1		0	0
3	2	0	0	3/4	1	1	V43(4)		C	I		V43(4)		V		43	4			Mm7	0	0	2, -1, 1, 0		1	2
3	2	1/4	1/4	3/4	1	1	V43		C	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
3	2	1/2	1/2	3/4	1	1	I		C	I		I		I						M	0	0	0, 4, 1		0	0
4	3	0	0	3/4	1	1	V(64)		C	I		V(64)		V			64			M	0	0	1, 0, 4		1	1
4	3	1/4	1/4	3/4	1	1	V\\		C	I		V		V					\\	M	0	0	1, 5, 2		1	1
5	4	0	0	3/4	1	1	V7		C	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
5	4	1/2	1/2	3/4	1	1	#viio7/vi		C	I		#viio7/vi		#vii	o	7		vi		o7	0	0	8, 5, 2, -1		8	8
5	4	5/8	5/8	3/4	1	1	vi		C	I		vi		vi						m	0	0	3, 0, 4		3	3
6	5	0	0	3/4	1	1	ii6		C	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
6	5	1/4	1/4	3/4	1	1	ii		C	I		ii		ii						m	0	0	2, -1, 3		2	2
6	5	1/2	1/2	3/4	1	1	V7(9)		C	I		V7(9)		V		7	9			Mm7	0	0	1, 5, 2, -1	3	1	1
6	5	9/16	9/16	3/4	1	1	V7		C	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
7	6	0	0	3/4	1	1	I(4+2)		C	I		I(4+2)		I			4+2			M	0	0	0, -1, 1	2	0	0
7	6	1/4	1/4	3/4	1	1	I\\		C	I		I		I					\\	M	0	0	0, 4, 1		0	0
8	7	0	0	3/4	1	1	I		C	I		I		I						M	0	0	0, 4, 1		0	0
9	8	1/8	1/8	3/4	1	1	I6		C	I		I6		I		6				M	0	0	4, 1, 0		0	4
9	8	1/4	1/4	3/4	1	1	V		C	I		V		V						M	0	0	1, 5, 2		1	1
9	8	1/2	1/2	3/4	1	1	I		C	I		I		I						M	0	0	0, 4, 1		0	0
11	10	1/8	1/8	3/4	1	1	I6		C	I		I6		I		6				M	0	0	4, 1, 0		0	4
11	10	1/4	1/4	3/4	1	1	V		C	I		V		V						M	0	0	1, 5, 2		1	1
12	11	0	0	3/4	1	1	V2/V		C	I		V2/V		V		2		V		Mm7	0	0	0, 2, 6, 3		2	0
12	11	1/4	1/4	3/4	1	1	V6		C	I		V6		V		6				M	0	0	5, 2, 1		1	5
13	12	0	0	3/4	1	1	V.V2		C	V		V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
13	12	1/4	1/4	3/4	1	1	I6		C	V		I6		I		6				M	0	0	4, 1, 0		0	4
14	13	0	0	3/4	1	1	IV		C	V		IV		IV						M	0	0	-1, 3, 0		-1	-1
14	13	1/8	1/8	3/4	1	1	ii6		C	V		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
14	13	3/16	3/16	3/4	1	1	#viio7/V		C	V		#viio7/V		#vii	o	7		V		o7	0	0	13, 10, 7, 4		13	13
14	13	1/4	1/4	3/4	1	1	V(64+2)		C	V		V(64+2)		V			64+2			M	0	0	1, 0, 4	3	1	1
14	13	1/2	1/2	3/4	1	1	V7(4)		C	V		V7(4)		V		7	4			Mm7	0	0	1, 0, 2, -1		1	1
14	13	23/32	23/32	3/4	1	1	V7		C	V		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
15	14	0	0	3/4	1	1	I(4+2)		C	V		I(4+2)		I			4+2			M	0	0	0, -1, 1	2	0	0
15	14	1/4	1/4	3/4	1	1	I\\		C	V		I		I					\\	M	0	0	0, 4, 1		0	0
15	14	1/2	1/2	3/4	1	1	I6		C	V		I6		I		6				M	0	0	4, 1, 0		0	4
16	15	0	0	3/4	1	1	I.V2		C	I		V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
