mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	offset:x	offset:y	label_type	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/2	3/4	1	1	.Bb.I				dcml	Bb	I		I		I						M	0	0	0, 4, 1		0	0
2	1	0	0	3/4	1	1	V6				dcml	Bb	I		V6		V		6				M	0	0	5, 2, 1		1	5
2	1	3/8	3/8	3/4	1	1	V2/IV		-1.67163	-2.5	dcml	Bb	I		V2/IV		V		2		IV		Mm7	0	0	-2, 0, 4, 1		0	-2
2	1	1/2	1/2	3/4	1	1	IV6				dcml	Bb	I		IV6		IV		6				M	0	0	3, 0, -1		-1	3
2	1	5/8	5/8	3/4	1	1	ii				dcml	Bb	I		ii		ii						m	0	0	2, -1, 3		2	2
3	2	0	0	3/4	1	1	I6				dcml	Bb	I		I6		I		6				M	0	0	4, 1, 0		0	4
3	2	1/4	1/4	3/4	1	1	V				dcml	Bb	I		V		V						M	0	0	1, 5, 2		1	1
3	2	1/2	1/2	3/4	1	1	I				dcml	Bb	I		I		I						M	0	0	0, 4, 1		0	0
4	3	0	0	3/4	1	1	V43				dcml	Bb	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
4	3	3/8	3/8	3/4	1	1	#viio65/ii		-1.14925	-3.20164	dcml	Bb	I		#viio65/ii		#vii	o	65		ii		o7	0	0	4, 1, -2, 7		7	4
4	3	1/2	1/2	3/4	1	1	ii6		0	-3.28934	dcml	Bb	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
4	3	5/8	5/8	3/4	1	1	V7				dcml	Bb	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
5	4	1/4	1/4	3/4	1	1	I\\				dcml	Bb	I		I		I					\\	M	0	0	0, 4, 1		0	0
5	4	5/8	5/8	3/4	1	1	V6				dcml	Bb	I		V6		V		6				M	0	0	5, 2, 1		1	5
6	5	1/4	1/4	3/4	1	1	vi7				dcml	Bb	I		vi7		vi		7				mm7	0	0	3, 0, 4, 1		3	3
6	5	5/8	5/8	3/4	1	1	V43/V				dcml	Bb	I		V43/V		V		43		V		Mm7	0	0	3, 0, 2, 6		2	3
7	6	1/4	1/4	3/4	1	1	V7/V		-0.835817	-2.5	dcml	Bb	I		V7/V		V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
7	6	5/8	5/8	3/4	1	1	V(9+#74)		-5.22386	-3.11393	dcml	Bb	I		V(9+#74)		V			9+#74			M	0	0	1, 0, 2	3, 6	1	1
7	6	11/16	11/16	3/4	1	1	V				dcml	Bb	I		V		V						M	0	0	1, 5, 2		1	1
8	7	0	0	3/4	1	1	V\\				dcml	Bb	I		V		V					\\	M	0	0	1, 5, 2		1	1
9	8	0	0	3/4	1	1	V65/ii				dcml	Bb	I		V65/ii		V		65		ii		Mm7	0	0	7, 4, 1, 3		3	7
9	8	1/4	1/4	3/4	1	1	ii				dcml	Bb	I		ii		ii						m	0	0	2, -1, 3		2	2
9	8	3/8	3/8	3/4	1	1	V6/ii				dcml	Bb	I		V6/ii		V		6		ii		M	0	0	7, 4, 3		3	7
9	8	1/2	1/2	3/4	1	1	ii				dcml	Bb	I		ii		ii						m	0	0	2, -1, 3		2	2
9	8	5/8	5/8	3/4	1	1	V2/V		-1.3582	-2.60448	dcml	Bb	I		V2/V		V		2		V		Mm7	0	0	0, 2, 6, 3		2	0
10	9	0	0	3/4	1	1	V6(4)		-1.25373	-2.60448	dcml	Bb	I		V6(4)		V		6	4			M	0	0	0, 2, 1		1	0
10	9	1/8	1/8	3/4	1	1	V6				dcml	Bb	I		V6		V		6				M	0	0	5, 2, 1		1	5
10	9	3/8	3/8	3/4	1	1	V				dcml	Bb	I		V		V						M	0	0	1, 5, 2		1	1
10	9	5/8	5/8	3/4	1	1	V/vi				dcml	Bb	I		V/vi		V				vi		M	0	0	4, 8, 5		4	4
11	10	0	0	3/4	1	1	IV				dcml	Bb	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
11	10	1/8	1/8	3/4	1	1	#viio/ii		-1.25373	-2.5	dcml	Bb	I		#viio/ii		#vii	o			ii		o	0	0	7, 4, 1		7	7
11	10	1/4	1/4	3/4	1	1	ii(+4)		-1.56716	-2.5	dcml	Bb	I		ii(+4)		ii			+4			m	0	0	2, -1, 3	1	2	2
11	10	3/8	3/8	3/4	1	1	#viio6/ii		-1.60717	-2.58929	dcml	Bb	I		#viio6/ii		#vii	o	6		ii		o	0	0	4, 1, 7		7	4
11	10	1/2	1/2	3/4	1	1	ii6				dcml	Bb	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
11	10	5/8	5/8	3/4	1	1	#viio/V				dcml	Bb	I		#viio/V		#vii	o			V		o	0	0	13, 10, 7		13	13
12	11	1/8	1/8	3/4	1	1	V		0	-3.16658	dcml	Bb	I		V		V						M	0	0	1, 5, 2		1	1
12	11	1/4	1/4	3/4	1	1	V2(9)		-2.61193	-4.94361	dcml	Bb	I		V2(9)		V		2	9			Mm7	0	0	-1, 1, 5, 2	3	1	-1
12	11	3/8	3/8	3/4	1	1	I6		0.229553	-3.62569	dcml	Bb	I		I6		I		6				M	0	0	4, 1, 0		0	4
12	11	1/2	1/2	3/4	1	1	V65/IV		-2.3191	-4.87	dcml	Bb	I		V65/IV		V		65		IV		Mm7	0	0	4, 1, -2, 0		0	4
12	11	5/8	5/8	3/4	1	1	#viio65/ii		-2.17342	-4.87	dcml	Bb	I		#viio65/ii		#vii	o	65		ii		o7	0	0	4, 1, -2, 7		7	4
13	12	0	0	3/4	1	1	ii6		-0.0632787	-4.87	dcml	Bb	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
