quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	regex_match	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	8.0	1	0	0	0	2/2	4	1		1	c#.i	dcml	c#	i		i	i							m	1	1	0, -3, 1		0	0
8	8.0	3	2	0	0	2/2	4	1		1	V6	dcml	c#	i		V6	V		6					M	1	1	5, 2, 1		1	5
16	16.0	5	4	0	0	2/2	4	1		1	i	dcml	c#	i		i	i							m	1	1	0, -3, 1		0	0
32	2.0	9	8	0	0	2/2	4	1		1	V	dcml	c#	i		V	V							M	1	1	1, 5, 2		1	1
34	6.0	9	8	1/2	1/2	2/2	4	1		1	i	dcml	c#	i		i	i							m	1	1	0, -3, 1		0	0
40	4.0	11	10	0	0	2/2	4	1		1	V(64)/v	dcml	c#	i		V(64)/v	V			64	v			M	1	1	2, 1, -2		2	2
44	4.0	12	11	0	0	2/2	4	1		1	V7/v	dcml	c#	i		V7/v	V		7		v			Mm7	1	1	2, 6, 3, 0		2	2
48	2.0	13	12	0	0	2/2	4	1		1	V[v	dcml	c#	i	V	v	v							m	1	1	1, -2, 2		1	1
50	2.0	13	12	1/2	1/2	2/2	4	1		1	V7(+9)	dcml	c#	i	V	V7(+9)	V		7	+9				Mm7	1	1	1, 5, 2, -1	-4	1	1
52	4.0	14	13	0	0	2/2	4	1		1	V7	dcml	c#	i	V	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
56	4.0	15	14	0	0	2/2	4	1		1	i	dcml	c#	i	V	i	i							m	1	1	0, -3, 1		0	0
60	4.0	16	15	0	0	2/2	4	1		1	V7]	dcml	c#	i	V	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
64	2.0	17	16	0	0	2/2	4	1		1	i	dcml	c#	i		i	i							m	1	1	0, -3, 1		0	0
66	8.0	17	16	1/2	1/2	2/2	4	1		1	bII6	dcml	c#	i		bII6	bII		6					M	1	1	-1, -4, -5		-5	-1
74	2.0	19	18	1/2	1/2	2/2	4	1		1	V(64)	dcml	c#	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
76	4.0	20	19	0	0	2/2	4	1		1	V(6b5)	dcml	c#	i		V(6b5)	V			6b5				M	1	1	1, 5, -5, -3		1	1
80	3.0	21	20	0	0	2/2	4	1		1	i64	dcml	c#	i		i64	i		64					m	1	1	1, 0, -3		0	1
83	1.0	21	20	3/4	3/4	2/2	4	1		1	i	dcml	c#	i		i	i							m	1	1	0, -3, 1		0	0
84	2.0	22	21	0	0	2/2	4	1		1	V43	dcml	c#	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
86	2.0	22	21	1/2	1/2	2/2	4	1		1	V2(+9)	dcml	c#	i		V2(+9)	V		2	+9				Mm7	1	1	-1, 1, 5, 2	-4	1	-1
88	2.0	23	22	0	0	2/2	4	1		1	i6(#5)	dcml	c#	i		i6(#5)	i		6	#5				m	1	1	-3, 8, 0		0	-3
90	1.0	23	22	1/2	1/2	2/2	4	1		1	i6	dcml	c#	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
91	1.0	23	22	3/4	3/4	2/2	4	1		1	i	dcml	c#	i		i	i							m	1	1	0, -3, 1		0	0
92	2.0	24	23	0	0	2/2	4	1		1	V43	dcml	c#	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
94	1.0	24	23	1/2	1/2	2/2	4	1		1	V65	dcml	c#	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
95	1.0	24	23	3/4	3/4	2/2	4	1		1	i	dcml	c#	i		i	i							m	1	1	0, -3, 1		0	0
96	3.0	25	24	0	0	2/2	4	1		1	V	dcml	c#	i		V	V							M	1	1	1, 5, 2		1	1
99	1.0	25	24	3/4	3/4	2/2	4	1		1	i	dcml	c#	i		i	i							m	1	1	0, -3, 1		0	0
100	2.0	26	25	0	0	2/2	4	1		1	V43	dcml	c#	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
102	2.0	26	25	1/2	1/2	2/2	4	1		1	V2(+9)	dcml	c#	i		V2(+9)	V		2	+9				Mm7	1	1	-1, 1, 5, 2	-4	1	-1
104	2.0	27	26	0	0	2/2	4	1		1	i6(#5)	dcml	c#	i		i6(#5)	i		6	#5				m	1	1	-3, 8, 0		0	-3
106	1.0	27	26	1/2	1/2	2/2	4	1		1	i6	dcml	c#	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
107	1.0	27	26	3/4	3/4	2/2	4	1		1	i	dcml	c#	i		i	i							m	1	1	0, -3, 1		0	0
108	1.0	28	27	0	0	2/2	4	1		1	i64	dcml	c#	i		i64	i		64					m	1	1	1, 0, -3		0	1
109	1.0	28	27	1/4	1/4	2/2	4	1		1	V65	dcml	c#	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
110	1.0	28	27	1/2	1/2	2/2	4	1		1	i	dcml	c#	i		i	i							m	1	1	0, -3, 1		0	0
111	1.0	28	27	3/4	3/4	2/2	4	1		1	V43	dcml	c#	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
