quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	regex_match	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	5.0	1	0	1/4	1/4	3/4	4	1		1	g#.i	dcml	g#	i		i		i							m	1	1	0, -3, 1		0	0
6	2.0	3	2	0	0	3/4	4	1		1	V43	dcml	g#	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
8	1.0	3	2	1/2	1/2	3/4	4	1		1	i	dcml	g#	i		i		i							m	1	1	0, -3, 1		0	0
9	1.0	4	3	0	0	3/4	4	1		1	V65	dcml	g#	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
10	1.0	4	3	1/4	1/4	3/4	4	1		1	i	dcml	g#	i		i		i							m	1	1	0, -3, 1		0	0
11	1.0	4	3	1/2	1/2	3/4	4	1		1	VI	dcml	g#	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
12	0.75	5	4	0	0	3/4	4	1		1	iv7	dcml	g#	i		iv7		iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
51/4	0.25	5	4	3/16	3/16	3/4	4	1		1	iio6	dcml	g#	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
13	1.0	5	4	1/4	1/4	3/4	4	1		1	V(64)	dcml	g#	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
14	1.0	5	4	1/2	1/2	3/4	4	1		1	V7	dcml	g#	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
15	3.0	6	5	0	0	3/4	4	1		1	i	dcml	g#	i		i		i							m	1	1	0, -3, 1		0	0
18	2.0	7	6	0	0	3/4	4	1		1	V43	dcml	g#	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
20	1.0	7	6	1/2	1/2	3/4	4	1		1	i	dcml	g#	i		i		i							m	1	1	0, -3, 1		0	0
21	1.0	8	7	0	0	3/4	4	1		1	V65	dcml	g#	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
22	1.0	8	7	1/4	1/4	3/4	4	1		1	i	dcml	g#	i		i		i							m	1	1	0, -3, 1		0	0
23	1.0	8	7	1/2	1/2	3/4	4	1		1	VI	dcml	g#	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
24	0.75	9	8	0	0	3/4	4	1		1	iv7	dcml	g#	i		iv7		iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
99/4	0.25	9	8	3/16	3/16	3/4	4	1		1	bII6	dcml	g#	i		bII6		bII		6					M	1	1	-1, -4, -5		-5	-1
25	1.0	9	8	1/4	1/4	3/4	4	1		1	V(64)	dcml	g#	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
26	1.0	9	8	1/2	1/2	3/4	4	1		1	V7	dcml	g#	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
27	1.0	10	9	0	0	3/4	4	1		1	i64	dcml	g#	i		i64		i		64					m	1	1	1, 0, -3		0	1
28	1.0	10	9	1/4	1/4	3/4	4	1		1	i	dcml	g#	i		i		i							m	1	1	0, -3, 1		0	0
29	1.0	10	9	1/2	1/2	3/4	4	1		1	V6/III	dcml	g#	i		V6/III		V		6		III			M	1	1	2, -1, -2		-2	2
30	2.0	11	10	0	0	3/4	4	1		1	V65/III	dcml	g#	i		V65/III		V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
32	1.0	11	10	1/2	1/2	3/4	4	1		1	III(4)	dcml	g#	i		III(4)		III			4				M	1	1	-3, -4, -2		-3	-3
33	2.0	12	11	0	0	3/4	4	1		1	III	dcml	g#	i		III		III							M	1	1	-3, 1, -2		-3	-3
35	1.0	12	11	1/2	1/2	3/4	4	1		1	V6	dcml	g#	i		V6		V		6					M	1	1	5, 2, 1		1	5
36	2.0	13	12	0	0	3/4	4	1		1	V65	dcml	g#	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
38	1.0	13	12	1/2	1/2	3/4	4	1		1	i(4)	dcml	g#	i		i(4)		i			4				m	1	1	0, -1, 1		0	0
39	3.0	14	13	0	0	3/4	4	1		1	i	dcml	g#	i		i		i							m	1	1	0, -3, 1		0	0
42	2.0	15	14	0	0	3/4	4	1		1	V43	dcml	g#	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
44	1.0	15	14	1/2	1/2	3/4	4	1		1	i	dcml	g#	i		i		i							m	1	1	0, -3, 1		0	0
45	1.0	16	15	0	0	3/4	4	1		1	V65	dcml	g#	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
46	1.0	16	15	1/4	1/4	3/4	4	1		1	i	dcml	g#	i		i		i							m	1	1	0, -3, 1		0	0
47	1.0	16	15	1/2	1/2	3/4	4	1		1	VI	dcml	g#	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
48	0.75	17	16	0	0	3/4	4	1		1	bII6(9)	dcml	g#	i		bII6(9)		bII		6	9				M	1	1	-1, -4, -5	-3	-5	-1
195/4	0.25	17	16	3/16	3/16	3/4	4	1		1	bII6	dcml	g#	i		bII6		bII		6					M	1	1	-1, -4, -5		-5	-1
49	1.0	17	16	1/4	1/4	3/4	4	1		1	V(64)	dcml	g#	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
50	1.0	17	16	1/2	1/2	3/4	4	1		1	V7	dcml	g#	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
51	2.0	18	17	0	0	3/4	4	1		1	i64	dcml	g#	i		i64		i		64					m	1	1	1, 0, -3		0	1
53	1.0	18	17	1/2	1/2	3/4	4	1		1	V6/III	dcml	g#	i		V6/III		V		6		III			M	1	1	2, -1, -2		-2	2
54	2.0	19	18	0	0	3/4	4	1		1	V65/III	dcml	g#	i		V65/III		V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
56	1.0	19	18	1/2	1/2	3/4	4	1		1	III(4)	dcml	g#	i		III(4)		III			4				M	1	1	-3, -4, -2		-3	-3
57	2.0	20	19	0	0	3/4	4	1		1	III	dcml	g#	i		III		III							M	1	1	-3, 1, -2		-3	-3
59	1.0	20	19	1/2	1/2	3/4	4	1		1	V6	dcml	g#	i		V6		V		6					M	1	1	5, 2, 1		1	5
60	2.0	21	20	0	0	3/4	4	1		1	V65	dcml	g#	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
62	1.0	21	20	1/2	1/2	3/4	4	1		1	i(4)	dcml	g#	i		i(4)		i			4				m	1	1	0, -1, 1		0	0
63	3.0	22	21	0	0	3/4	4	1		1	i	dcml	g#	i		i		i							m	1	1	0, -3, 1		0	0
66	2.0	23	22	0	0	3/4	4	1		1	V43	dcml	g#	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
68	1.0	23	22	1/2	1/2	3/4	4	1		1	i	dcml	g#	i		i		i							m	1	1	0, -3, 1		0	0
69	1.0	24	23	0	0	3/4	4	1		1	V7/III	dcml	g#	i		V7/III		V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
70	1.0	24	23	1/4	1/4	3/4	4	1		1	III	dcml	g#	i		III		III							M	1	1	-3, 1, -2		-3	-3
71	1.0	24	23	1/2	1/2	3/4	4	1		1	VI	dcml	g#	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
72	0.75	25	24	0	0	3/4	4	1		1	bII6(9)	dcml	g#	i		bII6(9)		bII		6	9				M	1	1	-1, -4, -5	-3	-5	-1
291/4	0.25	25	24	3/16	3/16	3/4	4	1		1	bII6	dcml	g#	i		bII6		bII		6					M	1	1	-1, -4, -5		-5	-1
73	1.0	25	24	1/4	1/4	3/4	4	1		1	V(64)	dcml	g#	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
74	1.0	25	24	1/2	1/2	3/4	4	1		1	V7	dcml	g#	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
75	1.0	26	25	0	0	3/4	4	1		1	iv.V7(+9)	dcml	g#	iv		V7(+9)		V		7	+9				Mm7	1	1	1, 5, 2, -1	-4	1	1
76	1.0	26	25	1/4	1/4	3/4	4	1		1	V7	dcml	g#	iv		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
77	1.0	26	25	1/2	1/2	3/4	4	1		1	V(64)	dcml	g#	iv		V(64)		V			64				M	1	1	1, 0, -3		1	1
78	2.0	27	26	0	0	3/4	4	1		1	V7	dcml	g#	iv		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
80	0.5	27	26	1/2	1/2	3/4	4	1		1	VI	dcml	g#	iv		VI		VI							M	1	1	-4, 0, -3		-4	-4
161/2	0.5	27	26	5/8	5/8	3/4	4	1		1	iv7	dcml	g#	iv		iv7		iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
81	0.5	28	27	0	0	3/4	4	1		1	Ger6	dcml	g#	iv		Ger6	Ger	vii	o	65	b3	V			Ger	1	1	-4, 0, -3, 6		6	-4
163/2	0.5	28	27	1/8	1/8	3/4	4	1		1	V(64)	dcml	g#	iv		V(64)		V			64				M	1	1	1, 0, -3		1	1
82	0.5	28	27	1/4	1/4	3/4	4	1		1	iv	dcml	g#	iv		iv		iv							m	1	1	-1, -4, 0		-1	-1
165/2	0.5	28	27	3/8	3/8	3/4	4	1		1	V(64)	dcml	g#	iv		V(64)		V			64				M	1	1	1, 0, -3		1	1
83	1.0	28	27	1/2	1/2	3/4	4	1		1	V7	dcml	g#	iv		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
