mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	6.0	0	0	3/4	4	1		C.#ivo7	C	I		#ivo7		#iv	o	7					o7	0	0	6, 3, 0, -3		6	6
3	3	6	6.0	0	0	3/4	4	1		IV7	C	I		IV7		IV		7					Mm7	0	0	-1, 3, 0, -3		-1	-1
5	5	12	3.0	0	0	3/4	4	1		vi64	C	I		vi64		vi		64					m	0	0	4, 3, 0		3	4
6	6	15	2.0	0	0	3/4	4	1		V7/V	C	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
6	6	17	1.0	1/2	1/2	3/4	4	1		V2/V	C	I		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
7	7	18	1.0	0	0	3/4	4	1		V6(#7)	C	I		V6(#7)		V		6	#7				M	0	0	5, 2, 6		1	5
7	7	19	1.0	1/4	1/4	3/4	4	1		V6	C	I		V6		V		6					M	0	0	5, 2, 1		1	5
7	7	20	1.0	1/2	1/2	3/4	4	1		V43/V	C	I		V43/V		V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
8	8	21	3.0	0	0	3/4	4	1		ii%43	C	I		ii%43		ii	%	43					%7	0	0	-4, 0, 2, -1		2	-4
9	9	24	6.0	0	0	3/4	4	1		viio2	C	I		viio2		vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
11	11	30	3.0	0	0	3/4	4	1		bVII2	C	I		bVII2		bVII		2					Mm7	0	0	-4, -2, 2, -1		-2	-4
12	12	33	2.0	0	0	3/4	4	1		bIII6(4)	C	I		bIII6(4)		bIII		6	4				M	0	0	3, -2, -3		-3	3
12	12	35	3.0	1/2	1/2	3/4	4	1		bIII6	C	I		bIII6		bIII		6					M	0	0	1, -2, -3		-3	1
13	13	38	1.0	1/2	1/2	3/4	4	1		viio43	C	I		viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
14	14	39	3.0	0	0	3/4	4	1		iiio7(2)	C	I		iiio7(2)		iii	o	7	2				o7	0	0	-1, 1, -2, -5		4	-1
15	15	42	3.0	0	0	3/4	4	1		iiio7	C	I		iiio7		iii	o	7					o7	0	0	4, 1, -2, -5		4	4
16	16	45	3.0	0	0	3/4	4	1		V65/IV	C	I		V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
17	17	48	3.0	0	0	3/4	4	1		i6	C	I		i6		i		6					m	0	0	-3, 1, 0		0	-3
18	18	51	2.0	0	0	3/4	4	1		II7(b5)	C	I		II7(b5)		II		7	b5				Mm7	0	0	2, 6, -4, 0		2	2
18	18	53	1.0	1/2	1/2	3/4	4	1		II7(4)	C	I		II7(4)		II		7	4				Mm7	0	0	2, 1, 3, 0		2	2
19	19	54	3.0	0	0	3/4	4	1		ii%7	C	I		ii%7		ii	%	7					%7	0	0	2, -1, -4, 0		2	2
20	20	57	3.0	0	0	3/4	4	1		viio65	C	I		viio65		vii	o	65					o7	0	0	2, -1, -4, 5		5	2
21	21	60	3.0	0	0	3/4	4	1		iv64	C	I		iv64		iv		64					m	0	0	0, -1, -4		-1	0
22	22	63	21.0	0	0	3/4	4	1		viio7	C	I		viio7		vii	o	7					o7	0	0	5, 2, -1, -4		5	5
