mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.Db.viio6(2)		Db	I		viio6(2)	vii	o	6	2			o	0	0	2, -1, 0		5.0	2.0
1	1	1/2	viio6		Db	I		viio6	vii	o	6				o	0	0	2, -1, 5		5.0	2.0
2	2	0	vi6		Db	I		vi6	vi		6				m	0	0	0, 4, 3		3.0	0.0
2	2	1/4	viio6(2)		Db	I		viio6(2)	vii	o	6	2			o	0	0	2, -1, 0		5.0	2.0
2	2	1/2	viio6		Db	I		viio6	vii	o	6				o	0	0	2, -1, 5		5.0	2.0
2	2	7/8	V6		Db	I		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
3	3	0	I		Db	I		I	I						M	0	0	0, 4, 1		0.0	0.0
3	3	1/2	V6		Db	I		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
3	3	3/4	V43		Db	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
4	4	0	I		Db	I		I	I						M	0	0	0, 4, 1		0.0	0.0
4	4	1/4	I6		Db	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
4	4	1/2	IV		Db	I		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
4	4	5/8	V43		Db	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
4	4	11/16	V7		Db	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
4	4	3/4	V(64)		Db	I		V(64)	V			64			M	0	0	1, 0, 4		1.0	1.0
4	4	7/8	V7		Db	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
5	5	0	I\\		Db	I		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
5	5	1/4	I		Db	I		I	I						M	0	0	0, 4, 1		0.0	0.0
5	5	1/2	V6		Db	I		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
5	5	3/4	V65		Db	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
5	5	7/8	V7		Db	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
6	6	0	I		Db	I		I	I						M	0	0	0, 4, 1		0.0	0.0
6	6	1/2	IVM7		Db	I		IVM7	IV	M	7				MM7	0	0	-1, 3, 0, 4		-1.0	-1.0
6	6	5/8	V7		Db	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
6	6	3/4	vi		Db	I		vi	vi						m	0	0	3, 0, 4		3.0	3.0
6	6	7/8	V6		Db	I		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
7	7	0	V.ii		Db	V		ii	ii						m	0	0	2, -1, 3		2.0	2.0
7	7	1/8	vii%7		Db	V		vii%7	vii	%	7				%7	0	0	5, 4, 11, 3		5.0	5.0
7	7	3/16	V6		Db	V		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
7	7	1/4	iii7		Db	V		iii7	iii		7				mm7	0	0	4, 1, 5, 2		4.0	4.0
7	7	3/8	I6		Db	V		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
7	7	1/2	ii7		Db	V		ii7	ii		7				mm7	0	0	2, -1, 3, 0		2.0	2.0
7	7	5/8	V64		Db	V		V64	V		64				M	0	0	2, 1, 5		1.0	2.0
7	7	3/4	iii7		Db	V		iii7	iii		7				mm7	0	0	4, 1, 5, 2		4.0	4.0
7	7	7/8	I6		Db	V		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
8	8	0	ii7		Db	V		ii7	ii		7				mm7	0	0	2, -1, 3, 0		2.0	2.0
8	8	3/16	V64		Db	V		V64	V		64				M	0	0	2, 1, 5		1.0	2.0
8	8	1/4	iii		Db	V		iii	iii						m	0	0	4, 1, 5		4.0	4.0
8	8	3/8	I6		Db	V		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
8	8	1/2	ii65		Db	V		ii65	ii		65				mm7	0	0	-1, 3, 0, 2		2.0	-1.0
8	8	5/8	V		Db	V		V	V						M	0	0	1, 5, 2		1.0	1.0
8	8	3/4	i		Db	V		i	i						m	0	0	0, -3, 1		0.0	0.0
