quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	regex_match	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	1.0	1	0	0	1/2	3/4	4	1		1	c.i	dcml	c	i		i		i							m	1	1	0, -3, 1		0	0
1	2.0	2	1	0	0	3/4	4	1		1	i	dcml	c	i		i		i							m	1	1	0, -3, 1		0	0
3	1.0	2	1	1/2	1/2	3/4	4	1		1	III.V	dcml	c	III		V		V							M	1	0	1, 5, 2		1	1
4	2.0	3	2	0	0	3/4	4	1		1	I	dcml	c	III		I		I							M	1	0	0, 4, 1		0	0
6	1.0	3	2	1/2	1/2	3/4	4	1		1	IV6	dcml	c	III		IV6		IV		6					M	1	0	3, 0, -1		-1	3
7	2.0	4	3	0	0	3/4	4	1		1	I6	dcml	c	III		I6		I		6					M	1	0	4, 1, 0		0	4
9	1.0	4	3	1/2	1/2	3/4	4	1		1	viio65/V	dcml	c	III		viio65/V		vii	o	65		V			o7	1	0	3, 0, -3, 6		6	3
10	1.0	5	4	0	0	3/4	4	1		1	viio7/V	dcml	c	III		viio7/V		vii	o	7		V			o7	1	0	6, 3, 0, -3		6	6
11	1.0	5	4	1/4	1/4	3/4	4	1		1	V\\	dcml	c	III		V		V						\\	M	1	0	1, 5, 2		1	1
12	3.0	5	4	1/2	1/2	3/4	4	1		1	i.iv	dcml	c	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
15	1.0	6	5	1/2	1/2	3/4	4	1		1	#viio6/iv	dcml	c	i		#viio6/iv		#vii	o	6		iv			o	1	1	1, -2, 4		4	1
16	2.0	7	6	0	0	3/4	4	1		1	iv6	dcml	c	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
18	1.0	7	6	1/2	1/2	3/4	4	1		1	ii%65	dcml	c	i		ii%65		ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
19	1.0	8	7	0	0	3/4	4	1		1	V(964)	dcml	c	i		V(964)		V			964				M	1	1	1, 0, -3	-4	1	1
20	1.0	8	7	1/4	1/4	3/4	4	1		1	V(64)	dcml	c	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
