mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.5	0	5/8	2/2	4	1		A.V	A	I		V	V							M	0	0	1, 5, 2		1	1
2	2	3/2	2.0	0	0	2/2	4	1		I64	A	I		I64	I		64					M	0	0	1, 0, 4		0	1
2	2	7/2	4.0	1/2	1/2	2/2	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
3	3	15/2	1.0	1/2	1/2	2/2	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	3	17/2	1.0	3/4	3/4	2/2	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
4	4	19/2	2.0	0	0	2/2	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	23/2	2.0	1/2	1/2	2/2	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
5	5	27/2	2.0	0	0	2/2	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	5	31/2	2.0	1/2	1/2	2/2	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
6	6	35/2	2.0	0	0	2/2	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
6	6	39/2	2.0	1/2	1/2	2/2	4	1		V7/V	A	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
7	7	43/2	4.0	0	0	2/2	4	1		V\\	A	I		V	V						\\	M	0	0	1, 5, 2		1	1
8	8	51/2	8.0	0	0	2/2	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
10	10	67/2	2.0	0	0	2/2	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
10	10	71/2	2.0	1/2	1/2	2/2	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	11	75/2	2.0	0	0	2/2	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
11	11	79/2	2.0	1/2	1/2	2/2	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	12	83/2	2.0	0	0	2/2	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
12	12	87/2	2.0	1/2	1/2	2/2	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	13	91/2	3.0	0	0	2/2	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
13	13	97/2	1.0	3/4	3/4	2/2	4	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
14	14	99/2	1.0	0	0	2/2	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
14	14	101/2	2.0	1/4	1/4	2/2	4	1		viio	A	I		viio	vii	o						o	0	0	5, 2, -1		5	5
14	14	105/2	1.0	3/4	3/4	2/2	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
15	15	107/2	4.0	0	0	2/2	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
16	16	115/2	4.0	0	0	2/2	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
17	17	123/2	2.0	0	0	2/2	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
17	17	127/2	2.0	1/2	1/2	2/2	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
18	18	131/2	0.5	0	0	2/2	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
18	18	66	1.5	1/8	1/8	2/2	4	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
18	18	135/2	1.0	1/2	1/2	2/2	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
18	18	137/2	1.0	3/4	3/4	2/2	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
19	19	139/2	2.0	0	0	2/2	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
19	19	143/2	2.0	1/2	1/2	2/2	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
20	20	147/2	1.0	0	0	2/2	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
20	20	149/2	1.0	1/4	1/4	2/2	4	1		V6/ii	A	I		V6/ii	V		6		ii			M	0	0	7, 4, 3		3	7
20	20	151/2	1.0	1/2	1/2	2/2	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
20	20	153/2	1.0	3/4	3/4	2/2	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
21	21	155/2	2.0	0	0	2/2	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
21	21	159/2	2.0	1/2	1/2	2/2	4	1		IV64	A	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
22	22	163/2	2.0	0	0	2/2	4	1		V.I6(2)	A	V		I6(2)	I		6	2				M	0	0	4, 1, 2		0	4
22	22	167/2	2.0	1/2	1/2	2/2	4	1		I6	A	V		I6	I		6					M	0	0	4, 1, 0		0	4
23	23	171/2	2.0	0	0	2/2	4	1		#viio65(2)	A	V		#viio65(2)	#vii	o	65	2				o7	0	0	2, -1, -4, 0		5	2
23	23	175/2	2.0	1/2	1/2	2/2	4	1		#viio65	A	V		#viio65	#vii	o	65					o7	0	0	2, -1, -4, 5		5	2
24	24	179/2	2.0	0	0	2/2	4	1		vi6(2)	A	V		vi6(2)	vi		6	2				m	0	0	0, 4, 5		3	0
24	24	183/2	2.0	1/2	1/2	2/2	4	1		vi6	A	V		vi6	vi		6					m	0	0	0, 4, 3		3	0
25	25	187/2	2.0	0	0	2/2	4	1		V6(2)	A	V		V6(2)	V		6	2				M	0	0	5, 2, 3		1	5
25	25	191/2	2.0	1/2	1/2	2/2	4	1		V6	A	V		V6	V		6					M	0	0	5, 2, 1		1	5
26	26	195/2	2.0	0	0	2/2	4	1		#viio6(2)	A	V		#viio6(2)	#vii	o	6	2				o	0	0	2, -1, 0		5	2
26	26	199/2	2.0	1/2	1/2	2/2	4	1		#viio6	A	V		#viio6	#vii	o	6					o	0	0	2, -1, 5		5	2
27	27	203/2	2.0	0	0	2/2	4	1		V	A	V		V	V							M	0	0	1, 5, 2		1	1
27	27	207/2	2.0	1/2	1/2	2/2	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
28	28	211/2	2.0	0	0	2/2	4	1		I(9)	A	V		I(9)	I			9				M	0	0	0, 4, 1	2	0	0
28	28	215/2	1.0	1/2	1/2	2/2	4	1		i6	A	V		i6	i		6					m	0	0	-3, 1, 0		0	-3
28	28	217/2	1.0	3/4	3/4	2/2	4	1		i	A	V		i	i							m	0	0	0, -3, 1		0	0
29	29	219/2	2.5	0	0	2/2	4	1		V	A	V		V	V							M	0	0	1, 5, 2		1	1
29	29	112	1.5	5/8	5/8	2/2	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
30	30	227/2	2.0	0	0	2/2	4	1		I(9)	A	V		I(9)	I			9				M	0	0	0, 4, 1	2	0	0
30	30	231/2	1.0	1/2	1/2	2/2	4	1		i6	A	V		i6	i		6					m	0	0	-3, 1, 0		0	-3
30	30	233/2	1.0	3/4	3/4	2/2	4	1		i	A	V		i	i							m	0	0	0, -3, 1		0	0
31	31	235/2	2.5	0	0	2/2	4	1		V	A	V		V	V							M	0	0	1, 5, 2		1	1
31	31	120	1.5	5/8	5/8	2/2	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
32	32	243/2	2.0	0	0	2/2	4	1		I(9)	A	V		I(9)	I			9				M	0	0	0, 4, 1	2	0	0
