mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset:x	offset:y	label_type	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	3/4	2/2	1	1	.c#.i64			dcml	c#	i		i64		i		64					m	1	1	1, 0, -3		0	1
2	1	0	0	2/2	1	1	V6			dcml	c#	i		V6		V		6					M	1	1	5, 2, 1		1	5
2	1	1/2	1/2	2/2	1	1	i			dcml	c#	i		i		i							m	1	1	0, -3, 1		0	0
3	2	0	0	2/2	1	1	iv6			dcml	c#	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
3	2	3/4	3/4	2/2	1	1	i64			dcml	c#	i		i64		i		64					m	1	1	1, 0, -3		0	1
4	3	0	0	2/2	1	1	iv			dcml	c#	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
4	3	1/2	1/2	2/2	1	1	V7			dcml	c#	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
5	4	0	0	2/2	1	1	i6			dcml	c#	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
5	4	1/2	1/2	2/2	1	1	i			dcml	c#	i		i		i							m	1	1	0, -3, 1		0	0
6	5	0	0	2/2	1	1	#viio/iv			dcml	c#	i		#viio/iv		#vii	o			iv			o	1	1	4, 1, -2		4	4
6	5	1/2	1/2	2/2	1	1	iv(4)			dcml	c#	i		iv(4)		iv			4				m	1	1	-1, -2, 0		-1	-1
6	5	3/4	3/4	2/2	1	1	iv			dcml	c#	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
7	6	0	0	2/2	1	1	.bII	0	-3.05	dcml	c#	i		bII		bII							M	1	1	-5, -1, -4		-5	-5
7	6	1/4	1/4	2/2	1	1	.bII(#2)	0	-3.05	dcml	c#	i		bII(#2)		bII			#2				M	1	1	-5, 4, -4		-5	-5
7	6	1/2	1/2	2/2	1	1	.bII	0	-3.05	dcml	c#	i		bII		bII							M	1	1	-5, -1, -4		-5	-5
7	6	3/4	3/4	2/2	1	1	iv64	0	-3.05	dcml	c#	i		iv64		iv		64					m	1	1	0, -1, -4		-1	0
8	7	0	0	2/2	1	1	.Ger6	0	-3.0545	dcml	c#	i		Ger6	Ger	vii	o	65	b3	V			M	1	1	-4, 0, -3, 6		6	-4
8	7	3/4	3/4	2/2	1	1	V2/iv			dcml	c#	i		V2/iv		V		2		iv			Mm7	1	1	-2, 0, 4, 1		0	-2
9	8	0	0	2/2	1	1	iv6	0	-2.62322	dcml	c#	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
9	8	1/2	1/2	2/2	1	1	V(64)	0	-2.86967	dcml	c#	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
9	8	3/4	3/4	2/2	1	1	V			dcml	c#	i		V		V							M	1	1	1, 5, 2		1	1
10	9	0	0	2/2	1	1	V6			dcml	c#	i		V6		V		6					M	1	1	5, 2, 1		1	5
10	9	1/4	1/4	2/2	1	1	V7			dcml	c#	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
10	9	1/2	1/2	2/2	1	1	i64			dcml	c#	i		i64		i		64					m	1	1	1, 0, -3		0	1
10	9	3/4	3/4	2/2	1	1	i			dcml	c#	i		i		i							m	1	1	0, -3, 1		0	0
11	10	0	0	2/2	1	1	#viio2(4)	0	-3.10995	dcml	c#	i		#viio2(4)		#vii	o	2	4				o7	1	1	-4, 5, -3, -1		5	-4
11	10	1/4	1/4	2/2	1	1	#viio2	0	-3.10995	dcml	c#	i		#viio2		#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4
11	10	1/2	1/2	2/2	1	1	iio43	0	-3.10995	dcml	c#	i		iio43		ii	o	43					o7	1	1	-4, -7, 2, -1		2	-4
11	10	3/4	3/4	2/2	1	1	III6			dcml	c#	i		III6		III		6					M	1	1	1, -2, -3		-3	1
12	11	0	0	2/2	1	1	V7/vii	-2.4047	-2.70039	dcml	c#	i		V7/vii		V		7		vii			Mm7	1	1	-1, 3, 0, -3		-1	-1
12	11	1/4	1/4	2/2	1	1	VI			dcml	c#	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
12	11	1/2	1/2	2/2	1	1	III6			dcml	c#	i		III6		III		6					M	1	1	1, -2, -3		-3	1
12	11	3/4	3/4	2/2	1	1	.bII6			dcml	c#	i		bII6		bII		6					M	1	1	-1, -4, -5		-5	-1
13	12	0	0	2/2	1	1	V7/vi			dcml	c#	i		V7/vi		V		7		vi			Mm7	1	1	-3, 1, -2, -5		-3	-3
13	12	1/4	1/4	2/2	1	1	iv			dcml	c#	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
13	12	1/2	1/2	2/2	1	1	V			dcml	c#	i		V		V							M	1	1	1, 5, 2		1	1
13	12	3/4	3/4	2/2	1	1	V7/iv			dcml	c#	i		V7/iv		V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
14	13	0	0	2/2	1	1	viio2/VI			dcml	c#	i		viio2/VI		vii	o	2		VI			o7	1	1	-8, 1, -2, -5		1	-8
14	13	1/2	1/2	2/2	1	1	IV			dcml	c#	i		IV		IV							M	1	1	-1, 3, 0		-1	-1
15	14	0	0	2/2	1	1	.bII+			dcml	c#	i		bII+		bII	+						+	1	1	-5, -1, 3		-5	-5
15	14	1/4	1/4	2/2	1	1	vii6(6)			dcml	c#	i		vii6(6)		vii		6	6				m	1	1	-5, 1, -2		-2	-5
15	14	1/2	1/2	2/2	1	1	vii6			dcml	c#	i		vii6		vii		6					m	1	1	-5, -1, -2		-2	-5
15	14	3/4	3/4	2/2	1	1	#viio6/vii			dcml	c#	i		#viio6/vii		#vii	o	6		vii			o	1	1	0, -3, 3		3	0
16	15	0	0	2/2	1	1	vii			dcml	c#	i		vii		vii							m	1	1	-2, -5, -1		-2	-2
16	15	1/4	1/4	2/2	1	1	viio43/VI			dcml	c#	i		viio43/VI		vii	o	43		VI			o7	1	1	-5, -8, 1, -2		1	-5
16	15	1/2	1/2	2/2	1	1	VI			dcml	c#	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
16	15	3/4	3/4	2/2	1	1	vii			dcml	c#	i		vii		vii							m	1	1	-2, -5, -1		-2	-2
17	16	0	0	2/2	1	1	VI			dcml	c#	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
17	16	1/2	1/2	2/2	1	1	i[VI6	-0.355226	-2.80806	dcml	c#	i	i	VI6		VI		6					M	1	1	0, -3, -4		-4	0
17	16	3/4	3/4	2/2	1	1	vii64			dcml	c#	i		vii64		vii		64					m	1	1	-1, -2, -5		-2	-1
18	17	0	0	2/2	1	1	.bII+6]	0.387064	-2.81418	dcml	c#	i		bII+6		bII	+	6			]		+	1	1	-1, 3, -5		-5	-1
18	17	1/4	1/4	2/2	1	1	#viio43/vii	-0.387064	-2.76789	dcml	c#	i		#viio43/vii		#vii	o	43		vii			o7	1	1	-3, -6, 3, 0		3	-3
18	17	1/2	1/2	2/2	1	1	vii6	0.651815	-2.59488	dcml	c#	i		vii6		vii		6					m	1	1	-5, -1, -2		-2	-5
18	17	3/4	3/4	2/2	1	1	i			dcml	c#	i		i		i							m	1	1	0, -3, 1		0	0
19	18	0	0	2/2	1	1	vii.i			dcml	c#	vii		i		i							m	1	1	0, -3, 1		0	0
19	18	1/4	1/4	2/2	1	1	V64			dcml	c#	vii		V64		V		64					M	1	1	2, 1, 5		1	2
19	18	1/2	1/2	2/2	1	1	i6	1.08173	-2.65894	dcml	c#	vii		i6		i		6					m	1	1	-3, 1, 0		0	-3
19	18	3/4	3/4	2/2	1	1	#io6			dcml	c#	vii		#io6		#i	o	6					o	1	1	4, 1, 7		7	4
20	19	0	0	2/2	1	1	#io65	0	-4.45123	dcml	c#	vii		#io65		#i	o	65					o7	1	1	4, 1, -2, 7		7	4
20	19	1/4	1/4	2/2	1	1	ii6	-0.195123	-3.67074	dcml	c#	vii		ii6		ii		6					m	1	1	-1, 3, 2		2	-1
20	19	1/2	1/2	2/2	1	1	#viio6/iv	-2.32149	-2.88369	dcml	c#	vii		#viio6/iv		#vii	o	6		iv			o	1	1	1, -2, 4		4	1
20	19	3/4	3/4	2/2	1	1	#vo7			dcml	c#	vii		#vo7		#v	o	7					o7	1	1	8, 5, 2, -1		8	8
21	20	0	0	2/2	1	1	i.V(64)	-1.5179	-4.90185	dcml	c#	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
21	20	1/4	1/4	2/2	1	1	.Ger6			dcml	c#	i		Ger6	Ger	vii	o	65	b3	V			M	1	1	-4, 0, -3, 6		6	-4
21	20	1/2	1/2	2/2	1	1	V	1.03217	-2.62902	dcml	c#	i		V		V							M	1	1	1, 5, 2		1	1
21	20	3/4	3/4	2/2	1	1	V2	0	-3.2455	dcml	c#	i		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
22	21	0	0	2/2	1	1	V2	-1.36586	-4.44902	dcml	c#	i		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
22	21	1/4	1/4	2/2	1	1	I6(7)	0	-4.93981	dcml	c#	i		I6(7)		I		6	7				M	1	1	4, 1, -2		0	4
22	21	1/2	1/2	2/2	1	1	I6	0	-3.7199	dcml	c#	i		I6		I		6					M	1	1	4, 1, 0		0	4
23	22	0	0	2/2	1	1	V65/iv	-1.47326	-3.66418	dcml	c#	i		V65/iv		V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
23	22	1/4	1/4	2/2	1	1	iv(7)	1.36586	-2.89025	dcml	c#	i		iv(7)		iv			7				m	1	1	-1, -4, 0	-3	-1	-1
23	22	3/4	3/4	2/2	1	1	V/vii	0	-2.97441	dcml	c#	i		V/vii		V				vii			M	1	1	-1, 3, 0		-1	-1
24	23	0	0	2/2	1	1	V2/vii	-1.9197	-4.14693	dcml	c#	i		V2/vii		V		2		vii			Mm7	1	1	-3, -1, 3, 0		-1	-3
24	23	1/2	1/2	2/2	1	1	vii64	-1.74112	-3.75003	dcml	c#	i		vii64		vii		64					m	1	1	-1, -2, -5		-2	-1
24	23	3/4	3/4	2/2	1	1	V/III			dcml	c#	i		V/III		V				III			M	1	1	-2, 2, -1		-2	-2
