mc	mn	onset	label	volta
1	1	3/8	.D.I	
2	2	0	I	
3	3	0	V	
5	5	0	I	
7	7	0	V	
8	8	0	V.V(64)	
8	8	1/4	V7	
9	9	0	I(742)	
9	9	1/4	I\\	
11	11	0	I.I	
11	11	1/4	IV	
12	12	1/4	I	
13	13	3/8	V2/IV	
14	14	0	IV6	
14	14	1/8	IV	
14	14	1/4	I\\	
15	15	0	I	
16	16	0	V	
17	17	0	V	
17	17	3/8	V7	
18	18	0	I(742)	
18	18	1/4	I\\	
20	20	0	I6	
21	21	0	V6	
22	22	0	V7	
23	23	0	I	
23	23	1/4	I6	
24	24	0	I	
24	24	1/4	V7	
24	24	3/8	I	
25	25	0	V.I6	
25	25	1/4	V	
25	25	3/8	viio65/V	
26	26	0	V(64)	
26	26	1/4	V7	
27	27	0	I(742)	
27	27	1/4	I\\	
29	29	0	I.I	
29	29	3/8	V2/IV	
30	30	0	IV6	
30	30	1/8	iv6	
30	30	1/4	I	
30	30	3/8	iv	
31	31	0	I6	
31	31	1/4	vi6	
32	32	0	IV	
32	32	1/4	I6	
32	32	3/8	iv	
33	33	0	I	
33	33	1/4	V65	
33	33	3/8	I	
34	34	0	V43	
34	34	1/4	V65	
35	35	0	V7	
36	36	0	I(742)	
36	36	1/4	I\\	
38	38	0	I	
39	39	0	V43	
40	40	0	V65	
41	41	0	I	
42	42	0	I	
42	42	1/4	V6	
42	42	3/8	vi7	
43	43	0	V6	
43	43	1/4	V43/V	
43	43	3/8	V	
44	44	0	V.V7	
45	45	0	I(742)	
45	45	1/4	I\\	
47	47	0	I.I	
48	48	0	IV	
48	48	1/4	I(#4#2)	
48	48	3/8	I	
50	50	0	IV	
50	50	1/4	I64(#4#2)	
50	50	3/8	I64	
51	51	0	I	
52	52	0	V43	
53	53	0	V65	
53	53	1/4	V7	
54	54	0	I(742)	
54	54	1/4	I\\	
56	56	0	I	
56	56	1/4	V43	
56	56	3/8	I6	
57	57	0	V2	
58	58	0	V7	
58	58	1/4	vi7	
58	58	3/8	V65	
59	59	0	I	
61	61	0	V	
62	62	0	V7/V	
63	63	0	V64	
63	63	1/8	V	
63	63	1/4	V7\\	
64	64	0	I	
64	64	3/8	V2/IV	
65	65	0	IV6	
65	65	1/8	IV	
65	65	1/4	I	
66	66	3/8	V2/IV	
67	67	0	IV6	
67	67	1/8	IV	
67	67	1/4	I	
69	69	0	V	
70	70	0	V7	
71	71	0	V7	1
71	71	1/4	I\\	1
72	72	0	V7	2
72	72	1/4	I\\	2
74	74	0	I	
74	74	1/4	ii6	
74	74	3/8	#viio7/V	
75	75	0	V[V	
75	75	1/8	#viio43/V	
75	75	1/4	V6	
76	76	0	V/vi	
76	76	3/8	V7/vi	
77	77	0	vi6	
77	77	1/4	vi	
78	78	1/4	V65/V	
78	78	3/8	iii.#viio7	
79	79	0	i	
79	79	1/8	V7	
79	79	1/4	VI	
80	80	0	V(64)	
80	80	1/8	V	
80	80	3/8	V7	
81	81	0	i(42)	
81	81	1/4	i\\	
83	83	0	I.V65/IV	
83	83	1/4	ii7	
83	83	3/8	V7/IV	
84	84	0	IV	
84	84	1/4	I	
85	85	0	V7/IV	
86	86	0	IV64	
86	86	1/4	I(4)	
86	86	3/8	I	
87	87	0	#viio2/vi	
87	87	3/8	vi64	
88	88	0	V65/iii	
88	88	1/8	V7/iii	
88	88	1/4	I	
88	88	3/8	#viio7/ii	
89	89	0	ii(74)	
89	89	1/4	ii	
89	89	3/8	V7	
90	90	1/4	I\\	
92	92	0	I	
93	93	0	V43	
93	93	1/4	V65	
94	94	1/4	I	
94	94	3/8	V7	
95	95	0	I6	
95	95	3/32	V65	
95	95	1/4	I	
97	97	0	V.#viio7/V	
98	98	0	V7	
99	99	0	I(742)	1
99	99	1/4	I\\	1
100	100	0	I(742)	2
100	100	1/4	I\\	2
101	101	0	I.I6	
101	101	1/4	V2/IV	
102	102	0	IV6	
102	102	1/4	I6	
103	103	3/8	V2/IV	
104	104	0	IV6	
