quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	regex_match	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	3.0	1	1	0	0	3/4	4	1		1	e.i	dcml	e	i		i	i							m	1	1	0, -3, 1		0	0
3	3.0	2	2	0	0	3/4	4	1		1	V	dcml	e	i		V	V							M	1	1	1, 5, 2		1	1
6	3.0	3	3	0	0	3/4	4	1		1	V7	dcml	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
9	2.0	4	4	0	0	3/4	4	1		1	i(94)	dcml	e	i		i(94)	i			94				m	1	1	0, -1, 1	2	0	0
11	4.0	4	4	1/2	1/2	3/4	4	1		1	i	dcml	e	i		i	i							m	1	1	0, -3, 1		0	0
15	3.0	6	6	0	0	3/4	4	1		1	viio/VII	dcml	e	i		viio/VII	vii	o			VII			o	1	1	3, 0, -3		3	3
18	3.0	7	7	0	0	3/4	4	1		1	V7/VII	dcml	e	i		V7/VII	V		7		VII			Mm7	1	1	-1, 3, 0, -3		-1	-1
		8	8	0	0	3/4	4	1	1	1	VII(#7)	dcml	e	i		VII(#7)	VII			#7				M	1	1	-2, 2, -1	3	-2	-2
		8	8	1/4	1/4	3/4	4	1	1	1	VII	dcml	e	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
		8	8	1/2	1/2	3/4	4	1	1	1	V7	dcml	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
		9	9	0	0	3/4	4	1	1	1	i\\	dcml	e	i		i	i						\\	m	1	1	0, -3, 1		0	0
		10	8	0	0	3/4	4	1	1	1	VII(#7)	dcml	e	i		VII(#7)	VII			#7				M	1	1	-2, 2, -1	3	-2	-2
		10	8	1/4	1/4	3/4	4	1	1	1	VII	dcml	e	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
		11	9	0	0	3/4	4	1	1	1	VII6	dcml	e	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
		11	9	1/4	1/4	3/4	4	1	1	1	III.viio7	dcml	e	III		viio7	vii	o	7					o7	1	0	5, 2, -1, -4		5	5
21	1.0	12	10	0	0	3/4	4	1		1	I(4)	dcml	e	III		I(4)	I			4				M	1	0	0, -1, 1		0	0
22	1.0	12	10	1/4	1/4	3/4	4	1		1	I(#2)	dcml	e	III		I(#2)	I			#2				M	1	0	0, 9, 1		0	0
23	1.0	12	10	1/2	1/2	3/4	4	1		1	I	dcml	e	III		I	I							M	1	0	0, 4, 1		0	0
24	3.0	13	11	0	0	3/4	4	1		1	#viio7/ii	dcml	e	III		#viio7/ii	#vii	o	7		ii			o7	1	0	7, 4, 1, -2		7	7
27	2.0	14	12	0	0	3/4	4	1		1	ii(94)	dcml	e	III		ii(94)	ii			94				m	1	0	2, 1, 3	4	2	2
29	4.0	14	12	1/2	1/2	3/4	4	1		1	ii	dcml	e	III		ii	ii							m	1	0	2, -1, 3		2	2
33	3.0	16	14	0	0	3/4	4	1		1	V6/ii	dcml	e	III		V6/ii	V		6		ii			M	1	0	7, 4, 3		3	7
36	3.0	17	15	0	0	3/4	4	1		1	V/ii	dcml	e	III		V/ii	V				ii			M	1	0	3, 7, 4		3	3
39	2.0	18	16	0	0	3/4	4	1		1	ii	dcml	e	III		ii	ii							m	1	0	2, -1, 3		2	2
41	1.0	18	16	1/2	1/2	3/4	4	1		1	vii%7	dcml	e	III		vii%7	vii	%	7					%7	1	0	5, 2, -1, 3		5	5
42	3.0	19	17	0	0	3/4	4	1		1	bII.I	dcml	e	bII		I	I							M	1	0	0, 4, 1		0	0
45	8.0	20	18	0	0	3/4	4	1		1	V7	dcml	e	bII		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
53	1.0	22	20	1/2	1/2	3/4	4	1		1	I(#2)	dcml	e	bII		I(#2)	I			#2				M	1	0	0, 9, 1		0	0
54	9.0	23	21	0	0	3/4	4	1		1	I	dcml	e	bII		I	I							M	1	0	0, 4, 1		0	0
63	4.0	26	24	0	0	3/4	4	1		1	i.V7(9)	dcml	e	i		V7(9)	V		7	9				Mm7	1	1	1, 5, 2, -1	-4	1	1
67	2.0	27	25	1/4	1/4	3/4	4	1		1	V6	dcml	e	i		V6	V		6					M	1	1	5, 2, 1		1	5
69	1.0	28	26	0	0	3/4	4	1		1	i(4)	dcml	e	i		i(4)	i			4				m	1	1	0, -1, 1		0	0
70	2.0	28	26	1/4	1/4	3/4	4	1		1	i	dcml	e	i		i	i							m	1	1	0, -3, 1		0	0
72	1.0	29	27	0	0	3/4	4	1		1	V(4)	dcml	e	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
73	2.0	29	27	1/4	1/4	3/4	4	1		1	V7	dcml	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
75	1.0	30	28	0	0	3/4	4	1		1	i(9+7)	dcml	e	i		i(9+7)	i			9+7				m	1	1	0, -3, 1	2, -2	0	0
76	1.0	30	28	1/4	1/4	3/4	4	1		1	i	dcml	e	i		i	i							m	1	1	0, -3, 1		0	0
77	1.0	30	28	1/2	1/2	3/4	4	1		1	bII.V7	dcml	e	bII		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
78	9.0	31	29	0	0	3/4	4	1		1	I	dcml	e	bII		I	I							M	1	0	0, 4, 1		0	0
87	4.0	34	32	0	0	3/4	4	1		1	i.V7(9)	dcml	e	i		V7(9)	V		7	9				Mm7	1	1	1, 5, 2, -1	-4	1	1
91	2.0	35	33	1/4	1/4	3/4	4	1		1	V6	dcml	e	i		V6	V		6					M	1	1	5, 2, 1		1	5
93	1.0	36	34	0	0	3/4	4	1		1	i(4)	dcml	e	i		i(4)	i			4				m	1	1	0, -1, 1		0	0
